xacc,yacc,zacc,xgyro,ygyro,zgyro
1.044189,0.012939,0.177246,-2.183206,-4.91603,-2.633588
1.083496,0.030029,0.130859,-1.961832,-1.19084,-1.564885
0.988525,0.035889,0.149658,-2.351145,0.374046,-1.656489
0.97998,0.021973,0.180664,-2.10687,-3.633588,-1.145038
1.0354,0.023682,0.164307,-2.206107,-3.580153,-0.045802
1.015137,0.021484,0.154053,-2.534351,-2.709924,-1.503817
1.001465,0.012451,0.166992,-2.580153,-3.793893,-2.709924
1.013916,0.02124,0.17334,-2.366412,-5.015267,-3.061069
0.993896,0.024902,0.165283,-2.717557,-6.824428,-2.854962
0.995605,0.02417,0.152832,-2.496183,-8.328244,-2.564885
1.029541,0.020264,0.153564,-2.267176,-9.328244,-4.320611
1.04126,0.024902,0.137695,-2.519084,-7.78626,-4.473282
1.018799,0.023926,0.149414,-2.366412,-7.198473,-3.045802
1.022705,0.013184,0.162354,-1.839695,-8.633588,-3.671756
1.036621,0.028809,0.154297,-1.877863,-7.48855,-3.671756
1.084961,0.015381,0.1604,-1.48855,-7.885496,-3.931298
1.091553,0.026123,0.151367,-1.290076,-5.740458,-3.80916
1.066162,0.03125,0.137451,-1.312977,-2.923664,-3.641221
1.02417,0.022705,0.143555,-1.587786,-2.763359,-1.801527
1.021729,0.024658,0.143799,-1.801527,-1.938931,-2.290076
1.037598,0.030273,0.142578,-2.022901,0.282443,-1.183206
1.056396,0.024658,0.156738,-2.259542,2.984733,-0.274809
1.011719,0.024414,0.175049,-2.503817,3.435115,-0.167939
0.997559,0.026611,0.172607,-2.694656,0.015267,-1.290076
1.036621,0.033691,0.132812,-2.610687,-1.664122,-2.099237
1.068604,0.028076,0.107422,-2.664122,1.40458,-1.389313
1.056152,0.032227,0.127197,-2.534351,3.40458,-1.389313
1.031982,0.030518,0.1604,-2.328244,2.755725,-1.435115
1.021729,0.03125,0.151123,-2.160305,1.526718,-1.183206
1.034668,0.029297,0.139893,-2.045802,1.610687,-0.694656
1.039551,0.027832,0.147217,-1.961832,2.206107,-1.21374
1.016113,0.025879,0.160156,-2.038168,2.335878,-1.519084
1.021729,0.030518,0.174805,-1.603053,0.717557,-0.89313
1.071289,0.015625,0.161621,-2.526718,2.007634,0.656489
1.024902,0.005859,0.157227,-2.160305,2.198473,-1.259542
1.006104,0.02124,0.168213,-1.992366,0.618321,-0.076336
1.0354,0.030762,0.157471,-2.068702,0.496183,-1.152672
1.023682,0.036621,0.157227,-2.465649,-0.206107,-0.938931
1.001221,0.014648,0.163818,-1.992366,-1.564885,-1.40458
1.036377,0.029785,0.139893,-2.167939,-0.374046,-1.679389
1.008545,0.022217,0.15332,-2.099237,0.083969,-2.625954
1.016357,0.019775,0.157227,-2.137405,-0.473282,-2.977099
1.020996,0.023926,0.158447,-2.366412,0.137405,-1.435115
1.018555,0.014893,0.167236,-2.114504,-0.587786,-1.656489
1.024414,0.017822,0.159424,-2.221374,-0.351145,-1.465649
1.031494,0.025879,0.151123,-2.244275,-0.083969,-1.274809
1.021973,0.028809,0.158447,-2.236641,-0.877863,-1.396947
1.035156,0.022217,0.149902,-2.038168,-0.656489,-1.877863
