xacc,yacc,zacc,xgyro,ygyro,zgyro
1.03,0.06,0.08,-3.02,-5.86,0.23
1.04,0.06,0.07,-3.27,-6.05,0.43
1.04,0.06,0.07,-2.80,-6.59,0.55
1.03,-0.03,0.06,0.55,-7.66,-3.02
1.01,0.00,0.07,2.64,-11.31,-9.01
0.99,0.10,0.10,2.79,-12.87,-1.64
0.98,0.07,0.11,2.64,-14.94,0.59
1.00,0.03,0.08,1.00,-16.83,-2.11
1.01,-0.00,0.07,1.40,-18.63,-6.75
1.04,0.08,0.06,-0.12,-20.66,-8.47
1.04,0.10,0.04,-1.62,-22.03,-7.16
1.04,0.09,0.04,-2.42,-22.67,-5.66
1.06,0.10,0.01,-3.77,-20.79,-3.89
1.08,0.10,-0.01,-5.01,-17.54,-2.38
1.08,0.09,0.00,-5.61,-13.31,-1.66
1.09,0.09,-0.01,-6.03,-10.18,-1.13
1.08,0.09,-0.01,-6.17,-7.19,-0.66
1.06,0.09,-0.01,-6.21,-5.86,0.27
1.04,0.09,-0.01,-6.76,-4.83,2.66
1.02,0.10,-0.02,-7.38,-5.05,4.66
1.03,0.09,-0.02,-8.11,-5.25,5.98
1.03,0.07,-0.01,-8.38,-5.53,6.31
1.05,0.08,-0.01,-8.08,-4.29,7.02
1.06,0.06,0.01,-7.52,-2.98,6.40
1.06,0.06,0.01,-6.92,-1.98,5.61
1.05,0.06,0.00,-6.52,-1.39,4.92
1.05,0.06,0.01,-5.90,-0.64,4.46
1.07,0.06,0.00,-5.98,0.73,3.67
1.06,0.05,0.01,-5.66,1.90,2.79
1.06,0.05,0.02,-5.32,2.73,1.75
1.06,0.05,0.02,-4.44,3.72,0.60
1.06,0.05,0.01,-4.27,4.73,0.40
1.05,0.04,0.02,-3.79,5.67,0.18
1.04,0.04,0.01,-3.53,6.50,-0.57
1.05,0.04,0.00,-2.79,7.21,-1.56
1.05,0.04,0.01,-2.51,7.69,-1.97
1.04,0.05,0.02,-2.36,7.15,-2.66
1.03,0.04,0.03,-1.98,6.00,-3.50
1.02,0.05,0.03,-1.78,4.53,-3.64
1.02,0.05,0.04,-1.94,2.95,-3.69
1.03,0.05,0.04,-1.92,1.82,-3.67
1.03,0.04,0.04,-1.41,0.82,-2.99
1.04,0.04,0.04,-0.82,0.37,-2.07
1.03,0.05,0.04,-0.53,-0.52,-0.88
1.01,0.06,0.04,-0.40,-2.06,0.80
1.02,0.07,0.05,-0.78,-3.12,2.37
1.02,0.07,0.05,-1.16,-4.34,3.64
1.01,0.08,0.06,-1.66,-5.70,4.73
1.00,0.08,0.05,-2.20,-7.51,5.81
0.99,0.08,0.06,-2.60,-9.52,6.31
0.99,0.07,0.05,-3.10,-11.79,6.43
0.99,0.08,0.06,-3.18,-13.50,6.73
1.01,0.07,0.05,-3.18,-13.95,6.76
1.02,0.06,0.05,-2.56,-12.97,7.20
1.03,0.06,0.03,-2.11,-11.73,7.18
1.03,0.05,0.03,-1.31,-9.71,6.73
1.04,0.06,0.02,-0.77,-8.08,6.60
1.04,0.04,0.02,-0.23,-6.82,6.08
1.04,0.05,0.03,0.17,-5.49,5.55
1.04,0.06,0.02,0.37,-4.09,5.61
1.04,0.04,0.03,0.66,-2.66,5.39
1.03,0.05,0.01,0.94,-1.29,5.73
1.04,0.05,0.02,1.06,0.30,6.15
1.03,0.04,0.02,1.27,1.47,6.64
1.02,0.05,0.03,1.44,1.85,6.97
1.01,0.06,0.04,1.20,1.58,7.47
