time,xacc,yacc,zacc,xgyro,ygyro,zgyro
609970067,1.1142578125,0.1110839844,-0.2988281250,-1.5725190639, 4.3664121628, -0.9160305262
609980067,1.1162109375,0.1154785156,-0.2941894531,-1.4809160233, 4.3969464302, -0.9160305262
609990067,1.1169433594,0.1147460938,-0.2941894531,-2.0152671337, 4.3969464302, -0.7175572515
610000067,1.1306152344,0.1120605469,-0.2795410156,-1.9694656134, 3.6030533314, -0.7480915785
610010067,1.1179199219,0.1127929688,-0.2727050781,-1.8931298256, 2.7022900581, -1.1145038605
610020067,1.1328125000,0.1052246094,-0.2707519531,-1.8015266657, 1.8931298256, -1.7557251453
610030067,1.1311035156,0.1125488281,-0.2675781250,-1.8931298256, 1.2366411686, -2.3511450291
610040067,1.1267089844,0.1188964844,-0.2717285156,-1.4809160233, 1.1145038605, -2.5190839767
610050067,1.1308593750,0.1159667969,-0.2819824219,-1.1908396482, 1.1603053808, -2.4274809361
610060067,1.1323242188,0.1154785156,-0.2805175781,-1.3435114622, 1.4045801163, -2.0610687733
610070067,1.1369628906,0.1113281250,-0.2873535156,-1.2213740349, 1.3893129826, -1.3740458488
610080067,1.1330566406,0.1179199219,-0.2841796875,-1.4351145029, 0.7938931584, -1.2061069012
610090067,1.1330566406,0.1152343750,-0.2929687500,-1.5114504099, 0.5343511701, -1.1145038605
610100067,1.1271972656,0.1123046875,-0.2885742188,-1.4351145029, 0.6106870174, -1.5572519302
610110067,1.1218261719,0.1166992188,-0.2873535156,-1.8778625727, 0.5801526904, -1.6641221046
610120067,1.1242675781,0.1132812500,-0.2873535156,-1.8320610523, 0.4580152631, -1.7862595320
610130067,1.1206054688,0.1181640625,-0.2888183594,-1.6030534506, 0.9923664331, -1.7099236250
610140067,1.1225585938,0.1169433594,-0.2849121094,-1.7251908779, 1.4656488895, -1.4809160233
610150067,1.1179199219,0.1157226562,-0.2873535156,-1.4351145029, 1.6335878372, -1.3282443285
610160067,1.1225585938,0.1108398438,-0.2890625000,-1.6335878372, 1.5419846773, -1.4961831570
610170067,1.1237792969,0.1149902344,-0.2722167969,-1.6335878372, 1.4961831570, -1.3282443285
610180067,1.1276855469,0.1132812500,-0.2822265625,-1.6030534506, 1.2061069012, -1.3282443285
610190067,1.1318359375,0.1120605469,-0.2861328125,-1.6793893576, 0.9923664331, -1.6183205843
610200067,1.1306152344,0.1091308594,-0.2851562500,-1.4503816366, 0.9923664331, -1.9236640930
610210067,1.1264648438,0.1088867188,-0.2988281250,-1.5725190639, 1.0229008198, -2.2900762558
610220067,1.1230468750,0.1147460938,-0.2973632812,-1.8167939186, 1.1908396482, -1.8015266657
610230067,1.1213378906,0.1193847656,-0.2849121094,-1.5877863169, 1.5572519302, -1.4503816366
610240067,1.1247558594,0.1220703125,-0.2849121094,-1.6488549709, 1.4961831570, -0.8396946788
610250067,1.1303710938,0.1166992188,-0.2866210938,-1.6641221046, 1.4198473692, -0.6259542108
610260067,1.1306152344,0.1196289062,-0.2922363281,-1.6641221046, 1.8625954390, -0.8854961991
610270067,1.1242675781,0.1228027344,-0.2741699219,-1.5877863169, 1.2366411686, -0.8091602921
610280067,1.1252441406,0.1169433594,-0.2729492188,-1.7709923983, 0.8091602921, -1.0687023401
610290067,1.1296386719,0.1091308594,-0.2819824219,-1.6793893576, 0.6717557311, -1.5725190639
610300067,1.1257324219,0.1142578125,-0.2807617188,-1.4809160233, 0.6564885378, -2.0305342674
610310067,1.1264648438,0.1147460938,-0.2783203125,-1.8778625727, 0.9618320465, -2.1679389477
610320067,1.1259765625,0.1208496094,-0.2836914062,-1.5114504099, 1.2213740349, -1.9389313459
610330067,1.1269531250,0.1164550781,-0.2890625000,-1.4961831570, 1.6946564913, -1.9694656134
610340067,1.1206054688,0.1105957031,-0.2885742188,-1.4809160233, 1.6793893576, -1.8931298256
610350067,1.1220703125,0.1120605469,-0.2817382812,-1.6183205843, 1.3587785959, -1.9083969593
610360067,1.1237792969,0.1101074219,-0.2783203125,-1.7709923983, 1.2977099419, -1.9694656134
610370067,1.1298828125,0.1105957031,-0.2861328125,-1.6641221046, 1.3893129826, -1.8015266657
610380067,1.1276855469,0.1176757812,-0.2856445312,-1.7709923983, 1.0076335669, -2.1221373081
610390067,1.1267089844,0.1135253906,-0.2810058594,-1.7404580116, 0.8549618125, -1.9389313459
610400067,1.1325683594,0.1130371094,-0.2871093750,-1.7557251453, 1.1755725145, -1.7251908779
