xacc,yacc,zacc,xgyro,ygyro,zgyro
0.98,0.15,0.41,-3.64,1.11,-1.54
0.99,0.16,0.41,-3.82,1.20,-1.60
0.98,0.16,0.40,-3.75,1.11,-1.71
0.97,0.15,0.41,-3.82,1.22,-1.59
0.97,0.16,0.40,-3.97,1.40,-1.47
0.98,0.16,0.41,-3.89,1.49,-1.19
0.99,0.16,0.41,-3.92,1.45,-0.98
0.99,0.16,0.41,-3.80,1.49,-1.11
0.98,0.16,0.42,-3.75,1.63,-1.26
0.98,0.16,0.41,-3.85,1.80,-1.15
0.99,0.16,0.40,-3.70,1.65,-0.95
0.98,0.16,0.40,-3.76,1.91,-0.64
0.99,0.16,0.41,-3.93,2.37,-0.66
0.99,0.16,0.40,-3.73,2.50,-0.53
0.99,0.15,0.40,-3.62,2.83,-0.89
0.99,0.15,0.40,-3.60,3.16,-0.79
0.98,0.15,0.40,-3.74,3.74,-0.97
0.97,0.15,0.41,-3.81,4.27,-1.18
0.98,0.16,0.40,-3.82,4.80,-1.36
0.97,0.16,0.40,-3.88,5.46,-1.89
0.97,0.17,0.41,-3.95,6.03,-1.95
0.97,0.17,0.41,-3.98,6.76,-1.99
0.97,0.17,0.41,-4.40,7.60,-2.53
0.98,0.17,0.42,-4.51,8.50,-3.05
0.98,0.17,0.42,-4.52,9.52,-3.19
0.97,0.17,0.42,-4.64,9.98,-3.66
0.98,0.17,0.42,-4.50,10.48,-3.87
0.98,0.17,0.43,-4.66,10.40,-3.73
0.98,0.17,0.44,-4.80,10.28,-4.33
0.96,0.17,0.44,-4.67,9.60,-4.76
0.97,0.17,0.44,-4.75,8.61,-4.56
0.96,0.17,0.45,-4.68,7.63,-4.14
0.96,0.18,0.45,-4.59,6.18,-3.50
0.96,0.18,0.46,-4.61,4.66,-3.08
0.96,0.17,0.44,-4.60,3.61,-2.19
0.97,0.17,0.45,-4.66,2.38,-1.53
0.97,0.17,0.44,-4.65,0.91,-1.25
0.97,0.17,0.45,-4.56,-0.44,-0.94
0.97,0.18,0.44,-4.56,-1.69,-0.47
0.98,0.17,0.43,-4.63,-2.52,0.20
0.97,0.18,0.43,-4.62,-3.24,0.64
0.97,0.17,0.44,-4.57,-3.71,1.04
0.98,0.17,0.43,-4.56,-3.53,1.10
0.99,0.17,0.43,-4.37,-3.61,1.25
1.00,0.17,0.43,-4.60,-3.31,1.05
1.00,0.17,0.43,-4.60,-2.99,1.02
1.00,0.17,0.43,-4.56,-2.56,0.85
0.98,0.16,0.42,-4.63,-2.03,0.35
0.98,0.16,0.42,-4.58,-1.45,-0.26
0.99,0.17,0.43,-4.66,-0.88,-0.46
0.99,0.17,0.43,-4.52,-0.44,-0.68
0.98,0.17,0.42,-4.61,-0.02,-1.04
0.98,0.17,0.42,-4.44,0.48,-0.98
0.99,0.17,0.44,-4.53,0.82,-0.85
0.99,0.17,0.42,-4.48,0.58,-1.35
0.98,0.17,0.43,-4.56,0.14,-1.66
0.99,0.17,0.43,-4.37,0.11,-0.83
0.98,0.17,0.44,-4.24,0.01,0.22
0.98,0.16,0.43,-4.24,-0.71,0.22
0.98,0.17,0.44,-4.19,-1.53,-0.54
0.98,0.17,0.43,-4.11,-2.05,-0.55
0.98,0.17,0.43,-4.11,-2.21,0.47
0.97,0.17,0.44,-4.15,-2.46,1.66
0.98,0.17,0.43,-4.22,-2.66,2.47
0.99,0.16,0.42,-4.16,-2.76,2.87
0.99,0.15,0.43,-3.96,-2.80,2.76
1.00,0.15,0.42,-4.03,-2.74,2.39
0.99,0.15,0.43,-3.99,-2.48,2.09
0.98,0.15,0.42,-3.76,-1.85,1.48
0.98,0.15,0.41,-3.88,-1.54,0.41
0.99,0.15,0.41,-3.76,-1.02,-0.45
0.99,0.16,0.42,-3.77,-0.24,-1.37
0.99,0.15,0.42,-3.75,0.40,-1.80
0.99,0.15,0.43,-3.74,1.25,-2.54
0.99,0.15,0.42,-3.88,1.95,-2.73
0.99,0.15,0.42,-4.13,2.20,-3.02
0.99,0.16,0.42,-4.30,2.55,-2.94
0.98,0.16,0.43,-4.41,2.99,-2.79
0.98,0.16,0.42,-4.55,2.60,-2.82
0.98,0.17,0.42,-4.92,2.29,-2.27
0.98,0.18,0.44,-4.87,1.72,-1.85
0.97,0.18,0.43,-4.85,0.66,-1.36
0.97,0.18,0.43,-4.75,-0.32,-0.95
0.96,0.18,0.44,-4.63,-1.40,-0.63
0.97,0.17,0.43,-4.50,-2.30,0.05
0.97,0.17,0.43,-4.25,-2.95,0.44
0.97,0.18,0.43,-3.85,-3.69,0.90
0.97,0.17,0.43,-3.94,-3.86,1.21
0.98,0.17,0.43,-3.75,-3.72,1.16
0.99,0.17,0.43,-3.66,-3.69,1.02
0.99,0.16,0.44,-3.68,-3.47,0.79
0.99,0.16,0.43,-3.65,-2.77,0.68
0.99,0.16,0.43,-3.69,-2.28,0.23
0.99,0.16,0.44,-3.73,-2.02,-0.01
0.99,0.17,0.43,-3.76,-1.52,-0.36
