xacc,yacc,zacc,xgyro,ygyro,zgyro
1.027832,0.037109,-0.088135,-1.374046,-3.633588,-0.603053
1.022461,0.049316,-0.084229,-1.824427,-2.358779,0.48855
1.029785,0.034912,-0.07251,-1.900763,-2.099237,1.351145
1.036621,0.001709,-0.043213,-2.229008,-3.748092,1.366412
1.054688,-0.021729,-0.039062,-2.450382,-4.969466,0.21374
1.07251,-0.032715,-0.05127,-2.343511,-5.648855,-1.450382
1.063232,-0.018799,-0.077637,-1.916031,-4.717557,-1.610687
1.053955,0.00708,-0.087158,-1.80916,-2.961832,-0.076336
1.031738,-0.001953,-0.091797,-2.19084,-1.854962,1.167939
1.033691,-0.027588,-0.061768,-2.580153,-1.671756,0.59542
1.034668,-0.037598,-0.052002,-2.740458,-1.916031,-0.832061
1.056152,-0.036377,-0.047607,-1.763359,-2.374046,-5.725191
1.05249,-0.101074,-0.030762,-6.862596,-1.0,5.732824
1.084961,0.048828,-0.009277,-2.610687,-4.793893,-1.931298
1.111084,0.089844,-0.045898,-6.030534,-2.885496,-0.763359
0.975586,-0.025635,-0.008057,-6.374046,-1.030534,-5.206107
0.900146,-0.07373,-0.048828,-1.748092,-7.816794,-2.832061
1.015869,-0.037109,-0.139648,0.0,-5.167939,3.290076
1.074219,-0.006592,-0.153564,-1.732824,2.358779,2.503817
1.077148,0.0,-0.092041,-2.465649,3.847328,-0.038168
1.0896,-0.009766,-0.03833,-1.442748,1.816794,-3.480916
1.077148,-0.002686,-0.014404,-1.450382,0.908397,-3.717557
1.040771,0.006348,-0.010254,-2.122137,0.091603,-1.503817
1.009033,0.000977,-0.019531,-1.717557,-1.038168,-0.641221
1.023438,0.009277,-0.028809,-2.251908,-1.740458,-0.519084
1.039795,0.010986,-0.049072,-2.732824,-2.167939,-1.267176
1.060059,0.011475,-0.061279,-2.618321,-2.374046,-2.282443
1.059082,0.01001,-0.072021,-2.167939,-1.396947,-3.068702
1.041748,0.008301,-0.069336,-1.938931,-0.015267,-2.870229
1.030273,0.009521,-0.053223,-2.076336,-0.083969,-1.694656
1.02832,0.004639,-0.028076,-2.664122,-1.19084,-0.458015
1.036621,-0.006836,-0.034912,-2.687023,-1.946565,-0.748092
1.036133,-0.008789,-0.041504,-2.450382,-2.603053,-1.458015
1.029785,0.001953,-0.052002,-2.19084,-3.244275,-1.557252
1.049316,-0.003418,-0.07251,-2.290076,-2.687023,-2.045802
1.05957,-0.002197,-0.083984,-2.48855,-1.366412,-2.519084
1.0625,-0.001953,-0.085449,-2.274809,0.40458,-3.038168
1.036621,-0.005127,-0.087891,-2.099237,1.648855,-2.229008
1.017334,-0.000488,-0.060303,-1.89313,1.389313,-1.229008
1.013916,-0.000488,-0.055664,-1.908397,0.458015,-0.389313
1.029785,0.00415,-0.050781,-2.320611,-0.045802,-0.412214
1.024902,0.005127,-0.042969,-2.427481,-0.160305,-1.381679
1.033691,0.007568,-0.044434,-2.145038,-0.442748,-1.458015
1.034912,0.013672,-0.051025,-1.946565,-0.40458,-0.89313
1.049316,0.010498,-0.056641,-1.908397,-0.412214,-0.366412
1.05249,0.003662,-0.058105,-1.969466,-0.480916,-0.10687
1.057861,-0.00293,-0.057373,-1.778626,-0.251908,-0.48855
1.054688,-0.009521,-0.059814,-1.717557,-0.137405,-0.633588
1.046875,-0.018066,-0.059326,-1.70229,-0.78626,-1.419847
1.044189,-0.020508,-0.043701,-1.824427,-1.152672,-1.923664
1.034424,-0.009766,-0.050293,-1.931298,-1.10687,-1.89313
1.036377,-0.006592,-0.051025,-2.335878,-1.229008,-2.183206
1.040527,-0.008301,-0.055908,-2.152672,-1.068702,-2.183206
1.044434,0.002441,-0.066895,-2.435115,-0.320611,-1.473282
1.0354,-0.003174,-0.06958,-2.351145,-0.129771,-0.694656
1.0354,-0.003662,-0.061035,-2.618321,0.267176,0.206107
1.037598,-0.008789,-0.058105,-2.40458,0.305344,1.099237
1.032471,-0.010986,-0.049316,-2.450382,0.152672,1.244275
1.033203,-0.007324,-0.052002,-2.358779,0.091603,1.29771
1.041992,-0.008301,-0.049316,-2.259542,0.114504,1.122137
1.042969,-0.010742,-0.052246,-2.0,0.030534,0.366412
1.040283,-0.002197,-0.057617,-1.671756,0.267176,-0.122137
1.039307,0.005615,-0.039062,-1.656489,-0.282443,-1.129771
1.050049,0.008057,-0.039307,-1.473282,-0.625954,-2.038168
1.046143,-0.001709,-0.040283,-1.534351,-1.267176,-2.358779
1.045166,-0.000488,-0.050293,-1.793893,-1.587786,-1.885496
1.054199,-0.009766,-0.05249,-1.847328,-2.015267,-1.40458
1.05835,-0.012939,-0.063965,-2.007634,-1.984733,-0.541985
1.050781,-0.013916,-0.063477,-2.152672,-1.824427,-0.366412
1.056641,-0.02124,-0.063965,-2.145038,-1.343511,-0.763359
1.055664,-0.021484,-0.052979,-1.832061,-1.114504,-1.610687
1.051025,-0.012939,-0.049072,-1.664122,-1.450382,-2.40458
1.049805,-0.004395,-0.052246,-1.473282,-1.679389,-3.068702
1.047607,-0.002441,-0.052979,-1.450382,-2.0,-3.549618
1.048096,0.000488,-0.058838,-1.427481,-2.29771,-3.763359
1.047607,-0.001953,-0.063477,-1.717557,-2.435115,-3.40458
1.049072,-0.015625,-0.057861,-1.618321,-2.435115,-2.938931
1.045166,-0.011963,-0.057861,-1.618321,-2.335878,-2.534351
1.046631,-0.018066,-0.057861,-1.587786,-2.030534,-3.274809
1.04248,-0.01709,-0.059082,-1.740458,-1.824427,-3.435115
1.041748,-0.007568,-0.050293,-1.587786,-1.152672,-4.053435
1.031982,-0.008545,-0.064209,-1.59542,-0.832061,-4.229008
1.035156,-0.009277,-0.063232,-1.572519,0.038168,-4.229008
1.040283,-0.006592,-0.067871,-1.633588,0.19084,-3.908397
1.038574,0.001221,-0.056641,-1.625954,-0.778626,-3.442748
1.043457,-0.009277,-0.034912,-1.541985,-2.038168,-3.473282
1.054688,-0.007324,-0.044922,-1.587786,-2.763359,-3.770992
1.053467,-0.00708,-0.046143,-1.412214,-2.824427,-4.282443
1.060059,-0.007568,-0.050293,-1.366412,-2.763359,-5.030534
1.061035,0.007324,-0.070801,-1.022901,-3.183206,-6.358778
1.049316,-0.010742,-0.065918,-1.51145,-2.091603,-5.061069
1.049561,-0.014893,-0.06665,-1.51145,-1.396947,-5.122138
1.04126,-0.003906,-0.070312,-1.664122,-0.641221,-5.030534
1.038086,-0.00293,-0.060547,-1.755725,-0.603053,-4.80916
1.031738,-0.006104,-0.057617,-2.206107,-0.015267,-4.335878
1.023438,-0.011475,-0.053711,-1.29771,0.091603,-3.618321
1.059814,0.021484,-0.065186,-0.954198,0.091603,-3.091603
1.036377,0.003662,-0.04248,-2.587786,1.068702,-4.045802
1.029053,-0.011475,-0.04541,-1.21374,-1.656489,-4.778626
1.05127,0.00293,-0.053711,-1.122137,-1.923664,-5.099236
1.062012,-0.000244,-0.068115,-1.145038,-1.19084,-6.541985
1.047607,-0.00293,-0.067627,-1.076336,-0.465649,-6.19084
1.047852,0.001221,-0.05542,-1.160305,-0.519084,-5.862596
1.049316,0.006836,-0.053955,-1.374046,-0.549618,-5.770992
1.037109,0.010742,-0.046875,-1.389313,-0.40458,-6.053435
1.042725,0.012695,-0.05127,-1.412214,-1.030534,-6.40458
1.037598,0.019531,-0.063232,-2.015267,0.473282,-4.900764
1.031982,0.001953,-0.059082,-2.625954,0.259542,-3.916031
1.034424,0.001709,-0.060303,-2.534351,0.305344,-3.908397
1.032227,-0.001465,-0.05835,-2.389313,0.328244,-3.068702
1.034668,0.000488,-0.04834,-2.335878,-0.259542,-2.977099
1.044678,0.009521,-0.047607,-2.259542,-0.664122,-3.526718
1.060303,0.005371,-0.050537,-2.007634,-0.954198,-4.59542
1.061035,0.007568,-0.059082,-2.137405,-0.923664,-5.183206
1.064697,0.006104,-0.065186,-1.946565,-0.610687,-5.015267
1.053955,0.01416,-0.078125,-2.229008,1.129771,-4.938931
1.032471,-0.005615,-0.081299,-0.793893,0.328244,-3.923664
1.040771,0.001953,-0.070312,-1.328244,1.969466,-4.358778
1.028809,0.008057,-0.060547,-1.641221,2.435115,-4.022901
1.014893,0.00708,-0.046875,-1.19084,1.282443,-3.21374
1.027588,0.014648,-0.039795,-1.015267,0.564885,-2.427481
1.034424,0.015869,-0.036621,-1.908397,0.648855,-2.259542
1.032715,-0.045654,-0.036133,-3.587786,4.007634,-6.61832
1.006836,-0.002441,-0.041992,-1.625954,0.580153,-6.519084
1.052979,0.063477,-0.071045,0.099237,-2.091603,-1.984733
1.080322,0.032471,-0.078857,-1.290076,1.076336,-1.473282
1.039307,-0.000732,-0.053711,-0.748092,1.496183,-1.59542
1.04248,0.007324,-0.043701,-1.389313,1.603053,-2.412214
1.035156,0.00415,-0.029541,-2.40458,1.290076,-3.175573
1.031738,0.00708,-0.037842,-2.534351,0.152672,-3.335878
1.039795,-0.001221,-0.037598,-2.854962,-0.206107,-3.877863
1.043457,0.005859,-0.049316,-3.038168,0.0,-4.900764
1.03418,0.012207,-0.057129,-3.335878,0.129771,-5.114504
1.033691,0.013428,-0.05542,-3.427481,0.206107,-5.091603
1.039062,0.019287,-0.058594,-3.458015,0.221374,-4.534351
1.04126,0.018066,-0.044922,-3.51145,0.015267,-3.671756
1.036133,0.013916,-0.049561,-3.603053,-0.259542,-3.648855
1.036133,0.012207,-0.043945,-3.442748,-0.587786,-3.847328
1.044678,0.012939,-0.050293,-3.19084,-1.335878,-4.099236
1.053711,0.009766,-0.064941,-2.900763,-1.122137,-4.427481
1.052002,0.010254,-0.057861,-2.519084,-0.015267,-4.80916
1.05127,0.018066,-0.052979,-2.419847,-0.114504,-4.129771
1.049561,0.015137,-0.046387,-2.29771,-0.763359,-3.40458
1.04248,0.022217,-0.036377,-2.083969,-0.832061,-3.091603
1.045166,0.015381,-0.049561,-2.183206,-0.465649,-3.610687
1.033203,0.014893,-0.055176,-2.244275,-0.427481,-4.122138
1.030518,0.022217,-0.051025,-2.282443,-0.167939,-4.603054
1.030029,0.023193,-0.054688,-2.167939,0.366412,-4.10687
1.031982,0.01709,-0.053711,-2.320611,0.435115,-3.923664
1.025635,0.016602,-0.041748,-2.29771,0.343511,-3.503817
1.031738,0.016846,-0.051514,-1.48855,-0.618321,-2.80916
1.040283,0.020264,-0.042725,-1.732824,-0.412214,-3.259542
1.039062,0.013428,-0.045654,-1.824427,-0.267176,-3.396947
1.035156,0.021729,-0.049805,-1.923664,-0.21374,-3.259542
1.02832,0.018311,-0.046875,-2.122137,0.007634,-3.244275
1.029785,0.024658,-0.050293,-1.870229,-0.435115,-3.091603
1.032227,0.018555,-0.039551,-1.870229,-1.152672,-3.099237
1.038818,0.020996,-0.041504,-1.824427,-1.969466,-3.725191
1.052979,0.018066,-0.038818,-1.603053,-2.832061,-3.748092
1.0625,0.023438,-0.053711,-1.618321,-2.358779,-3.816794
1.066406,0.027832,-0.049561,-1.351145,-2.007634,-4.10687
1.052734,0.026611,-0.04541,-1.175573,-1.992366,-4.29771
1.056641,0.032715,-0.052734,-1.442748,-1.908397,-4.580153
1.045898,0.014404,-0.067139,-1.59542,-0.610687,-4.641222
1.030762,0.019531,-0.057129,-1.80916,0.832061,-4.160306
1.022461,0.02417,-0.0625,-1.900763,1.641221,-3.641221
1.007324,0.019043,-0.05542,-2.022901,2.129771,-2.725191
1.012207,0.020996,-0.043945,-2.236641,2.030534,-2.007634
1.01001,0.024902,-0.042236,-2.206107,1.480916,-1.435115
1.016113,0.019043,-0.051514,-2.328244,1.076336,-1.175573
1.029053,0.026123,-0.047607,-2.175573,0.145038,-0.816794
1.039307,0.019531,-0.041992,-2.290076,-0.648855,-0.931298
