time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1737320067,1.1430664062,-0.0461425781,-0.2272949219,-1.7709923983, 1.5114504099, -0.9160305262
1737330067,1.1391601562,-0.0444335938,-0.2216796875,-1.5114504099, 1.4656488895, -1.3435114622
1737340067,1.1381835938,-0.0456542969,-0.2209472656,-1.4656488895, 1.4045801163, -1.4961831570
1737350067,1.1433105469,-0.0415039062,-0.2199707031,-1.2824426889, 1.0076335669, -1.1603053808
1737360067,1.1452636719,-0.0412597656,-0.2204589844,-1.4045801163, 0.5801526904, -1.1908396482
1737370067,1.1423339844,-0.0461425781,-0.2312011719,-1.5572519302, 0.3511450291, -0.9007633328
1737380067,1.1484375000,-0.0424804688,-0.2355957031,-1.6335878372, -0.0458015278, -0.9618320465
1737390067,1.1433105469,-0.0444335938,-0.2351074219,-1.6641221046, 0.5801526904, -1.0534350872
1737400067,1.1467285156,-0.0471191406,-0.2326660156,-1.5572519302, 1.2519084215, -0.8702290058
1737410067,1.1391601562,-0.0454101562,-0.2414550781,-1.9389313459, 1.6030534506, -0.6717557311
1737420067,1.1440429688,-0.0461425781,-0.2333984375,-1.9389313459, 1.5114504099, -0.6717557311
1737430067,1.1401367188,-0.0505371094,-0.2294921875,-1.9694656134, 1.4656488895, -0.7480915785
1737440067,1.1418457031,-0.0505371094,-0.2248535156,-1.9541984797, 1.1450381279, -0.8854961991
1737450067,1.1474609375,-0.0402832031,-0.2255859375,-1.7709923983, 1.2061069012, -1.0839694738
1737460067,1.1535644531,-0.0476074219,-0.2255859375,-1.8015266657, 1.5114504099, -1.2671755552
1737470067,1.1474609375,-0.0451660156,-0.2336425781,-1.8167939186, 1.5267175436, -0.9312977195
1737480215,1.1425781250,-0.0522460938,-0.2294921875,-1.5877863169, 1.5114504099, -1.1603053808
1737490067,1.1437988281,-0.0515136719,-0.2248535156,-1.8625954390, 1.1755725145, -1.2977099419
1737500067,1.1423339844,-0.0490722656,-0.2255859375,-1.8931298256, 1.0076335669, -1.3587785959
1737510067,1.1430664062,-0.0498046875,-0.2292480469,-1.8320610523, 1.0076335669, -1.4656488895
1737520067,1.1413574219,-0.0463867188,-0.2292480469,-1.8015266657, 0.8396946788, -1.5725190639
1737530067,1.1469726562,-0.0510253906,-0.2263183594,-1.7557251453, 1.0229008198, -1.6183205843
1737540067,1.1442871094,-0.0473632812,-0.2299804688,-1.9236640930, 1.1450381279, -1.9541984797
1737550067,1.1391601562,-0.0502929688,-0.2314453125,-1.6335878372, 0.9618320465, -2.2137403488
1737560067,1.1401367188,-0.0412597656,-0.2316894531,-1.5877863169, 1.1297709942, -2.0152671337
1737570067,1.1442871094,-0.0434570312,-0.2265625000,-1.4503816366, 1.5419846773, -1.7404580116
1737580067,1.1486816406,-0.0441894531,-0.2395019531,-1.3435114622, 1.5725190639, -1.4809160233
1737590067,1.1433105469,-0.0505371094,-0.2292480469,-1.5419846773, 1.6183205843, -1.4198473692
1737600067,1.1401367188,-0.0522460938,-0.2355957031,-1.4961831570, 0.9923664331, -1.3435114622
1737610067,1.1442871094,-0.0485839844,-0.2309570312,-1.6183205843, 0.9007633328, -1.0687023401
1737620067,1.1386718750,-0.0529785156,-0.2331542969,-1.5114504099, 1.0381679535, -0.9312977195
1737630067,1.1486816406,-0.0434570312,-0.2290039062,-1.4656488895, 0.8854961991, -1.4198473692
1737640067,1.1357421875,-0.0515136719,-0.2397460938,-1.5419846773, 0.9618320465, -2.5190839767
1737650067,1.1357421875,-0.0390625000,-0.2272949219,-1.4198473692, 0.8396946788, -4.4274806976
1737660067,1.1342773438,-0.0373535156,-0.2299804688,-1.7709923983, 1.7862595320, -1.9847328663
1737670067,1.1293945312,-0.0495605469,-0.2280273438,-1.2824426889, 2.2748091221, -1.7862595320
1737680067,1.1389160156,-0.0590820312,-0.2316894531,-1.6183205843, 2.0458016396, -2.0610687733
1737690067,1.1447753906,-0.0454101562,-0.2302246094,-1.5267175436, 1.3893129826, -0.8549618125
1737700067,1.1430664062,-0.0478515625,-0.2309570312,-1.6030534506, 1.4809160233, -0.1068702266
1737710067,1.1484375000,-0.0427246094,-0.2258300781,-1.7709923983, 1.8473281860, -0.8244274855
1737720067,1.1547851562,-0.0485839844,-0.2304687500,-1.8931298256, 1.8167939186, -2.2595419884
1737730067,1.1301269531,-0.0402832031,-0.2326660156,-1.6793893576, 1.3587785959, -3.3282442093
1737740067,1.1372070312,-0.0444335938,-0.2170410156,-1.8625954390, 1.0381679535, -3.5267176628
1737750067,1.1428222656,-0.0427246094,-0.2268066406,-1.6946564913, 1.2824426889, -3.2824428082
1737760067,1.1538085938,-0.0483398438,-0.2216796875,-1.4503816366, 1.1908396482, -2.9465649128
1737770067,1.1547851562,-0.0458984375,-0.2404785156,-1.1908396482, 0.9770992398, -3.1145038605
1737780067,1.1508789062,-0.0471191406,-0.2385253906,-1.1145038605, 0.7480915785, -3.0076336861
1737790067,1.1467285156,-0.0483398438,-0.2351074219,-1.0992366076, 0.7786259651, -2.6259541512
1737800067,1.1538085938,-0.0468750000,-0.2395019531,-1.2519084215, 0.8091602921, -2.5190839767
1737810067,1.1484375000,-0.0351562500,-0.2387695312,-1.3740458488, 0.8244274855, -2.5038168430
1737820067,1.1428222656,-0.0537109375,-0.2470703125,-1.5267175436, 1.4198473692, -2.1832060814
1737830067,1.1459960938,-0.0449218750,-0.2331542969,-1.7404580116, 1.9083969593, -2.0152671337
1737840067,1.1391601562,-0.0441894531,-0.2246093750,-1.6488549709, 2.1068701744, -2.0916030407
1737850067,1.1350097656,-0.0471191406,-0.2204589844,-1.8931298256, 2.1832060814, -2.1068701744
1737860067,1.1398925781,-0.0466308594,-0.2248535156,-1.7099236250, 2.2137403488, -2.2595419884
1737870067,1.1401367188,-0.0493164062,-0.2231445312,-1.4045801163, 1.6183205843, -1.9847328663
1737880067,1.1484375000,-0.0493164062,-0.2185058594,-1.4198473692, 1.6030534506, -1.7251908779
1737890067,1.1391601562,-0.0390625000,-0.2324218750,-1.4961831570, 1.5114504099, -1.7557251453
1737900067,1.1430664062,-0.0502929688,-0.2297363281,-1.8320610523, 1.1603053808, -1.5114504099
1737910067,1.1450195312,-0.0505371094,-0.2231445312,-1.6793893576, 0.8244274855, -1.2977099419
1737920067,1.1484375000,-0.0607910156,-0.2387695312,-1.6946564913, 0.5801526904, -0.9312977195
1737930067,1.1547851562,-0.0488281250,-0.2336425781,-1.7404580116, 0.3358778656, -1.5419846773
1737940067,1.1518554688,-0.0341796875,-0.2446289062,-1.8473281860, 0.3511450291, -0.3511450291
1737950067,1.1450195312,-0.0466308594,-0.2424316406,-1.8167939186, 0.6412213445, -0.5038167834
1737960067,1.1250000000,-0.0476074219,-0.2287597656,-1.8167939186, 0.7175572515, -0.8549618125
