xacc,yacc,zacc,xgyro,ygyro,zgyro
1.05,-0.08,0.11,-4.36,5.59,-1.08
1.05,-0.08,0.11,-3.88,5.78,-1.16
1.05,-0.08,0.12,-3.37,5.79,-0.89
1.05,-0.08,0.12,-2.55,5.28,-0.31
1.05,-0.07,0.14,-1.92,5.46,0.21
1.04,-0.07,0.14,-1.29,5.03,1.27
1.03,-0.07,0.15,-0.92,3.88,2.40
1.02,-0.07,0.15,-1.22,2.02,3.21
1.01,-0.07,0.15,-1.21,-0.06,3.89
1.00,-0.06,0.15,-1.05,-2.56,5.09
1.00,-0.05,0.13,-1.18,-5.19,6.95
1.01,-0.07,0.12,-1.75,-7.44,8.02
1.02,-0.09,0.13,-2.53,-9.50,8.45
1.02,-0.11,0.11,-2.87,-10.66,7.40
1.02,-0.11,0.10,-3.48,-11.62,6.46
1.02,-0.12,0.10,-3.91,-11.59,5.56
1.02,-0.12,0.08,-4.14,-10.69,5.11
1.02,-0.11,0.07,-4.03,-9.13,5.36
1.03,-0.12,0.07,-4.00,-7.32,5.18
1.03,-0.12,0.07,-4.16,-4.77,4.72
1.04,-0.14,0.08,-4.23,-2.36,2.89
1.05,-0.15,0.07,-3.90,0.17,0.29
1.05,-0.14,0.08,-3.61,2.28,-2.04
1.05,-0.15,0.09,-3.20,3.85,-3.92
1.04,-0.14,0.10,-2.73,4.73,-5.02
1.04,-0.13,0.10,-2.25,4.89,-5.69
1.04,-0.13,0.11,-1.71,4.71,-6.17
1.03,-0.13,0.13,-0.95,3.95,-6.34
1.02,-0.13,0.13,0.08,2.99,-6.40
1.03,-0.12,0.13,0.57,2.06,-6.56
1.03,-0.12,0.14,1.38,0.84,-6.46
1.03,-0.12,0.13,1.92,-0.21,-6.22
1.03,-0.12,0.14,2.29,-1.34,-6.13
1.03,-0.13,0.13,2.75,-2.59,-6.40
1.03,-0.12,0.14,2.94,-3.46,-6.62
1.04,-0.13,0.13,3.13,-3.68,-6.98
1.04,-0.12,0.12,2.95,-3.50,-7.20
1.05,-0.13,0.11,2.85,-2.82,-7.09
1.05,-0.12,0.12,2.56,-2.21,-7.35
1.05,-0.13,0.12,2.34,-0.99,-7.65
1.05,-0.13,0.10,2.27,0.05,-7.80
1.06,-0.12,0.11,1.95,1.34,-7.92
1.06,-0.12,0.10,1.68,2.38,-7.82
1.06,-0.11,0.11,1.65,3.25,-7.66
1.05,-0.12,0.10,1.59,4.00,-7.33
1.05,-0.12,0.11,1.71,4.88,-7.05
1.05,-0.11,0.11,1.82,5.22,-6.42
1.04,-0.11,0.12,2.21,5.43,-6.11
1.04,-0.10,0.12,2.19,5.50,-5.47
1.05,-0.10,0.12,2.73,5.04,-5.01
1.04,-0.10,0.12,2.75,4.43,-4.38
1.02,-0.08,0.11,2.77,3.53,-3.45
1.02,-0.07,0.11,3.18,2.27,-3.03
1.01,-0.07,0.10,3.73,0.99,-2.55
1.01,-0.05,0.10,4.20,-0.21,-2.12
1.01,-0.05,0.09,4.56,-0.76,-0.93
1.03,-0.04,0.09,4.14,-0.95,0.20
1.04,-0.05,0.08,4.22,-1.07,0.58
1.03,-0.06,0.09,3.68,-1.22,0.61
1.02,-0.05,0.09,3.16,-0.95,0.27
1.01,-0.05,0.09,2.79,-0.60,0.51
1.01,-0.04,0.10,1.77,0.44,1.17
1.02,-0.04,0.09,1.40,0.81,2.22
1.02,-0.05,0.08,0.76,1.02,2.86
1.02,-0.06,0.08,0.62,0.67,3.25
1.01,-0.06,0.08,0.09,0.19,3.31
1.02,-0.06,0.07,-0.10,-0.56,3.73
1.01,-0.06,0.08,-0.63,-1.05,4.26
1.01,-0.07,0.08,-0.85,-1.21,4.69
1.02,-0.07,0.07,-0.99,-1.30,5.14
1.02,-0.08,0.08,-1.27,-1.08,5.00
1.02,-0.09,0.08,-1.64,-0.47,4.48
1.02,-0.10,0.07,-1.56,0.02,3.83
1.03,-0.10,0.07,-1.72,0.85,3.18
1.04,-0.10,0.07,-1.73,1.74,2.40
1.04,-0.10,0.07,-1.76,2.97,1.92
1.04,-0.10,0.08,-1.63,3.89,1.82
1.04,-0.09,0.08,-1.62,4.21,1.36
1.04,-0.10,0.09,-1.42,4.51,0.90
1.03,-0.09,0.10,-1.59,4.58,0.30
1.04,-0.09,0.10,-1.50,4.37,-0.30
1.04,-0.09,0.11,-1.43,4.17,-1.06
1.03,-0.09,0.11,-1.28,3.40,-1.40
1.03,-0.09,0.12,-1.37,2.95,-1.65
1.04,-0.09,0.13,-1.23,2.46,-1.53
1.04,-0.09,0.12,-1.24,1.86,-1.71
1.04,-0.08,0.12,-1.34,1.66,-1.53
1.04,-0.09,0.13,-0.93,1.44,-1.13
1.04,-0.08,0.13,-0.87,1.26,-0.15
1.04,-0.08,0.13,-0.72,1.50,0.40
1.03,-0.08,0.13,-0.41,1.63,0.85
1.04,-0.08,0.13,-0.22,1.79,0.89
1.05,-0.08,0.13,-0.06,1.73,0.95
1.05,-0.08,0.13,-0.04,1.72,0.95
1.04,-0.08,0.13,0.20,1.59,1.14
1.04,-0.08,0.12,0.54,1.47,1.02
1.04,-0.08,0.12,0.88,1.50,1.13
1.04,-0.07,0.13,1.31,1.60,1.74
1.04,-0.07,0.12,1.79,1.56,2.07
1.04,-0.07,0.13,1.76,1.71,2.59
1.04,-0.08,0.12,-5.91,1.22,-4.20
1.04,-0.08,0.13,-5.86,1.30,-4.26
1.04,-0.08,0.12,-6.03,1.21,-3.83
1.04,-0.07,0.13,-5.80,1.34,-3.52
1.05,-0.07,0.13,-5.73,1.22,-3.02
1.04,-0.08,0.14,-5.37,1.17,-2.64
1.04,-0.08,0.14,-5.31,1.21,-2.15
1.04,-0.08,0.15,-5.09,0.85,-1.93
1.04,-0.07,0.15,-4.83,0.68,-1.34
1.04,-0.07,0.15,-4.64,0.67,-0.66
1.04,-0.07,0.15,-4.47,0.30,-0.06
1.03,-0.07,0.16,-4.32,0.12,0.83
1.04,-0.08,0.16,-4.22,-0.17,1.33
1.04,-0.09,0.15,-3.92,-0.11,1.57
1.04,-0.09,0.15,-3.88,-0.30,1.90
1.04,-0.09,0.15,-3.74,-0.56,2.18
1.03,-0.09,0.15,-3.54,-0.66,2.10
1.02,-0.10,0.15,-3.44,-0.63,2.09
1.03,-0.09,0.15,-3.44,-0.79,1.87
1.01,-0.09,0.14,-3.47,-1.00,1.25
1.01,-0.09,0.14,-3.66,-1.19,0.47
1.02,-0.10,0.15,-3.50,-1.18,-0.24
1.03,-0.10,0.14,-3.34,-0.95,-0.21
1.04,-0.09,0.14,-3.37,-0.90,-0.16
1.03,-0.09,0.13,-3.73,-1.18,-0.16
1.02,-0.09,0.14,-3.80,-1.25,-0.41
1.02,-0.09,0.14,-3.82,-1.38,-0.23
1.03,-0.09,0.13,-4.04,-0.79,-0.39
1.04,-0.09,0.14,-3.95,-0.48,-0.40
1.03,-0.09,0.13,-3.85,-0.13,-0.73
1.04,-0.10,0.14,-3.73,-0.04,-1.56
1.03,-0.09,0.14,-3.55,0.09,-2.24
1.02,-0.09,0.14,-3.56,0.00,-2.44
1.03,-0.09,0.14,-3.58,0.01,-2.79
1.04,-0.10,0.14,-3.33,-0.07,-2.53
1.03,-0.09,0.15,-3.32,-0.03,-2.65
1.04,-0.09,0.16,-2.92,-0.20,-2.86
1.04,-0.10,0.14,-2.78,-0.37,-3.12
1.04,-0.09,0.14,-2.67,-0.57,-3.05
1.03,-0.09,0.14,-2.69,-1.12,-2.53
1.04,-0.09,0.14,-2.80,-1.20,-2.28
1.04,-0.08,0.13,-2.76,-1.33,-2.21
1.04,-0.08,0.13,-2.69,-1.40,-2.18
1.04,-0.09,0.13,-2.89,-1.53,-1.98
1.04,-0.09,0.12,-3.12,-1.26,-2.13
1.04,-0.08,0.13,-3.17,-1.33,-2.12
1.04,-0.09,0.12,-3.41,-0.87,-2.10
1.04,-0.09,0.12,-3.49,-0.76,-2.24
1.04,-0.08,0.12,-3.72,-0.44,-2.08
1.03,-0.09,0.13,-3.89,-0.19,-2.01
1.04,-0.09,0.12,-4.06,0.11,-2.24
1.04,-0.09,0.12,-4.08,0.60,-2.58
1.03,-0.09,0.14,-4.27,1.02,-3.08
1.03,-0.09,0.14,-4.51,1.26,-3.47
1.03,-0.09,0.13,-4.45,1.72,-3.93
1.03,-0.09,0.12,-4.66,2.17,-4.21
1.03,-0.08,0.13,-4.73,2.36,-4.18
1.04,-0.07,0.14,-4.64,2.54,-4.21
1.03,-0.07,0.14,-4.50,2.69,-4.16
1.03,-0.07,0.15,-4.54,2.68,-4.30
1.04,-0.07,0.15,-4.47,2.47,-4.35
1.03,-0.07,0.15,-4.32,2.23,-4.95
1.03,-0.08,0.14,-4.27,2.21,-5.26
1.03,-0.07,0.15,-3.99,1.93,-5.55
1.03,-0.07,0.15,-3.97,1.47,-5.98
1.03,-0.06,0.16,-3.60,1.24,-6.18
1.03,-0.06,0.15,-3.49,0.82,-6.28
1.03,-0.05,0.15,-3.37,0.73,-5.76
1.03,-0.06,0.15,-3.07,0.37,-5.01
1.03,-0.06,0.16,-2.74,0.31,-4.53
1.03,-0.07,0.15,-2.79,0.00,-4.44
1.03,-0.07,0.15,-2.65,-0.18,-4.20
1.03,-0.06,0.16,-2.37,-0.44,-4.62
1.03,-0.07,0.16,-2.27,-0.37,-4.73
1.03,-0.07,0.15,-2.22,-0.47,-4.72
1.03,-0.06,0.14,-2.29,-0.86,-4.69
1.03,-0.07,0.15,-2.15,-1.35,-4.92
1.03,-0.07,0.15,-1.99,-1.63,-5.20
1.03,-0.07,0.15,-1.91,-1.86,-5.69
1.03,-0.07,0.15,-1.82,-1.93,-5.91
1.03,-0.07,0.14,-1.34,-1.86,-6.29
1.04,-0.07,0.15,-1.15,-2.14,-6.93
1.04,-0.07,0.15,-0.97,-2.24,-7.48
1.03,-0.08,0.15,0.09,-2.47,-8.31
1.04,-0.06,0.14,-0.11,-1.95,-8.53
1.05,-0.06,0.15,-0.10,-1.71,-8.61
1.05,-0.05,0.15,-0.37,-1.54,-8.60
1.04,-0.07,0.15,-0.25,-1.46,-8.06
1.04,-0.07,0.16,0.04,-1.55,-7.76
1.04,-0.06,0.15,0.15,-1.60,-7.86
1.05,-0.06,0.15,0.11,-1.80,-7.78
1.05,-0.06,0.15,0.56,-2.18,-8.30
1.05,-0.08,0.14,1.32,-2.60,-8.24
1.04,-0.06,0.12,1.42,-3.55,-9.43
1.06,-0.07,0.14,1.91,-3.48,-9.02
1.05,-0.06,0.13,0.87,-3.04,-9.24
1.06,-0.06,0.13,0.58,-2.73,-9.33
1.04,-0.07,0.13,0.37,-2.39,-9.31
1.05,-0.07,0.13,0.60,-1.82,-9.40
1.05,-0.06,0.13,0.26,-0.73,-10.10
0.67,0.02,-0.44,45.19,-45.74,-25.53
0.65,0.02,-0.44,44.02,-43.24,-27.61
0.64,0.01,-0.44,43.12,-41.70,-31.13
0.64,0.01,-0.44,41.85,-40.12,-36.42
0.67,0.04,-0.47,41.44,-40.05,-42.88
0.69,0.13,-0.50,41.00,-40.92,-43.28
0.73,0.20,-0.51,39.02,-41.11,-39.82
0.77,0.23,-0.51,35.91,-39.53,-34.20
0.78,0.26,-0.51,32.14,-36.03,-31.50
0.78,0.23,-0.51,26.63,-29.64,-25.53
0.74,0.21,-0.52,19.15,-21.47,-25.50
0.70,0.16,-0.52,11.42,-13.23,-29.44
0.65,0.11,-0.53,5.82,-4.58,-34.90
0.64,0.05,-0.50,1.89,4.45,-38.17
0.61,0.04,-0.46,-0.72,12.34,-41.92
0.57,0.04,-0.44,-1.95,18.16,-44.15
0.55,0.03,-0.40,-2.30,21.59,-42.85
0.54,0.03,-0.36,-1.40,22.68,-41.24
0.55,0.01,-0.29,0.41,23.21,-36.18
0.51,-0.00,-0.25,3.06,21.65,-34.64
0.51,0.00,-0.23,5.83,19.34,-30.25
0.53,-0.01,-0.21,7.91,16.75,-27.60
0.55,-0.02,-0.20,10.13,14.37,-26.51
0.58,-0.01,-0.20,12.19,12.98,-24.59
0.59,-0.02,-0.19,12.34,12.67,-21.45
0.61,-0.03,-0.17,10.51,13.05,-20.67
0.64,-0.05,-0.18,8.28,13.27,-20.83
0.66,-0.07,-0.18,5.58,14.47,-20.05
0.65,-0.09,-0.18,3.84,15.93,-18.09
0.66,-0.08,-0.18,1.56,17.20,-17.87
0.65,-0.08,-0.17,-1.12,17.96,-18.56
