xacc,yacc,zacc,xgyro,ygyro,zgyro
1.016602,0.189697,-0.044922,1.358779,-8.0,-0.442748
1.008301,0.230469,-0.038574,0.770992,-6.091603,-0.587786
1.041504,0.254639,-0.019287,1.229008,-6.08397,0.427481
1.054688,0.262207,-0.019043,0.59542,-3.78626,2.473282
1.039795,0.25415,-0.015625,0.725191,-1.900763,1.679389
1.002441,0.178467,0.005859,-1.335878,-4.770992,2.427481
1.01416,0.130615,0.0271,-1.458015,-8.503817,-1.343511
1.023438,0.176514,-0.00415,-1.725191,-7.091603,2.091603
0.994385,0.19458,-0.013428,-1.396947,-5.465649,2.854962
0.991943,0.191895,-0.019043,-2.083969,-6.152672,4.129771
1.051758,0.184814,-0.017578,-3.259542,-6.328244,3.946565
1.069092,0.121338,0.000977,-5.870229,-14.145039,0.244275
1.063232,0.124268,0.017822,-4.870229,-19.671755,-3.259542
1.023193,0.274902,-0.019287,-1.824427,-19.290077,-1.824427
1.036621,0.360107,-0.138184,-3.717557,-17.786259,8.519084
1.063477,0.240967,-0.184814,-7.259542,-12.984733,6.862596
1.082031,0.187988,-0.197266,-12.839695,-7.335878,8.175572
1.091553,0.034912,-0.11084,-15.160305,-1.709924,4.290076
1.082275,0.017334,-0.00293,-12.61832,-1.358779,-0.572519
1.008789,0.135498,0.002441,-8.725191,-2.541985,2.129771
0.981934,0.216797,0.000488,-4.961832,-2.259542,3.038168
1.013672,0.283447,-0.009521,-3.152672,-4.114504,7.022901
1.002686,0.255615,-0.011963,-2.282443,-8.40458,7.48855
1.026611,0.168701,-0.031982,-2.465649,-12.137404,7.427481
1.002197,-0.018066,-0.072266,-2.328244,-13.076336,6.687023
1.099609,0.117432,-0.065186,-4.870229,-12.061069,1.648855
1.014404,0.182861,-0.087646,-8.091603,-13.305344,2.320611
1.040283,0.240967,-0.159424,-9.297709,-14.282443,1.198473
1.048584,0.229248,-0.182373,-10.687023,-11.343512,-2.671756
0.960205,0.18457,-0.126709,-10.106871,-7.992366,-4.51145
0.992432,0.162842,-0.083008,-9.816793,-4.412214,-4.557252
1.01001,0.006592,0.000977,-5.664122,-7.931298,-9.206107
1.025146,0.18457,-0.026123,-6.801527,-10.847328,-7.938931
1.02002,0.205811,-0.040039,-6.282443,-12.908397,-2.290076
1.105957,0.199219,-0.076416,-6.977099,-12.129771,0.618321
1.119629,0.157959,-0.073975,-6.717557,-9.908397,-2.679389
1.080566,0.172607,-0.061279,-7.61832,-11.229008,-2.458015
1.062744,0.155029,-0.040283,-8.091603,-10.274809,-7.137404
1.053467,0.213379,0.000244,-8.603053,-6.671756,-4.343512
0.954102,0.202393,-0.011963,-5.152672,-9.045801,-3.10687
0.937988,0.170166,-0.023193,-4.160306,-9.396947,-3.114504
0.989502,0.166748,-0.028564,-3.541985,-7.80916,-3.572519
0.97998,0.162598,-0.046387,-1.908397,-5.625954,-6.832061
1.000732,0.086426,-0.042969,0.412214,-6.717557,-13.748092
1.0271,0.07373,-0.005371,4.48855,-5.748092,-19.396946
1.019775,0.123047,0.020508,7.183206,-4.580153,-19.061069
0.981934,0.117676,0.024414,8.244275,-7.137404,-23.0
0.988037,0.126465,-0.013184,7.10687,-8.465649,-25.251909
1.002686,0.117188,-0.071777,4.763359,-11.175572,-27.694656
1.012451,0.121338,-0.103516,2.671756,-12.931297,-33.145039
0.962158,0.151855,-0.124756,1.70229,-12.625955,-36.114502
0.970215,0.188721,-0.171875,-0.076336,-13.694656,-33.984734
1.030273,0.130615,-0.159668,0.572519,-8.068703,-34.366413
1.067871,0.114014,-0.108643,4.137404,-2.938931,-36.389313
1.081055,0.142822,-0.049316,7.175572,-1.496183,-37.129772
0.998779,0.217041,-0.053711,7.526718,-5.129771,-34.595421
0.999512,0.243896,-0.09668,4.847328,-7.343512,-36.091602
1.009766,0.166016,-0.119873,1.145038,-6.938931,-39.213741
1.004639,0.07373,-0.093994,1.51145,-6.068702,-45.740459
0.97168,0.125244,-0.047607,3.229008,-6.564886,-49.35878
0.95166,0.192139,-0.016602,3.992366,-9.122137,-52.61832
1.033936,0.251709,0.005371,6.030534,-9.496183,-48.870228
1.0979,0.300293,-0.003418,10.007633,-10.396947,-49.015266
1.09082,0.385742,-0.071533,9.244275,-15.541985,-47.030533
1.13623,0.226318,-0.171631,2.648855,-18.259542,-50.496181
1.198242,0.101318,-0.156982,3.671756,-7.519084,-64.473282
1.04126,0.246582,-0.145752,4.053435,-5.114504,-65.793892
1.013428,0.236328,-0.113037,3.40458,-8.022901,-65.091606
1.032959,0.254395,-0.067871,5.496183,-6.091603,-68.28244
0.905762,0.364014,-0.037109,5.885496,-5.687023,-67.832062
0.869873,0.334717,-0.022705,6.229008,-11.389313,-67.503815
0.924561,0.285645,-0.043945,8.961832,-15.206107,-70.137405
0.974854,0.322998,-0.07959,10.473283,-18.832062,-69.007637
1.033691,0.233643,-0.105225,12.480916,-19.763359,-75.335876
0.998291,0.157715,-0.102783,13.21374,-18.213741,-84.564888
0.901123,0.150635,-0.05542,16.694656,-12.984733,-90.809158
0.750244,0.365234,-0.073975,16.580153,-19.396946,-92.885498
0.875488,0.412842,-0.095703,14.526717,-20.465649,-91.297707
0.841797,0.399414,-0.105713,11.854961,-23.824427,-99.916031
0.872803,0.284668,-0.049561,14.557252,-21.412214,-106.534348
0.782715,0.38208,-0.023438,19.106871,-26.946566,-106.152672
0.78125,0.52417,-0.073975,20.549618,-33.32061,-99.969467
0.808105,0.541748,-0.114746,22.580153,-34.854961,-97.618324
0.838623,0.579102,-0.1604,21.076336,-36.274811,-93.167938
0.885254,0.491211,-0.189453,18.267176,-40.152672,-92.763359
0.89624,0.416016,-0.204346,17.244274,-37.824429,-100.610687
0.856689,0.375,-0.213867,16.70229,-38.244274,-105.725189
0.811523,0.435303,-0.2229,20.244274,-32.114502,-108.099236
0.741943,0.531738,-0.241211,20.664122,-28.671755,-109.183205
0.719727,0.650391,-0.227295,24.48855,-28.183207,-103.480919
0.664795,0.748535,-0.198242,25.412214,-27.022902,-98.251907
0.612061,0.722656,-0.243164,26.022902,-27.80916,-88.267174
0.82373,0.861816,-0.143066,14.702291,-35.992367,-78.64122
0.823242,0.636719,-0.249023,12.198473,-43.030533,-77.893127
0.862549,0.551025,-0.255127,14.503817,-36.893131,-85.916031
0.694824,0.741699,-0.317383,14.59542,-28.656488,-89.129768
0.628662,0.856689,-0.297363,16.183207,-26.931297,-78.809158
0.513428,0.821777,-0.327881,18.145039,-26.061069,-71.67939
0.454102,0.665283,-0.340576,19.900763,-26.885496,-73.740456
0.671875,0.726562,-0.248779,16.740458,-32.083969,-69.954201
0.753906,0.661621,-0.229248,14.259542,-38.259541,-70.809158
0.736328,0.688721,-0.289062,13.977099,-41.183205,-71.39695
0.667236,0.7146,-0.362793,13.152672,-37.65649,-69.885498
0.618164,0.807373,-0.396484,12.977099,-30.732824,-68.587784
0.509521,0.908691,-0.441895,11.603053,-26.458015,-62.099236
0.520264,0.851074,-0.391846,10.603053,-21.282442,-60.282444
0.495605,0.871582,-0.372803,10.992367,-22.748091,-60.251907
0.54126,0.864014,-0.351318,9.740458,-25.083969,-53.038166
0.575195,0.76001,-0.324219,7.80916,-27.603054,-51.213741
0.651123,0.593994,-0.329102,8.824428,-29.259542,-54.404579
0.617676,0.721436,-0.31543,13.633588,-21.450382,-58.198475
0.464111,0.921143,-0.354492,11.694656,-24.259542,-47.648853
0.485352,0.855713,-0.347412,10.419847,-25.717558,-41.251907
0.477783,0.813477,-0.358887,10.305344,-27.229008,-42.816795
0.465332,0.825928,-0.395996,9.366412,-28.068703,-43.0229
0.478271,0.848633,-0.446777,6.274809,-29.549618,-39.931297
0.572021,0.7771,-0.453613,3.89313,-24.114504,-43.091602
0.628174,0.690674,-0.437988,3.251908,-16.061069,-45.076336
0.639893,0.733643,-0.403809,5.045802,-9.694656,-40.526718
0.591553,0.745361,-0.343262,5.450382,-8.282443,-37.015266
0.556641,0.698242,-0.30127,6.564886,-8.725191,-33.633587
0.492188,0.723877,-0.306396,6.717557,-13.0,-29.717558
0.44043,0.797607,-0.377441,5.366412,-15.648855,-25.961832
0.445557,0.801025,-0.44165,4.885496,-14.38168,-28.984734
0.41333,0.897949,-0.472168,4.648855,-5.053435,-31.534351
0.395752,0.845215,-0.432373,5.480916,0.129771,-32.198475
0.445068,0.859375,-0.336182,7.679389,0.961832,-31.274809
0.445068,0.922852,-0.289062,8.351145,-4.038168,-25.793894
0.439453,0.893066,-0.314697,6.458015,-15.343512,-24.977098
0.527832,0.763184,-0.358643,5.801527,-22.404581,-26.137405
0.568604,0.759277,-0.417969,4.931298,-19.877863,-22.67939
0.480469,0.837891,-0.500488,0.534351,-15.366412,-18.068703
0.474365,0.819824,-0.523682,0.877863,-6.656488,-21.274809
0.380615,0.893799,-0.481201,0.656489,0.328244,-25.312977
0.333496,0.898682,-0.4104,0.832061,1.641221,-21.748091
0.291504,0.895752,-0.355713,3.221374,1.877863,-23.198473
0.291748,0.887939,-0.340088,4.389313,-4.419847,-20.740458
0.387695,0.861572,-0.345459,4.183206,-10.625955,-19.030535
0.499512,0.811523,-0.387939,3.221374,-13.297709,-18.595419
0.516113,0.841553,-0.452148,-0.129771,-12.740458,-16.259542
0.545166,0.837891,-0.507812,-1.931298,-9.343512,-17.183207
0.463135,0.844482,-0.492188,-2.290076,-1.083969,-22.961832
0.378174,0.885498,-0.452393,-2.89313,1.748092,-20.595419
0.381348,0.839111,-0.381592,-1.503817,1.755725,-21.068703
0.437988,0.859863,-0.3396,-0.458015,1.053435,-20.442749
0.428223,0.870605,-0.332275,-0.725191,-3.938931,-15.908397
0.497559,0.803223,-0.350342,-0.29771,-6.099236,-18.541985
0.506592,0.785645,-0.371826,0.29771,-5.496183,-19.435114
0.470947,0.833252,-0.39502,0.725191,-6.312977,-17.526718
0.426514,0.861328,-0.420898,0.832061,-6.946565,-20.763359
0.43457,0.81543,-0.418457,0.328244,-6.931298,-26.106871
0.492432,0.787598,-0.386719,1.793893,-4.312977,-25.259542
0.440918,0.804688,-0.35376,2.351145,-4.206107,-22.137405
0.421387,0.812256,-0.348877,2.854962,-5.442748,-21.885496
0.362305,0.825195,-0.355713,2.801527,-8.259542,-23.312977
0.377686,0.817627,-0.376709,2.259542,-11.366412,-24.458015
0.43335,0.794922,-0.396484,1.78626,-12.633588,-27.435114
0.497559,0.787842,-0.412109,2.122137,-11.679389,-29.427481
0.48584,0.814209,-0.417969,2.381679,-9.053435,-26.755726
0.384033,0.8479,-0.409668,2.839695,-5.648855,-26.167938
0.328857,0.852539,-0.416992,3.343511,-7.320611,-26.67939
0.312744,0.813965,-0.432129,1.961832,-8.78626,-29.877863
0.357178,0.821289,-0.426758,2.396947,-7.717557,-30.328245
0.391602,0.820068,-0.412109,2.21374,-6.259542,-31.404581
0.469727,0.826172,-0.364502,4.206107,-4.503817,-35.183205
0.399902,0.864502,-0.323242,6.366412,-5.053435,-29.435114
0.314209,0.904053,-0.328369,7.0,-10.251908,-24.977098
0.251221,0.906738,-0.38916,7.900764,-14.534351,-26.083969
0.243164,0.868164,-0.442871,6.312977,-18.473282,-27.0
0.344727,0.841553,-0.479004,5.175572,-16.274809,-30.358778
0.414307,0.851562,-0.481445,5.091603,-12.61832,-29.419847
0.421875,0.854736,-0.423096,6.412214,-10.183207,-31.977098
0.36792,0.867432,-0.391846,7.984733,-10.473283,-32.580154
0.302002,0.872559,-0.385986,8.351145,-12.450381,-28.022902
0.234131,0.856689,-0.415039,6.78626,-16.61832,-27.885496
0.299316,0.827637,-0.466309,6.053435,-17.351145,-31.114504
0.355469,0.804932,-0.471436,6.541985,-14.40458,-36.099236
0.358398,0.807861,-0.449951,5.068702,-14.450381,-38.290077
0.351074,0.816162,-0.446777,4.366412,-13.702291,-36.488548
0.28418,0.842529,-0.435791,4.954198,-11.732824,-34.984734
0.181641,0.876953,-0.456787,2.48855,-15.259542,-32.480915
0.238525,0.857178,-0.481201,1.938931,-14.687023,-34.35878
0.283691,0.861816,-0.472168,2.251908,-11.305344,-36.259541
0.28418,0.85498,-0.436279,2.740458,-9.954199,-37.274811
0.261475,0.876221,-0.426758,3.236641,-10.916031,-35.442749
0.216064,0.888428,-0.42334,3.824427,-12.824428,-34.908398
0.199463,0.90918,-0.456299,3.076336,-16.083969,-36.732826
0.272217,0.870605,-0.509766,1.778626,-18.419847,-37.435116
0.27417,0.825439,-0.521729,1.389313,-14.557252,-41.091602
0.172852,0.908447,-0.515381,-1.618321,-11.137404,-37.801525
0.129883,0.860352,-0.491699,-2.839695,-10.78626,-36.908398
0.16333,0.891602,-0.461182,-2.618321,-9.671756,-39.152672
0.137451,0.943115,-0.435059,-2.824427,-9.221375,-35.488548
0.093506,0.961182,-0.440186,-2.244275,-8.877863,-29.519083
0.147949,0.9021,-0.467285,0.427481,-9.40458,-32.488548
0.106689,0.943359,-0.491699,-0.480916,-6.854962,-28.786259
0.079834,0.946777,-0.519531,-3.21374,-7.122138,-26.175573
0.099854,0.936279,-0.551758,-6.305344,-3.580153,-9.641221
0.265137,0.726562,-0.515625,-5.969466,-9.206107,-47.778625
0.344482,0.941406,-0.391846,-6.335878,5.29771,-23.603054
0.103271,0.844971,-0.378174,-5.320611,-0.343511,-19.068703
0.048828,0.900879,-0.39502,-2.496183,-4.08397,-21.694656
0.085449,0.937744,-0.432373,-0.59542,-3.946565,-19.900763
0.106445,0.901367,-0.458252,-0.061069,-2.335878,-16.503817
0.155273,0.886719,-0.45752,1.870229,1.0,-16.793894
0.13623,0.895264,-0.440674,4.152672,4.267176,-14.290076
0.072266,0.905273,-0.436768,5.51145,4.229008,-9.603053
0.054199,0.934326,-0.474121,6.687023,2.763359,-12.824428
-0.10791,1.064697,-0.520996,-0.854962,8.923664,14.763359
0.21582,0.787354,-0.517334,4.40458,2.847328,-22.183207
0.269531,0.951416,-0.370361,1.679389,10.229008,3.763359
0.155273,0.808105,-0.377686,2.564885,3.244275,2.946565
0.124756,0.892334,-0.477295,2.541985,2.351145,-0.725191
0.067871,0.89502,-0.509766,1.40458,6.38168,2.862595
0.111084,0.88501,-0.523926,2.40458,6.931298,-0.587786
0.148438,0.918457,-0.46582,2.832061,11.114504,3.419847
0.12085,0.889648,-0.421875,3.122137,8.549619,5.206107
0.097168,0.913818,-0.456543,2.221374,7.664122,10.572519
0.110596,0.9021,-0.486084,2.51145,9.770992,10.427481
0.102295,0.926514,-0.495605,1.946565,11.0,9.977099
0.063721,0.914307,-0.467529,2.442748,13.961832,11.923664
0.211426,0.873535,-0.444336,3.885496,10.259542,5.503817
0.21167,0.899902,-0.469238,1.389313,9.290076,16.022902
0.175781,0.859863,-0.512939,-0.10687,7.320611,13.526717
0.18457,0.888672,-0.500732,-0.832061,8.312977,9.374045
0.186279,0.878418,-0.467529,-2.89313,5.274809,10.351145
0.218994,0.85498,-0.457031,-3.51145,4.519084,9.854961
0.197021,0.861816,-0.429688,-1.732824,5.030534,10.526717
0.150391,0.86499,-0.431885,-0.267176,3.80916,9.656488
0.172852,0.864258,-0.463867,0.374046,3.717557,10.21374
0.174072,0.875488,-0.48291,0.564885,5.114504,11.458015
0.156006,0.880371,-0.495605,-0.748092,5.427481,12.61832
0.181641,0.881348,-0.494873,-2.206107,4.89313,12.099236
0.216309,0.879395,-0.494873,-4.053435,4.335878,12.427481
0.238281,0.858398,-0.48584,-6.374046,2.580153,10.961832
0.255615,0.857666,-0.478516,-7.450382,2.274809,11.282443
0.205811,0.871582,-0.457275,-7.748092,2.053435,12.152672
0.180664,0.870361,-0.455566,-6.534351,1.687023,10.183207
0.197998,0.87207,-0.447998,-6.389313,0.160305,8.564885
0.258301,0.858887,-0.449951,-5.435114,0.732824,9.045801
0.227295,0.868164,-0.432129,-4.70229,1.290076,10.664123
0.192871,0.875244,-0.439697,-4.320611,0.129771,10.816793
0.234375,0.868652,-0.455811,-4.320611,-1.114504,8.038168
0.261719,0.87207,-0.471924,-5.061069,-0.244275,7.778626
0.248779,0.858887,-0.468262,-6.442748,0.030534,7.274809
0.251953,0.847412,-0.461182,-7.374046,-0.183206,5.152672
0.253174,0.841309,-0.457031,-7.763359,-1.10687,2.671756
0.2771,0.839844,-0.447754,-7.854962,-1.572519,2.152672
0.267578,0.838135,-0.433105,-7.183206,-1.152672,0.732824
0.246094,0.841797,-0.418457,-5.961832,-1.587786,-0.610687
0.254639,0.8396,-0.399658,-4.78626,-2.450382,-2.80916
0.274414,0.844727,-0.401611,-3.427481,-2.473282,-4.816794
0.26709,0.85083,-0.418945,-2.679389,-2.900763,-5.923664
0.252441,0.852783,-0.420898,-1.870229,-2.832061,-6.48855
0.236328,0.862061,-0.43042,-0.946565,-2.763359,-8.335877
0.252197,0.866943,-0.429199,0.015267,-3.183206,-9.19084
0.24292,0.86084,-0.435059,1.10687,-2.328244,-9.862596
0.227783,0.870605,-0.431641,2.40458,-1.847328,-9.78626
0.230225,0.851318,-0.426025,3.335878,-1.80916,-11.335877
0.246826,0.831055,-0.445801,3.374046,-2.748092,-13.641221
0.282959,0.826904,-0.461426,2.587786,-2.465649,-14.801527
0.26001,0.830566,-0.452881,1.977099,-2.229008,-14.59542
0.21875,0.855957,-0.44458,1.946565,-3.274809,-14.755725
0.210205,0.868652,-0.443604,2.167939,-3.992366,-15.480916
0.194092,0.87085,-0.4646,2.748092,-3.977099,-16.603054
0.207764,0.879395,-0.454102,3.450382,-3.038168,-16.465649
0.197998,0.861084,-0.44873,3.824427,-3.389313,-17.022902
0.210449,0.874756,-0.446045,4.91603,-2.358779,-16.748091
0.200195,0.870605,-0.465576,5.320611,-3.10687,-16.106871
0.20874,0.855225,-0.470703,5.587786,-2.824427,-16.908398
0.219727,0.857422,-0.478516,5.114504,-2.305344,-16.916031
0.19751,0.860107,-0.474609,4.534351,-2.427481,-16.213741
0.183105,0.870605,-0.481689,3.694656,-2.282443,-15.160305
0.167969,0.874268,-0.480957,3.137405,-2.442748,-14.763359
0.130127,0.9646,-0.50708,4.29771,4.755725,-10.122137
0.180908,0.808838,-0.474121,5.10687,-2.419847,-22.992367
0.197998,0.889404,-0.455566,2.992366,-0.648855,-13.473283
0.185303,0.84082,-0.470459,2.083969,-1.641221,-12.664123
0.128662,0.904541,-0.480713,1.80916,-1.038168,-11.801527
0.137695,0.882324,-0.493652,1.343511,-2.129771,-13.442748
0.175781,0.869385,-0.481201,1.946565,-0.977099,-13.687023
0.162842,0.856201,-0.471436,0.992366,-2.419847,-13.137404
0.16748,0.872559,-0.467773,-0.198473,-3.732824,-11.282443
0.143311,0.875244,-0.460693,1.687023,0.229008,-12.122137
0.155518,0.888184,-0.441895,3.419847,-2.419847,-12.977099
0.123047,0.879639,-0.472412,3.389313,-2.610687,-7.091603
0.131836,0.88623,-0.493896,3.633588,-1.435115,-10.083969
0.12085,0.916016,-0.491455,3.656489,1.923664,-8.419847
0.135986,0.908447,-0.499756,2.755725,-1.770992,-9.992367
0.166748,0.865234,-0.496094,2.748092,1.48855,-6.061069
0.160889,0.848389,-0.472412,2.351145,-1.587786,-9.679389
0.143799,0.871582,-0.492676,0.541985,-1.526718,-2.877863
0.157959,0.861572,-0.499023,1.450382,-0.305344,-7.824428
0.10791,0.891846,-0.480713,1.183206,0.473282,-5.740458
0.164307,0.888672,-0.477783,1.984733,-0.274809,-6.641222
0.145508,0.879639,-0.494385,1.21374,0.068702,-3.862595
0.142334,0.850342,-0.507568,0.641221,0.206107,-4.48855
0.143066,0.911865,-0.506836,0.885496,0.854962,-6.274809
0.119873,0.845703,-0.479492,0.389313,0.083969,-5.030534
0.166748,0.882324,-0.484131,0.229008,0.045802,-3.549618
0.150635,0.865234,-0.485596,0.114504,0.671756,-3.496183
0.13623,0.885498,-0.502686,0.80916,1.412214,-2.580153
0.140381,0.847168,-0.482666,0.022901,-0.480916,-6.038168
0.18042,0.868896,-0.485107,-1.167939,0.29771,-4.419847
0.154053,0.862305,-0.492188,-2.099237,-0.900763,-3.526718
0.134766,0.878174,-0.504883,-2.916031,-1.267176,-3.198473
0.128906,0.881348,-0.505127,-2.969466,-1.022901,-3.496183
0.117676,0.878418,-0.491699,-2.610687,-1.427481,-3.091603
0.130859,0.876221,-0.488281,-1.870229,-0.755725,-2.320611
0.128662,0.884277,-0.480957,-0.885496,0.274809,-1.48855
0.127441,0.881104,-0.478516,0.145038,1.022901,-0.916031
0.131836,0.88208,-0.492676,0.687023,1.625954,0.229008
0.136963,0.882324,-0.503906,0.618321,2.442748,0.916031
0.140869,0.87793,-0.499268,0.091603,2.343511,1.854962
0.160645,0.85376,-0.514893,-1.679389,1.603053,1.610687
0.179688,0.851562,-0.501953,-2.755725,1.564885,1.236641
0.149902,0.861572,-0.478027,-3.450382,0.740458,2.442748
0.14502,0.864258,-0.495361,-3.89313,0.458015,2.519084
0.150146,0.877686,-0.501221,-4.114504,0.923664,1.877863
0.146729,0.868652,-0.48584,-4.610687,0.312977,1.419847
0.165771,0.861328,-0.477539,-4.755725,-0.053435,2.10687
0.156006,0.870361,-0.487549,-4.946565,-0.175573,3.442748
0.134277,0.863281,-0.498047,-4.801527,-0.015267,3.503817
0.142822,0.880371,-0.503662,-4.694656,0.114504,3.068702
0.14917,0.875,-0.49585,-4.839694,0.022901,3.389313
0.148682,0.872803,-0.479736,-5.007634,0.076336,4.282443
0.145752,0.872314,-0.481689,-4.473282,0.374046,4.656488
0.149658,0.877197,-0.48291,-4.122138,0.541985,4.732824
0.171631,0.864258,-0.489746,-4.290076,1.473282,5.061069
0.17041,0.880615,-0.479004,-4.305344,2.19084,5.778626
0.156738,0.873535,-0.47876,-4.19084,1.877863,6.351145
0.163086,0.871094,-0.492676,-4.503817,1.503817,6.08397
0.189453,0.860107,-0.490967,-4.862596,1.801527,5.389313
0.189941,0.856689,-0.48291,-5.221374,1.435115,5.244275
0.177979,0.863281,-0.466553,-5.70229,0.89313,4.633588
0.191895,0.862061,-0.479736,-5.603054,0.175573,3.832061
0.193115,0.856201,-0.476807,-5.687023,-0.236641,2.954198
0.183594,0.86792,-0.480713,-5.885496,-0.564885,2.854962
0.185547,0.868896,-0.475586,-5.59542,-0.450382,2.687023
0.168701,0.865479,-0.472168,-5.160306,-0.633588,1.687023
0.170654,0.867676,-0.468994,-4.694656,-0.442748,2.167939
0.193848,0.859375,-0.460205,-3.816794,0.099237,1.70229
0.189453,0.855957,-0.459473,-3.29771,0.145038,1.129771
0.178467,0.859863,-0.464111,-3.175573,-0.038168,2.129771
0.176758,0.866943,-0.480469,-2.992366,0.030534,1.656489
0.178467,0.865479,-0.477295,-3.152672,-0.335878,0.885496
0.19165,0.859375,-0.481445,-3.442748,-0.572519,-0.045802
0.196533,0.859619,-0.476807,-3.778626,-0.435115,-0.496183
0.201416,0.858154,-0.469238,-4.022901,-1.015267,-1.007634
0.194824,0.858398,-0.463379,-3.717557,-0.984733,-1.984733
0.190918,0.85791,-0.472656,-3.526718,-0.900763,-2.038168
0.186279,0.861328,-0.461426,-3.259542,-1.061069,-2.70229
0.196533,0.862793,-0.470947,-3.099237,-1.022901,-3.328244
0.184326,0.867188,-0.482666,-2.977099,-1.10687,-3.618321
0.177002,0.866455,-0.470703,-2.816794,-1.137405,-3.419847
0.182617,0.86377,-0.478027,-3.099237,-1.587786,-3.778626
0.184082,0.866455,-0.483398,-3.229008,-1.709924,-3.236641
0.180176,0.865479,-0.473633,-3.587786,-1.526718,-3.541985
0.187988,0.858887,-0.466797,-3.770992,-2.122137,-3.679389
0.202637,0.856934,-0.461182,-3.343511,-1.526718,-4.007634
0.177979,0.868652,-0.458496,-2.389313,-1.122137,-3.244275
0.16748,0.869629,-0.458008,-1.900763,-1.29771,-3.229008
0.19165,0.866943,-0.474609,-1.290076,-0.59542,-3.381679
0.18042,0.864746,-0.467041,-1.351145,-0.381679,-2.641221
0.166992,0.864014,-0.476318,-1.625954,-0.709924,-2.59542
0.15918,0.871826,-0.481934,-2.671756,-1.503817,-2.366412
0.204834,0.86084,-0.484619,-2.778626,-0.671756,-2.679389
0.161865,0.87085,-0.47998,-3.557252,-1.580153,-2.198473
0.169922,0.870117,-0.48877,-4.076336,-1.89313,-2.129771
