xacc,yacc,zacc,xgyro,ygyro,zgyro
1.045166,0.227051,-0.019043,-5.656488,2.992366,-11.687023
1.072266,0.219482,-0.02002,-5.954198,4.877862,-13.366412
1.037598,0.22876,-0.018311,-5.854962,6.076336,-14.770992
1.021973,0.226074,-0.018311,-4.778626,4.984733,-14.412213
1.007324,0.244385,-0.003662,-4.358778,3.19084,-15.007633
1.013672,0.264404,-0.001221,-4.374046,2.671756,-15.045801
1.021973,0.278564,0.004639,-4.740458,1.580153,-15.633588
1.022461,0.275391,0.004639,-5.503817,0.496183,-16.603054
1.058594,0.240967,-0.00708,-5.778626,0.954198,-20.206106
1.035889,0.229004,0.00415,-5.862596,-0.374046,-24.946566
1.000977,0.153076,0.005371,-5.29771,-4.412214,-35.625954
1.105225,0.303223,0.017822,-6.259542,-2.801527,-30.854961
0.995361,0.19043,-0.039795,-6.198473,-5.022901,-41.740459
1.031494,0.280029,-0.018555,-6.679389,-3.946565,-36.122139
0.967773,0.212402,-0.069092,-4.48855,-3.427481,-44.732826
0.976562,0.2854,-0.061523,-5.183206,-1.076336,-38.503819
0.986328,0.22168,-0.059814,-1.778626,0.48855,-45.541985
1.002441,0.27832,-0.063721,-2.656489,5.091603,-42.557251
0.98877,0.282959,-0.062012,-2.900763,8.763359,-44.870228
0.986816,0.276367,-0.059082,-2.618321,10.778625,-45.435116
1.005127,0.29834,-0.068848,-2.343511,9.610687,-48.236641
1.0354,0.338867,-0.077637,-2.946565,9.61832,-50.236641
1.039795,0.374756,-0.093994,-4.374046,12.290076,-48.083969
1.017334,0.364746,-0.063965,-5.038168,13.984733,-47.938931
1.038086,0.382324,-0.060547,-5.763359,16.80916,-47.916031
0.980225,0.403564,-0.032959,-6.030534,17.221375,-49.167938
0.989746,0.41333,-0.019287,-5.709924,19.67939,-48.938931
0.977783,0.396729,-0.002686,-5.305344,19.305344,-52.908398
0.959473,0.395508,0.015381,-4.557252,18.549618,-56.160305
0.93042,0.384766,0.019287,-4.473282,17.480917,-55.580154
0.896729,0.386719,0.029297,-4.656488,16.885496,-52.740459
0.847412,0.36792,0.028809,-3.916031,14.564885,-50.847328
0.918457,0.440674,0.037109,-2.740458,16.984734,-49.190838
0.851074,0.412354,0.055908,-1.854962,15.511451,-46.931297
0.821777,0.462402,0.069824,-0.465649,12.030535,-42.824429
0.867676,0.473145,0.06665,-0.21374,8.78626,-42.038166
0.92749,0.443604,0.054932,-0.732824,7.229008,-45.824429
0.934814,0.434814,0.041748,-0.793893,7.145038,-44.183205
0.933594,0.415527,0.027588,-0.038168,7.923664,-42.465649
0.95166,0.404785,0.033691,1.244275,8.862596,-44.748093
0.943359,0.41333,0.042725,2.351145,10.816793,-45.603054
0.889404,0.464844,0.055176,4.068702,12.030535,-41.427483
0.847412,0.508789,0.07373,5.038168,9.419847,-38.648853
0.866455,0.545654,0.070557,4.755725,5.793893,-39.145039
0.884033,0.564453,0.048828,2.618321,1.717557,-41.267174
0.900146,0.550537,0.036377,3.0,1.503817,-42.9771
0.891113,0.540771,0.018066,4.320611,2.961832,-42.580154
0.871826,0.528076,0.018066,5.114504,4.770992,-40.954197
0.864746,0.514893,0.016846,6.10687,6.038168,-40.045803
0.821045,0.551025,0.043701,6.458015,5.717557,-38.076336
0.820312,0.557617,0.060791,6.442748,3.290076,-36.007633
0.839355,0.563232,0.060791,5.099236,-2.10687,-37.633587
0.859375,0.563965,0.06543,5.312977,-3.709924,-37.603054
0.863525,0.563477,0.050293,4.167939,-8.083969,-39.290077
0.902344,0.544678,0.021729,4.366412,-6.78626,-39.114502
0.894287,0.537354,0.011475,4.89313,-5.931298,-39.412212
0.855957,0.532715,0.000977,5.251908,-4.48855,-39.572517
0.856934,0.546875,0.001465,5.19084,-2.709924,-40.259541
0.861084,0.550049,0.005859,5.152672,-2.801527,-41.816795
0.854736,0.574219,0.022217,3.679389,-5.312977,-40.541985
0.862061,0.620117,0.009521,2.603053,-6.755725,-40.572517
0.8396,0.595947,0.00293,0.198473,-9.320611,-40.335876
0.843262,0.584473,0.019287,1.587786,-7.679389,-44.763359
0.806396,0.578125,0.032715,3.152672,-6.351145,-45.648853
0.797363,0.594971,0.023438,3.244275,-8.587787,-45.9771
0.795898,0.598145,0.016113,2.038168,-12.083969,-44.442749
0.810791,0.577881,0.012695,1.664122,-13.427481,-42.893131
0.904785,0.548828,-0.005615,1.442748,-12.625955,-48.0
0.824951,0.594482,-0.012695,2.122137,-9.80916,-49.603054
0.773438,0.626709,-0.023193,1.038168,-9.664123,-48.32061
0.760498,0.636719,-0.023926,1.053435,-8.343512,-48.885498
0.778809,0.622803,-0.022217,1.832061,-7.335878,-50.160305
0.772217,0.662109,-0.023193,2.152672,-7.145038,-51.893131
0.821289,0.636719,-0.01123,2.755725,-2.648855,-55.351147
0.801025,0.634521,0.003662,2.916031,-4.480916,-58.572517
0.754395,0.671875,-0.006836,2.572519,-4.358778,-56.961834
0.740723,0.649902,0.012207,2.091603,-6.045802,-56.053436
0.684082,0.68335,0.004883,0.343511,-11.221375,-56.900764
0.747314,0.666992,-0.015381,-1.175573,-12.129771,-59.045803
0.784912,0.6604,-0.0271,-0.198473,-10.343512,-60.847328
0.737305,0.728027,-0.025635,-0.267176,-9.137404,-57.786259
0.674072,0.763672,-0.048828,-1.229008,-7.122138,-56.755726
0.682373,0.763184,-0.03418,-1.152672,-5.305344,-56.557251
0.696289,0.743408,-0.01709,-1.526718,-5.175572,-59.473282
0.748291,0.701904,-0.00293,-0.175573,-3.656489,-64.824425
0.725586,0.711426,0.004395,1.290076,-2.854962,-66.862595
0.652588,0.739258,0.003418,1.267176,-4.282443,-64.175575
0.612549,0.767334,-0.004395,1.221374,-5.664122,-61.67939
0.601318,0.803223,0.009277,1.282443,-8.061069,-60.67939
0.630127,0.808838,-0.006836,0.938931,-10.343512,-60.610687
0.651855,0.772705,-0.022949,0.603053,-9.236641,-63.541985
0.626221,0.767578,-0.030518,1.503817,-6.183206,-66.366409
0.577637,0.802246,-0.023682,1.938931,-5.427481,-64.908394
0.553223,0.825684,-0.018311,2.007634,-9.251908,-63.061069
0.60083,0.835693,-0.028076,1.824427,-10.793893,-62.847328
0.608154,0.824219,-0.025635,2.648855,-11.076336,-63.526718
0.591553,0.836426,-0.026367,3.053435,-10.152672,-62.465649
0.574463,0.833252,-0.016357,4.267176,-9.175572,-58.916031
0.567627,0.836914,-0.020752,4.206107,-11.083969,-57.366413
0.583008,0.803711,-0.039795,4.78626,-11.122137,-58.595421
0.603516,0.787598,-0.033936,6.236641,-9.854961,-60.374046
0.553955,0.820801,-0.026855,7.496183,-9.0,-61.076336
0.496094,0.868164,-0.045166,5.755725,-11.992367,-60.29771
0.523193,0.837402,-0.031006,7.358778,-10.580153,-61.992367
0.504395,0.844238,-0.029297,7.122138,-11.366412,-64.297707
0.451904,0.864502,-0.026367,5.801527,-11.022901,-63.603054
0.397461,0.905029,-0.053711,6.48855,-12.534351,-60.610687
0.438232,0.911377,-0.088379,7.335878,-13.969465,-56.832062
0.509766,0.900879,-0.106445,6.984733,-11.59542,-57.740459
0.500244,0.875977,-0.111084,7.931298,-9.175572,-57.603054
0.486328,0.907715,-0.10376,5.412214,-7.984733,-56.175571
0.447998,0.894043,-0.075928,4.335878,-8.068703,-55.305344
0.428467,0.898682,-0.052734,2.992366,-9.152672,-54.763359
0.428711,0.861328,-0.049316,2.534351,-9.763359,-56.770992
0.414551,0.881592,-0.060547,3.557252,-8.847328,-58.687023
0.390137,0.893066,-0.03833,5.770992,-7.610687,-60.015266
0.355225,0.949463,-0.035889,7.312977,-9.862596,-62.908398
0.325439,0.974121,-0.046875,7.412214,-11.854961,-61.244274
0.310303,0.982178,-0.080566,6.328244,-13.389313,-53.419846
0.284668,0.982178,-0.115479,4.564886,-13.282443,-45.557251
0.278809,0.993408,-0.085449,2.977099,-13.251908,-42.473282
0.326416,1.000488,-0.135986,2.740458,-10.847328,-42.580154
0.340332,0.980225,-0.105713,1.938931,-9.137404,-42.832062
0.374023,0.915771,-0.057373,2.061069,-8.763359,-46.534351
0.33374,0.909668,-0.046631,4.045802,-10.282443,-47.160305
0.346436,0.894043,-0.033936,5.198473,-9.038168,-48.175571
0.33374,0.921143,-0.064697,7.183206,-9.366412,-49.511452
0.27417,0.976807,-0.081787,8.450381,-8.267176,-46.793892
0.219482,1.007812,-0.105469,9.900764,-8.839695,-39.38168
0.240723,1.030273,-0.111816,10.419847,-6.61832,-35.984734
0.180664,1.035645,-0.092773,10.160305,-7.099236,-32.877861
0.236328,1.064941,-0.093262,7.137404,-8.610687,-31.335878
0.220703,0.973877,-0.113525,7.198473,-12.061069,-28.549618
0.323975,0.982666,-0.180176,5.396946,-8.511451,-29.458015
0.383545,0.904541,-0.208252,4.114504,-0.198473,-33.366413
0.328857,0.938477,-0.171631,2.480916,4.419847,-38.129772
0.270264,0.951416,-0.114258,0.282443,4.938931,-38.106869
0.27417,0.959473,-0.102539,-0.824427,0.587786,-36.633587
0.321289,0.963623,-0.146973,-1.580153,0.221374,-38.748093
0.290283,0.98999,-0.182129,-3.877863,2.366412,-40.946564
0.315918,0.949219,-0.148682,-4.267176,5.633588,-44.870228
0.277588,0.941406,-0.115479,-4.015267,7.10687,-50.053436
0.276855,0.917236,-0.095459,-2.732824,6.526718,-56.717556
0.256104,0.893799,-0.068115,-2.442748,6.549618,-62.64122
0.255615,0.952148,-0.088623,-1.587786,2.526718,-65.32061
0.261719,0.953125,-0.10376,-2.587786,1.290076,-67.916031
0.225098,0.951904,-0.131348,-4.343512,0.954198,-68.740456
0.205322,0.9729,-0.131104,-6.541985,1.022901,-68.404579
0.175293,0.972168,-0.096924,-7.038168,1.465649,-69.740456
0.148193,0.964355,-0.074707,-7.0,0.931298,-69.71756
0.124023,0.970459,-0.086914,-6.541985,-0.366412,-72.694656
0.140137,0.998291,-0.106201,-5.664122,-1.267176,-77.64122
0.095703,0.990723,-0.114014,-4.328244,-1.48855,-87.839691
0.065186,0.958496,-0.107178,-4.59542,-0.89313,-84.877861
0.050781,0.932617,-0.106689,-3.862595,-0.320611,-84.549622
0.044922,0.951904,-0.102783,-2.755725,1.656489,-86.557251
-0.002686,1.014893,-0.095703,-3.244275,-1.045802,-83.832062
0.036377,0.97583,-0.113037,-4.10687,-2.152672,-85.114502
0.038574,0.964111,-0.118652,-5.473282,-2.068702,-85.366409
0.011475,0.966553,-0.110596,-7.099236,-2.549618,-85.221375
-0.041016,0.982422,-0.116943,-8.832061,-3.51145,-84.458015
-0.0354,0.973145,-0.10083,-10.045801,-4.419847,-85.96183
-0.050049,0.956299,-0.120361,-12.145039,-4.160306,-90.480919
