0.97,-0.43,-0.14,11.07,33.50,33.60
0.98,-0.45,-0.14,11.68,31.08,36.89
0.97,-0.47,-0.14,12.19,28.69,39.63
0.98,-0.49,-0.13,12.99,25.52,42.99
0.99,-0.52,-0.12,13.98,21.29,46.69
1.00,-0.57,-0.13,15.05,18.66,48.69
1.00,-0.61,-0.13,15.78,17.10,49.62
1.01,-0.66,-0.12,16.33,16.47,49.73
1.00,-0.70,-0.11,15.47,16.72,49.44
0.99,-0.71,-0.09,14.30,16.98,47.31
1.01,-0.76,-0.08,13.67,18.80,45.77
1.02,-0.78,-0.06,12.11,20.95,43.52
1.04,-0.77,-0.05,9.66,24.83,41.11
1.05,-0.83,-0.04,10.11,28.89,37.06
1.07,-0.86,-0.02,11.76,33.39,33.33
1.10,-0.85,-0.01,12.91,38.10,31.03
1.08,-0.91,0.02,17.66,42.18,28.24
1.06,-0.85,0.03,17.47,45.44,27.15
1.06,-0.90,0.05,20.85,48.09,24.61
1.04,-0.84,0.08,20.44,49.40,25.03
1.01,-0.97,0.12,26.08,49.34,31.89
0.97,-0.93,0.15,30.17,47.77,34.07
0.92,-0.97,0.19,32.34,41.64,35.12
0.85,-0.99,0.22,35.21,33.11,38.70
0.83,-0.90,0.25,32.86,24.04,41.11
0.81,-0.88,0.27,30.85,15.04,42.24
0.81,-0.91,0.25,32.70,5.52,47.54
0.78,-0.90,0.27,35.32,-4.76,46.23
0.75,-0.88,0.26,41.79,-15.98,45.56
0.70,-0.89,0.26,48.22,-30.79,43.61
0.75,-0.78,0.25,49.46,-42.21,48.44
0.75,-0.80,0.22,53.15,-52.15,57.88
0.73,-0.79,0.22,56.30,-61.50,62.29
0.71,-0.86,0.21,61.71,-70.03,68.36
0.74,-0.88,0.21,66.22,-78.39,73.49
0.75,-0.83,0.19,66.73,-84.97,75.42
0.82,-0.83,0.16,66.39,-87.69,82.20
0.84,-0.80,0.13,63.13,-87.18,84.31
0.87,-0.88,0.10,61.12,-84.05,87.40
0.89,-0.79,0.04,53.27,-77.68,90.91
0.89,-0.99,0.04,56.02,-70.79,89.31
0.72,-1.26,0.10,69.69,-69.24,74.47
0.75,-1.03,0.11,75.24,-66.90,54.60
0.80,-0.91,0.10,71.69,-59.85,46.34
0.82,-0.96,0.13,65.03,-48.60,38.45
0.85,-0.90,0.11,55.74,-37.08,28.05
0.83,-1.00,0.15,52.14,-24.13,16.67
0.76,-1.01,0.20,46.34,-16.52,-2.48
0.84,-0.97,0.20,42.05,-5.30,-19.19
0.84,-0.91,0.19,37.10,6.02,-31.73
0.84,-0.88,0.16,35.11,16.90,-40.40
0.82,-0.80,0.13,37.94,26.60,-50.24
0.80,-0.78,0.12,45.34,36.83,-48.15
0.78,-0.77,0.10,55.54,45.37,-46.49
0.72,-0.69,0.08,65.38,49.10,-46.82
0.72,-0.60,0.06,72.00,49.49,-49.33
0.73,-0.51,0.05,74.87,50.44,-42.37
0.77,-0.33,-0.02,67.27,53.78,-28.21
0.72,-0.47,-0.01,64.14,54.17,-12.87
0.65,-0.54,0.06,63.44,48.82,-1.21
0.58,-0.53,0.12,61.52,38.10,-2.51
0.56,-0.65,0.16,63.76,26.08,-6.02
0.53,-0.67,0.19,67.41,13.84,-15.06
0.52,-0.64,0.20,70.08,3.23,-23.71
0.53,-0.63,0.21,75.45,-4.95,-29.78
0.51,-0.59,0.22,80.98,-10.85,-35.27
0.52,-0.60,0.24,85.33,-13.92,-36.53
0.54,-0.39,0.21,81.36,-14.74,-43.68
0.58,-0.32,0.16,74.69,-12.96,-43.61
0.63,-0.29,0.14,64.34,-11.27,-43.37
0.67,-0.34,0.14,58.31,-8.08,-36.89
0.65,-0.30,0.10,52.34,-4.08,-23.79
0.63,-0.32,0.10,45.12,-0.95,-11.99
0.62,-0.39,0.12,38.86,2.56,1.24
0.63,-0.36,0.13,32.10,6.98,6.82
0.62,-0.38,0.14,28.67,11.08,8.00
0.63,-0.50,0.19,29.54,16.47,13.06
0.60,-0.54,0.21,32.69,23.37,18.18
0.63,-0.55,0.28,30.33,30.25,18.92
0.66,-0.59,0.35,25.17,37.81,19.76
0.64,-0.68,0.38,20.37,43.28,18.29
0.65,-0.76,0.43,17.92,46.08,14.81
0.67,-0.69,0.41,13.69,49.41,17.40
0.68,-0.73,0.43,9.31,51.30,19.56
0.71,-0.73,0.43,1.19,53.98,21.21
0.68,-0.68,0.42,-9.92,57.69,20.70
0.68,-0.64,0.41,-20.30,60.61,13.91
0.68,-0.66,0.41,-27.69,64.28,6.10
0.66,-0.65,0.40,-33.38,67.08,-2.92
0.69,-0.70,0.42,-36.58,70.45,-7.36
0.68,-0.69,0.43,-38.53,74.42,-14.34
0.69,-0.66,0.41,-39.47,76.85,-27.60
0.72,-0.57,0.39,-39.68,80.12,-44.63
0.78,-0.54,0.39,-40.82,84.65,-57.90
0.81,-0.51,0.38,-38.83,90.02,-62.10
0.77,-0.41,0.38,-40.05,92.11,-70.16
0.74,-0.34,0.38,-42.40,92.40,-76.20
0.70,-0.28,0.40,-44.65,88.67,-81.68
0.69,-0.27,0.44,-45.11,82.53,-84.04
0.68,-0.25,0.48,-46.34,73.55,-80.73
0.53,-0.71,0.08,-0.79,-24.02,15.92
0.54,-0.71,0.08,-0.95,-23.17,13.97
0.54,-0.72,0.08,-0.82,-22.44,11.69
0.55,-0.73,0.07,-0.95,-21.53,8.26
0.55,-0.74,0.07,-0.56,-19.58,3.14
0.59,-0.74,0.08,0.53,-17.86,-0.79
0.57,-0.76,0.10,0.82,-15.10,-3.44
0.58,-0.78,0.10,2.34,-12.90,-7.41
0.60,-0.77,0.11,2.89,-10.16,-10.39
0.62,-0.77,0.11,3.27,-7.79,-12.40
0.64,-0.79,0.12,3.44,-5.03,-13.79
0.65,-0.79,0.13,3.79,-2.21,-15.40
0.67,-0.80,0.13,3.63,0.24,-16.76
0.70,-0.82,0.16,4.00,2.87,-17.95
0.71,-0.81,0.15,3.76,4.85,-19.74
0.74,-0.83,0.16,3.69,6.67,-20.51
0.78,-0.85,0.17,4.91,8.22,-21.68
0.81,-0.83,0.17,4.52,9.79,-21.80
0.83,-0.85,0.20,4.76,11.37,-21.64
0.85,-0.85,0.20,4.40,12.47,-21.89
0.88,-0.84,0.21,3.81,13.47,-21.52
0.89,-0.83,0.22,2.68,14.25,-20.74
0.89,-0.82,0.22,1.76,14.77,-20.05
0.91,-0.82,0.22,1.28,14.42,-19.25
0.90,-0.82,0.23,0.46,13.53,-18.56
0.90,-0.81,0.23,-0.70,12.47,-17.51
0.88,-0.82,0.23,-1.54,10.94,-16.92
0.88,-0.80,0.23,-2.40,9.05,-16.13
0.88,-0.80,0.22,-3.43,7.76,-15.11
0.89,-0.79,0.22,-4.63,7.20,-13.78
0.88,-0.80,0.22,-4.57,6.70,-13.27
0.89,-0.80,0.23,-4.07,6.43,-13.92
0.89,-0.77,0.23,-4.87,6.89,-13.10
0.86,-0.79,0.22,-4.35,6.55,-11.97
0.84,-0.78,0.21,-3.90,4.99,-10.94
0.83,-0.78,0.19,-3.16,2.95,-9.07
0.83,-0.76,0.18,-3.40,1.44,-6.37
0.82,-0.76,0.18,-2.63,0.79,-4.10
0.82,-0.78,0.17,-1.02,0.47,-2.05
0.81,-0.78,0.17,0.65,0.44,-0.14
0.81,-0.78,0.17,2.02,0.53,1.44
0.79,-0.76,0.17,2.27,0.54,2.67
0.79,-0.76,0.16,2.29,-0.21,4.18
0.79,-0.75,0.16,1.69,0.26,6.11
0.78,-0.76,0.16,2.76,0.08,7.27
0.77,-0.76,0.18,4.00,-0.63,7.66
0.78,-0.74,0.18,3.69,-1.61,8.53
0.78,-0.72,0.19,2.56,-2.02,9.89
0.78,-0.72,0.19,2.37,-2.72,10.93
0.79,-0.69,0.18,1.09,-3.19,11.89
0.78,-0.71,0.19,1.37,-4.68,12.02
0.77,-0.70,0.19,1.92,-6.69,11.62
