xacc,yacc,zacc,xgyro,ygyro,zgyro
1.29,-0.01,-0.32,-58.62,30.96,-25.04
1.33,0.01,-0.34,-59.53,33.11,-28.09
1.37,0.02,-0.33,-60.67,35.74,-30.56
1.42,0.01,-0.32,-62.57,39.78,-34.47
1.46,0.08,-0.31,-66.50,44.73,-42.26
1.50,0.12,-0.28,-70.02,48.98,-49.31
1.54,0.16,-0.23,-72.14,52.66,-54.21
1.56,0.21,-0.20,-71.51,55.14,-58.66
1.58,0.27,-0.17,-67.40,57.80,-59.78
1.59,0.29,-0.10,-62.33,58.98,-55.89
1.60,0.25,-0.04,-57.32,56.81,-52.45
1.55,0.27,0.03,-55.18,50.63,-51.95
1.49,0.28,0.07,-52.45,41.07,-52.17
1.47,0.29,0.08,-49.94,30.74,-52.15
1.47,0.31,0.10,-47.15,22.15,-50.07
1.45,0.37,0.09,-47.46,13.51,-46.46
1.44,0.39,0.07,-48.75,5.19,-40.48
1.38,0.42,0.05,-52.82,-3.94,-32.54
1.34,0.44,0.04,-58.47,-11.76,-22.71
1.28,0.30,0.07,-63.14,-18.88,-15.89
1.21,0.25,0.06,-68.45,-26.06,-10.35
1.13,0.22,0.07,-72.16,-33.50,-10.51
1.07,0.21,0.05,-76.87,-39.82,-14.26
1.01,0.02,0.07,-77.39,-45.37,-21.40
0.94,0.04,0.05,-76.11,-50.01,-32.15
0.91,0.11,0.02,-75.08,-52.24,-41.08
0.84,0.11,-0.04,-75.28,-56.56,-48.86
0.87,0.12,-0.07,-73.61,-57.07,-52.33
0.86,0.12,-0.12,-68.27,-54.65,-57.03
0.81,0.18,-0.18,-65.79,-52.77,-61.05
0.78,0.24,-0.19,-66.52,-51.55,-63.15
0.77,0.22,-0.21,-66.25,-50.81,-62.91
0.75,0.28,-0.22,-67.92,-50.11,-61.85
0.72,0.33,-0.23,-71.47,-50.00,-59.85
0.70,0.26,-0.23,-70.80,-49.35,-54.86
0.73,0.24,-0.24,-65.92,-46.62,-47.45
0.72,0.22,-0.23,-60.51,-42.89,-42.11
0.71,0.27,-0.21,-58.45,-38.63,-35.98
0.69,0.29,-0.20,-56.56,-35.57,-30.21
0.70,0.26,-0.20,-50.56,-31.29,-20.85
0.69,0.26,-0.22,-41.05,-26.63,-9.65
0.70,0.26,-0.21,-29.91,-22.27,1.85
0.68,0.28,-0.20,-19.51,-18.53,12.25
0.68,0.26,-0.21,-8.08,-15.38,23.19
0.67,0.25,-0.21,2.76,-12.82,33.29
