0.50,-0.62,-0.44,8.15,-88.68,-58.37
0.51,-0.65,-0.45,6.58,-85.28,-60.97
0.52,-0.64,-0.46,5.21,-82.16,-64.44
0.54,-0.67,-0.47,3.42,-76.50,-69.72
0.54,-0.68,-0.48,1.98,-67.43,-79.94
0.56,-0.64,-0.51,1.63,-57.47,-87.02
0.59,-0.61,-0.55,0.24,-46.22,-90.78
0.60,-0.58,-0.56,-1.62,-33.85,-94.30
0.60,-0.54,-0.58,-2.01,-21.35,-96.56
0.61,-0.51,-0.58,-3.19,-7.73,-100.74
0.59,-0.46,-0.57,-3.63,6.37,-105.94
0.56,-0.39,-0.57,-4.88,18.92,-108.02
0.54,-0.33,-0.56,-5.26,31.49,-109.32
0.56,-0.28,-0.55,-5.69,43.53,-111.82
0.58,-0.26,-0.53,-7.11,55.73,-112.42
0.63,-0.20,-0.53,-9.89,68.02,-114.31
0.66,-0.16,-0.51,-11.53,80.20,-116.61
0.67,-0.15,-0.49,-13.33,92.24,-116.64
0.68,-0.14,-0.46,-12.56,103.82,-118.05
0.72,-0.11,-0.41,-10.53,116.21,-115.08
0.75,-0.09,-0.34,-9.67,128.35,-108.53
0.79,-0.13,-0.26,-7.82,136.68,-104.12
0.82,-0.16,-0.18,-5.83,141.08,-101.02
0.85,-0.16,-0.11,-2.97,142.04,-98.25
0.89,-0.14,-0.08,1.20,140.44,-92.40
0.90,-0.10,-0.03,4.58,136.02,-85.50
0.90,-0.08,0.01,7.89,129.11,-78.17
0.90,-0.06,0.05,11.01,120.55,-68.49
0.87,-0.05,0.08,13.66,111.60,-56.64
0.86,-0.05,0.10,16.17,101.24,-45.24
0.89,-0.06,0.14,17.63,90.33,-36.98
0.92,-0.06,0.15,18.11,79.61,-31.30
0.96,-0.05,0.15,17.05,69.15,-26.18
1.00,-0.05,0.13,15.42,58.80,-20.53
1.04,-0.05,0.12,13.21,48.92,-14.07
1.09,-0.06,0.10,10.27,39.50,-8.78
1.15,-0.09,0.10,7.48,32.61,-5.17
1.21,-0.12,0.10,5.63,28.55,-2.21
1.26,-0.14,0.09,3.46,27.05,-1.63
1.29,-0.16,0.09,1.40,27.33,-3.16
1.32,-0.19,0.09,-0.26,29.63,-4.92
1.33,-0.21,0.11,-1.64,34.40,-6.65
1.35,-0.22,0.13,-2.81,40.90,-9.34
1.37,-0.23,0.15,-3.15,48.76,-11.89
