time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1364810067,1.1188964844,-0.2302246094,-0.1381835938,-1.1908396482, 2.2748091221, -1.7251908779
1364820067,1.1193847656,-0.2294921875,-0.1289062500,-1.0992366076, 2.3511450291, -1.9083969593
1364830067,1.1213378906,-0.2277832031,-0.1206054688,-1.2213740349, 1.9694656134, -1.8931298256
1364840067,1.1235351562,-0.2285156250,-0.1247558594,-0.9007633328, 1.5114504099, -2.1526718140
1364850067,1.1279296875,-0.2297363281,-0.1245117188,-1.2519084215, 1.4045801163, -1.3893129826
1364860067,1.1259765625,-0.2324218750,-0.1291503906,-1.6946564913, 1.3587785959, -1.4045801163
1364870067,1.1320800781,-0.2336425781,-0.1289062500,-1.8778625727, 1.3282443285, -1.1297709942
1364880067,1.1376953125,-0.2392578125,-0.1352539062,-1.8320610523, 1.3740458488, -0.9465649128
1364890067,1.1301269531,-0.2436523438,-0.1359863281,-2.1832060814, 0.9007633328, -0.7633587718
1364900067,1.1252441406,-0.2395019531,-0.1289062500,-2.0763359070, 0.4885496199, -1.2519084215
1364910067,1.1337890625,-0.2341308594,-0.1435546875,-1.9694656134, 0.7480915785, -0.7938931584
1364920067,1.1171875000,-0.2370605469,-0.1342773438,-1.6183205843, 0.5801526904, -0.0763358772
1364930067,1.1179199219,-0.2392578125,-0.1298828125,-1.5877863169, 0.3664122224, -1.0381679535
1364940067,1.1210937500,-0.2365722656,-0.1306152344,-1.3282443285, 0.9618320465, -1.0534350872
1364950067,1.1208496094,-0.2304687500,-0.1328125000,-1.5572519302, 1.2366411686, -0.9465649128
1364960067,1.1132812500,-0.2346191406,-0.1379394531,-1.6641221046, 1.3893129826, -1.7709923983
1364970067,1.1228027344,-0.2355957031,-0.1413574219,-1.8625954390, 1.5419846773, -2.0458016396
1364980067,1.1367187500,-0.2304687500,-0.1313476562,-1.8931298256, 1.9694656134, -1.4045801163
1364990067,1.1354980469,-0.2297363281,-0.1286621094,-1.8625954390, 1.9389313459, -1.0534350872
1365000067,1.1384277344,-0.2351074219,-0.1340332031,-2.0916030407, 1.2977099419, -1.0229008198
1365010067,1.1342773438,-0.2377929688,-0.1394042969,-1.8320610523, 0.8702290058, -0.6106870174
1365020067,1.1274414062,-0.2265625000,-0.1308593750,-1.8015266657, 0.3664122224, -0.5343511701
1365030067,1.1330566406,-0.2395019531,-0.1379394531,-1.7862595320, 0.2595419884, -0.6412213445
1365040067,1.1245117188,-0.2431640625,-0.1418457031,-1.6030534506, 0.2595419884, -0.7328244448
1365050067,1.1225585938,-0.2297363281,-0.1386718750,-1.6641221046, 1.0534350872, -0.7786259651
1365060067,1.1296386719,-0.2309570312,-0.1386718750,-1.3587785959, 1.8473281860, -0.7480915785
1365070067,1.1267089844,-0.2358398438,-0.1262207031,-1.3893129826, 1.8625954390, -0.7175572515
1365080067,1.1267089844,-0.2390136719,-0.1303710938,-1.4198473692, 1.3893129826, -0.8244274855
1365090067,1.1245117188,-0.2370605469,-0.1240234375,-1.6183205843, 1.0687023401, -0.9465649128
1365100067,1.1206054688,-0.2363281250,-0.1335449219,-1.7251908779, 0.9160305262, -0.8091602921
1365110067,1.1301269531,-0.2358398438,-0.1384277344,-1.6641221046, 0.8702290058, -0.8702290058
1365120067,1.1286621094,-0.2351074219,-0.1335449219,-1.6641221046, 1.2519084215, -1.2519084215
1365130067,1.1306152344,-0.2319335938,-0.1394042969,-1.5725190639, 1.2366411686, -1.4656488895
1365140067,1.1259765625,-0.2392578125,-0.1347656250,-1.9389313459, 1.1145038605, -1.3282443285
1365150067,1.1166992188,-0.2402343750,-0.1330566406,-1.6488549709, 0.8549618125, -1.6183205843
1365160067,1.1208496094,-0.2382812500,-0.1315917969,-1.8320610523, 1.0076335669, -1.8625954390
1365170067,1.1250000000,-0.2302246094,-0.1301269531,-1.8625954390, 1.1755725145, -2.0000000000
1365180067,1.1376953125,-0.2380371094,-0.1396484375,-1.8473281860, 1.5114504099, -2.0000000000
1365190067,1.1245117188,-0.2346191406,-0.1486816406,-1.6488549709, 1.3740458488, -2.0610687733
1365200067,1.1252441406,-0.2336425781,-0.1362304688,-1.6793893576, 1.2671755552, -1.5419846773
1365210067,1.1303710938,-0.2297363281,-0.1406250000,-1.8015266657, 1.1145038605, -1.1145038605
1365220067,1.1296386719,-0.2304687500,-0.1391601562,-1.7404580116, 1.3587785959, -0.9312977195
1365230067,1.1279296875,-0.2404785156,-0.1352539062,-1.7404580116, 1.4656488895, -0.6106870174
1365240067,1.1291503906,-0.2333984375,-0.1342773438,-1.5572519302, 1.3893129826, -0.3816793859
1365250067,1.1279296875,-0.2390136719,-0.1357421875,-1.6641221046, 0.6870229244, -1.2519084215
1365260067,1.1074218750,-0.2387695312,-0.1386718750,-1.1297709942, 0.0916030556, -4.8244276047
1365270069,1.1130371094,-0.2336425781,-0.1303710938,-1.2366411686, 0.6259542108, -3.6030533314
