time,xacc,yacc,zacc,xgyro,ygyro,zgyro
876080067,1.0324707031,0.3984375000,-0.3269042969,-1.3740458488, 1.0534350872, -0.5038167834
876090067,1.0373535156,0.4013671875,-0.3305664062,-1.6488549709, 1.0534350872, -0.7633587718
876100067,1.0395507812,0.4003906250,-0.3364257812,-1.5725190639, 1.2061069012, -0.8702290058
876110067,1.0334472656,0.3977050781,-0.3339843750,-1.8320610523, 1.5877863169, -1.3893129826
876120067,1.0373535156,0.3979492188,-0.3315429688,-1.6946564913, 1.7099236250, -1.2213740349
876130067,1.0339355469,0.3952636719,-0.3337402344,-1.6335878372, 2.2290077209, -1.2824426889
876140067,1.0324707031,0.3906250000,-0.3322753906,-1.7404580116, 1.9541984797, -1.4503816366
876150067,1.0268554688,0.3903808594,-0.3393554688,-1.5419846773, 1.7404580116, -1.3893129826
876160067,1.0395507812,0.3894042969,-0.3203125000,-1.6488549709, 1.4351145029, -1.3740458488
876170067,1.0388183594,0.3962402344,-0.3198242188,-1.5572519302, 1.4198473692, -1.5419846773
876180067,1.0314941406,0.3876953125,-0.3310546875,-1.6641221046, 0.7938931584, -1.4198473692
876190067,1.0375976562,0.3876953125,-0.3347167969,-1.8320610523, 0.9160305262, -1.6183205843
876200067,1.0375976562,0.3876953125,-0.3312988281,-1.7251908779, 0.8396946788, -1.6030534506
876210067,1.0290527344,0.3879394531,-0.3422851562,-1.8931298256, 1.2824426889, -1.4503816366
876220067,1.0349121094,0.3903808594,-0.3359375000,-1.9694656134, 1.1297709942, -1.5419846773
876230067,1.0354003906,0.3886718750,-0.3369140625,-1.9236640930, 1.3435114622, -1.3282443285
876240067,1.0329589844,0.3894042969,-0.3364257812,-1.8473281860, 1.7251908779, -1.2824426889
876250067,1.0351562500,0.3898925781,-0.3403320312,-1.6793893576, 1.7862595320, -1.0687023401
876260067,1.0305175781,0.3979492188,-0.3342285156,-1.6946564913, 1.7862595320, -0.9007633328
876270067,1.0334472656,0.3879394531,-0.3408203125,-1.6641221046, 2.0610687733, -0.6870229244
876280067,1.0334472656,0.3898925781,-0.3264160156,-1.6793893576, 1.9236640930, -0.6106870174
876290067,1.0266113281,0.3876953125,-0.3422851562,-1.5725190639, 1.8778625727, -0.8396946788
876300067,1.0266113281,0.3857421875,-0.3339843750,-1.4503816366, 1.1297709942, -0.8549618125
876310067,1.0415039062,0.3911132812,-0.3208007812,-1.4656488895, 0.1526717544, -0.8702290058
876320067,1.0415039062,0.3886718750,-0.3244628906,-1.3740458488, -0.5648854971, -0.6106870174
876330067,1.0466308594,0.3913574219,-0.3354492188,-1.4656488895, -0.8549618125, -0.6106870174
876340067,1.0317382812,0.3984375000,-0.3300781250,-1.7557251453, -0.5038167834, -1.0076335669
876350067,1.0393066406,0.3874511719,-0.3320312500,-2.0610687733, 0.2595419884, -2.4274809361
876360067,1.0256347656,0.3886718750,-0.3266601562,-2.2290077209, 0.8091602921, -3.2366411686
876370067,1.0314941406,0.3933105469,-0.3286132812,-1.9236640930, 1.1297709942, -2.7786259651
876380067,1.0288085938,0.3984375000,-0.3273925781,-1.5725190639, 0.9007633328, -2.0916030407
876390067,1.0415039062,0.4045410156,-0.3361816406,-1.4809160233, 1.2671755552, -1.3893129826
876400067,1.0310058594,0.3994140625,-0.3432617188,-1.7709923983, 2.4580152035, -1.1450381279
876410067,1.0395507812,0.4050292969,-0.3420410156,-1.9694656134, 3.6030533314, -0.7480915785
876420067,1.0222167969,0.3947753906,-0.3381347656,-1.9541984797, 4.2290077209, -0.3664122224
876430067,1.0307617188,0.3891601562,-0.3354492188,-2.0152671337, 3.6030533314, -0.3511450291
876440067,1.0270996094,0.3874511719,-0.3361816406,-1.7404580116, 2.7633588314, 0.4122137427
876450067,1.0341796875,0.3854980469,-0.3383789062,-1.6030534506, 1.8625954390, 0.7328244448
876460067,1.0368652344,0.3942871094,-0.3337402344,-1.5267175436, 1.2061069012, 0.7022900581
876470067,1.0437011719,0.3842773438,-0.3288574219,-1.4198473692, 0.7633587718, -0.0458015278
876480218,1.0327148438,0.3942871094,-0.3332519531,-1.7251908779, 0.7175572515, -0.5038167834
876490067,1.0407714844,0.3896484375,-0.3334960938,-1.4503816366, 1.0839694738, -1.3740458488
876500067,1.0354003906,0.3991699219,-0.3234863281,-1.5114504099, 1.6488549709, -1.6793893576
876510067,1.0356445312,0.4038085938,-0.3227539062,-1.2977099419, 1.9083969593, -2.0763359070
876520067,1.0351562500,0.3986816406,-0.3176269531,-1.2824426889, 1.7862595320, -2.0763359070
876530067,1.0400390625,0.3994140625,-0.3281250000,-0.9312977195, 1.2519084215, -1.7709923983
876540067,1.0344238281,0.3916015625,-0.3251953125,-1.2213740349, 1.0687023401, -1.4656488895
876550067,1.0363769531,0.3940429688,-0.3288574219,-0.9923664331, 1.1450381279, -1.3893129826
876560067,1.0456542969,0.3942871094,-0.3435058594,-1.2671755552, 1.6946564913, -1.5267175436
876570067,1.0371093750,0.3896484375,-0.3427734375,-1.3740458488, 2.0305342674, -1.8320610523
876580067,1.0393066406,0.3869628906,-0.3422851562,-1.6946564913, 2.1068701744, -1.9847328663
876590067,1.0322265625,0.3896484375,-0.3449707031,-1.9236640930, 1.8778625727, -2.4732823372
876600067,1.0378417969,0.3842773438,-0.3310546875,-2.0916030407, 1.4503816366, -2.2137403488
876610067,1.0383300781,0.3845214844,-0.3352050781,-2.1526718140, 1.0381679535, -2.3358778954
876620067,1.0410156250,0.3857421875,-0.3234863281,-1.8167939186, 0.2900763452, -2.3664121628
876630067,1.0385742188,0.3876953125,-0.3181152344,-1.6641221046, -0.2748091519, -1.8167939186
876640067,1.0407714844,0.3911132812,-0.3254394531,-1.5267175436, -0.4274809062, -1.5572519302
876650067,1.0405273438,0.3881835938,-0.3371582031,-1.7099236250, 0.4274809062, -1.5419846773
876660067,1.0380859375,0.3894042969,-0.3332519531,-1.6183205843, 1.2061069012, -1.5572519302
876670067,1.0356445312,0.3828125000,-0.3422851562,-1.7709923983, 1.8778625727, -1.2061069012
