xacc,yacc,zacc,xgyro,ygyro,zgyro
1.039062,0.0271,0.028809,-2.229008,0.015267,-1.732824
1.039551,0.02124,0.031738,-2.267176,-0.366412,-1.656489
1.042969,0.021973,0.028809,-2.045802,-0.465649,-1.763359
1.041016,0.026123,0.02832,-2.137405,-0.450382,-1.763359
1.039062,0.025879,0.023438,-2.167939,-0.366412,-1.80916
1.034912,0.023926,0.035156,-2.145038,-0.641221,-1.755725
1.038574,0.02124,0.036133,-2.129771,-1.0,-1.274809
1.03833,0.020508,0.0271,-2.206107,-0.969466,-1.175573
1.036133,0.013916,0.033203,-2.29771,-0.847328,-1.183206
1.042236,0.019775,0.02417,-2.183206,-0.931298,-1.51145
1.037354,0.023926,0.037598,-2.061069,-1.076336,-1.480916
1.039307,0.018799,0.024902,-2.091603,-0.954198,-1.549618
1.035645,0.028809,0.030762,-2.152672,-0.854962,-1.847328
1.035156,0.019531,0.022461,-2.167939,-0.587786,-2.007634
1.036377,0.0271,0.03833,-2.015267,-0.694656,-2.572519
1.035645,0.024658,0.027588,-2.061069,-0.541985,-2.251908
1.04126,0.023682,0.033936,-2.175573,-0.694656,-2.534351
1.044678,0.02417,0.026611,-2.068702,-0.854962,-2.465649
1.045654,0.02832,0.029785,-2.083969,-1.160305,-2.244275
1.037598,0.024658,0.029297,-2.091603,-0.969466,-2.496183
1.046631,0.020264,0.040039,-2.167939,-1.114504,-2.19084
1.04126,0.024414,0.031494,-1.992366,-1.122137,-2.160305
1.036621,0.028809,0.029053,-2.099237,-0.954198,-2.137405
1.039062,0.0271,0.031494,-2.251908,-0.900763,-2.251908
1.043945,0.025635,0.027832,-2.022901,-0.549618,-2.396947
1.045654,0.024658,0.032227,-2.175573,-0.59542,-2.526718
1.042236,0.029053,0.03125,-2.091603,-0.557252,-2.29771
1.049072,0.025146,0.027344,-2.160305,-0.610687,-2.633588
1.044678,0.024414,0.029297,-2.045802,-0.900763,-2.312977
1.045898,0.021973,0.033691,-2.022901,-0.900763,-2.328244
1.043701,0.024658,0.028564,-2.206107,-0.854962,-2.061069
1.044922,0.023926,0.035889,-2.244275,-1.068702,-1.885496
1.036865,0.017822,0.036621,-2.183206,-1.167939,-1.664122
1.039307,0.021729,0.026611,-2.183206,-0.916031,-1.923664
1.040039,0.024902,0.032715,-2.244275,-0.80916,-1.885496
1.041016,0.026367,0.028809,-2.137405,-0.931298,-2.0
1.043945,0.023682,0.02832,-2.229008,-0.839695,-2.068702
1.039062,0.023438,0.033936,-2.167939,-0.740458,-1.984733
1.040039,0.027344,0.030273,-2.122137,-0.435115,-2.145038
1.045166,0.024658,0.034668,-2.251908,-0.305344,-1.847328
1.044678,0.024658,0.031738,-2.251908,-0.335878,-1.793893
1.050049,0.023926,0.030762,-2.183206,-0.29771,-1.694656
1.054932,0.029297,0.037354,-2.244275,-0.160305,-1.664122
1.036133,0.01709,0.036865,-2.40458,-0.549618,-1.847328
0.99292,0.019775,0.035889,-2.183206,-1.427481,-4.320611
1.054688,0.028564,0.027832,-1.931298,-0.916031,-2.847328
1.078125,0.0271,0.040771,-2.305344,-1.076336,-0.236641
1.031982,0.02417,0.021729,-2.351145,-1.152672,-0.793893
1.04248,0.029053,0.019043,-2.480916,0.221374,0.076336
1.053711,0.014648,0.035889,-2.419847,0.664122,0.763359
1.024414,0.030029,0.032959,-2.259542,-0.358779,-0.343511
1.0271,0.017822,0.035645,-2.526718,-0.221374,-0.229008
1.026367,0.02002,0.042969,-2.381679,-1.312977,-1.061069
1.025635,0.018555,0.040771,-2.40458,-2.305344,-1.717557
1.051514,0.026611,0.033936,-2.335878,-1.80916,-2.045802
1.038574,0.018555,0.024414,-2.305344,-1.526718,-2.732824
1.041992,0.02417,0.029053,-2.381679,-1.374046,-2.51145
1.048828,0.019287,0.03833,-2.259542,-1.580153,-2.282443
1.047119,0.023438,0.030762,-2.473282,-1.48855,-1.885496
1.047607,0.017822,0.029541,-2.351145,-1.40458,-2.030534
1.046875,0.021973,0.02832,-2.10687,-1.19084,-2.099237
1.037109,0.022949,0.025146,-2.198473,-0.78626,-2.274809
1.041016,0.029053,0.022461,-2.045802,-0.526718,-2.389313
1.041748,0.022217,0.031006,-2.10687,-0.648855,-2.290076
1.037842,0.023438,0.038086,-2.091603,-0.916031,-2.198473
1.039795,0.016113,0.029785,-2.198473,-1.29771,-2.099237
1.038574,0.02124,0.036621,-2.312977,-1.374046,-1.80916
1.038818,0.026611,0.032715,-2.442748,-1.572519,-1.725191
1.044678,0.020264,0.036621,-2.419847,-1.603053,-1.687023
1.043701,0.022949,0.030762,-2.305344,-1.625954,-1.557252
1.051025,0.023926,0.034912,-2.358779,-1.572519,-1.320611
1.044434,0.019531,0.039795,-2.328244,-1.450382,-1.59542
1.041504,0.019531,0.032471,-2.312977,-1.458015,-1.671756
1.048096,0.018555,0.022949,-2.206107,-1.541985,-1.916031
1.040527,0.019043,0.026611,-2.381679,-1.290076,-1.687023
