xacc,yacc,zacc,xgyro,ygyro,zgyro
1.05249,-0.019043,-0.049805,-1.923664,-1.534351,-2.534351
1.044434,-0.009277,-0.038086,-1.969466,-1.465649,-2.549618
1.048096,-0.02002,-0.046875,-1.732824,-1.152672,-2.832061
1.043701,-0.017578,-0.044189,-1.763359,-1.320611,-2.870229
1.049805,-0.019775,-0.045898,-1.839695,-1.335878,-3.274809
1.04126,-0.019775,-0.040039,-1.847328,-1.541985,-3.198473
1.042725,-0.023682,-0.037842,-1.946565,-1.389313,-3.435115
1.048828,-0.019775,-0.041016,-1.854962,-1.458015,-3.236641
1.046875,-0.017578,-0.050781,-1.931298,-1.10687,-3.114504
1.044434,-0.016846,-0.046387,-1.839695,-1.0,-3.068702
1.04126,-0.023926,-0.051514,-1.717557,-1.099237,-3.099237
1.039307,-0.016846,-0.048096,-1.679389,-0.977099,-3.007634
1.042725,-0.018311,-0.040039,-1.854962,-1.030534,-3.274809
1.045166,-0.015869,-0.044678,-1.656489,-1.19084,-3.206107
1.046143,-0.016602,-0.044434,-1.656489,-1.183206,-3.396947
1.04126,-0.019531,-0.050293,-1.671756,-1.259542,-3.343511
1.049316,-0.017822,-0.047852,-1.80916,-1.083969,-3.442748
1.040283,-0.019531,-0.037842,-1.656489,-1.290076,-3.328244
1.048584,-0.022705,-0.042725,-1.458015,-0.946565,-3.458015
1.043945,-0.02002,-0.051025,-1.541985,-0.961832,-3.236641
1.043945,-0.00708,-0.043457,-1.610687,-0.900763,-3.29771
1.047119,-0.01123,-0.051758,-1.587786,-0.656489,-3.335878
1.044189,-0.014648,-0.044922,-1.480916,-0.320611,-3.473282
1.046387,-0.017578,-0.04248,-1.419847,-0.419847,-3.236641
1.046631,-0.012451,-0.040039,-1.687023,-0.374046,-3.534351
1.037109,-0.015869,-0.055664,-1.923664,-0.312977,-3.274809
1.041504,-0.018799,-0.052734,-1.732824,-0.099237,-3.328244
1.033203,-0.017334,-0.037598,-1.725191,-0.076336,-3.206107
1.045166,-0.014648,-0.041016,-1.450382,-0.70229,-3.198473
1.049561,-0.016846,-0.036377,-1.175573,-0.656489,-3.633588
1.046143,-0.010742,-0.040039,-1.122137,-0.80916,-3.770992
1.037109,-0.00293,-0.051025,-1.305344,-0.374046,-3.885496
1.039062,-0.017578,-0.047852,-1.992366,-0.022901,-3.267176
1.04126,-0.022461,-0.038574,-2.312977,-0.40458,-2.954198
1.042725,-0.017822,-0.039795,-1.916031,-0.740458,-2.824427
1.042725,-0.011719,-0.03833,-1.870229,-0.931298,-2.442748
1.043701,-0.006592,-0.042725,-1.625954,-0.931298,-2.610687
1.041992,-0.014404,-0.042236,-1.70229,-0.587786,-3.183206
1.050293,-0.016357,-0.047607,-1.732824,-0.221374,-3.480916
1.054932,-0.012695,-0.053955,-2.099237,0.541985,-3.40458
1.046875,-0.008057,-0.055176,-2.175573,1.664122,-3.007634
1.026611,-0.015625,-0.047363,-2.083969,2.045802,-2.923664
1.031494,-0.016846,-0.03833,-1.778626,1.70229,-3.030534
1.033936,-0.016113,-0.032471,-1.572519,0.694656,-3.061069
1.03125,-0.009766,-0.02832,-1.633588,-0.312977,-3.618321
1.038086,-0.006592,-0.028564,-1.80916,-1.0,-3.320611
1.04248,-0.002686,-0.030762,-1.534351,-1.251908,-3.267176
1.043213,-0.003174,-0.041016,-1.648855,-0.847328,-3.206107
1.043945,-0.009033,-0.044678,-1.679389,0.0,-2.862595
1.038086,-0.006348,-0.043213,-1.839695,0.419847,-2.954198
1.042969,-0.010742,-0.039307,-1.80916,0.305344,-3.274809
1.047852,-0.007568,-0.040283,-1.656489,0.152672,-3.328244
1.041016,-0.009766,-0.036377,-1.931298,-0.351145,-2.961832
1.040039,-0.016113,-0.0354,-1.946565,-0.755725,-3.351145
1.041748,-0.010498,-0.047119,-1.877863,-0.78626,-3.198473
1.044434,-0.010742,-0.046631,-1.961832,-0.473282,-2.877863
1.034424,-0.01123,-0.04541,-1.900763,-0.091603,-2.793893
1.040771,-0.015625,-0.042236,-1.877863,0.40458,-2.450382
1.042725,-0.012939,-0.047119,-1.832061,0.671756,-2.70229
1.039795,-0.011475,-0.03833,-1.908397,0.618321,-2.961832
1.036133,-0.008057,-0.03833,-1.908397,0.374046,-2.946565
1.042969,-0.007568,-0.036621,-1.877863,0.312977,-2.80916
1.036377,-0.011475,-0.038086,-2.175573,0.251908,-2.557252
1.039551,-0.013672,-0.029297,-2.045802,0.175573,-2.564885
1.04126,-0.008057,-0.033691,-2.015267,0.175573,-2.770992
1.037842,-0.014648,-0.032959,-1.801527,-0.267176,-2.541985
1.043213,-0.011719,-0.036133,-1.885496,-0.694656,-2.984733
1.048584,-0.008057,-0.030762,-2.015267,-0.473282,-3.442748
1.049805,-0.009766,-0.03833,-2.015267,-0.335878,-3.320611
1.040771,-0.003418,-0.032227,-1.877863,-0.068702,-2.908397
1.039062,-0.004395,-0.042725,-1.916031,0.229008,-2.312977
1.038086,-0.01001,-0.038818,-1.885496,0.229008,-2.29771
1.039795,-0.007324,-0.033936,-2.068702,0.236641,-2.717557
1.044678,-0.005127,-0.032959,-2.0,0.267176,-3.114504
1.042725,-0.01001,-0.032227,-2.091603,-0.015267,-3.244275
1.037842,-0.006836,-0.032471,-1.946565,-0.183206,-3.412214
1.04248,-0.00293,-0.030029,-1.870229,-0.381679,-3.122137
1.04248,0.000244,-0.041992,-1.847328,-0.343511,-2.847328
1.038574,-0.006836,-0.043213,-1.908397,-0.183206,-2.557252
1.041016,0.00293,-0.040283,-1.938931,0.137405,-2.496183
1.041504,-0.005615,-0.043701,-2.030534,0.480916,-2.625954
1.035889,-0.006348,-0.041992,-2.167939,0.427481,-2.580153
1.031738,-0.005371,-0.038574,-2.21374,0.167939,-2.625954
1.032227,-0.001221,-0.028564,-1.946565,-0.198473,-2.587786
1.036865,-0.000244,-0.04834,-2.022901,0.091603,-2.167939
1.039551,-0.00415,-0.034668,-2.083969,0.129771,-2.366412
1.035889,0.003662,-0.040771,-2.145038,-0.030534,-2.221374
1.034668,-0.005859,-0.044922,-2.129771,0.267176,-2.114504
1.043701,-0.005371,-0.047119,-2.137405,0.244275,-2.152672
1.04248,-0.005371,-0.041016,-2.19084,0.206107,-2.030534
1.036377,0.000977,-0.038086,-2.198473,0.40458,-1.816794
1.03418,-0.005127,-0.044678,-2.236641,0.572519,-1.70229
1.033691,-0.009033,-0.036621,-2.419847,0.717557,-1.305344
1.028564,-0.009033,-0.032715,-2.351145,0.496183,-1.328244
1.031738,-0.00708,-0.028076,-2.458015,0.496183,-1.167939
1.036865,-0.010986,-0.033203,-2.381679,0.137405,-0.923664
1.026611,-0.010742,-0.027588,-2.40458,-0.229008,-1.053435
