xacc,yacc,zacc,xgyro,ygyro,zgyro
1.04,-0.09,0.11,-3.73,-1.18,-0.05
1.04,-0.10,0.11,-3.88,-0.93,-0.05
1.04,-0.10,0.10,-3.74,-0.96,0.18
1.04,-0.09,0.11,-3.75,-1.09,0.12
1.04,-0.09,0.11,-3.84,-0.89,0.25
1.04,-0.09,0.11,-3.88,-0.69,0.32
1.04,-0.09,0.10,-4.06,-0.67,0.51
1.04,-0.10,0.11,-3.95,-0.50,0.73
1.03,-0.10,0.10,-3.94,-0.59,0.78
1.03,-0.10,0.10,-3.96,-0.73,0.77
1.03,-0.10,0.10,-3.98,-0.69,0.60
1.04,-0.10,0.11,-4.01,-0.78,0.56
1.04,-0.10,0.10,-3.90,-1.00,0.40
1.04,-0.09,0.10,-3.93,-1.28,0.52
1.03,-0.09,0.10,-3.73,-1.40,0.26
1.02,-0.10,0.10,-4.05,-1.60,-0.37
1.02,-0.10,0.09,-4.05,-1.63,-0.92
1.04,-0.10,0.10,-3.61,-1.33,-0.79
1.05,-0.09,0.09,-3.54,-1.01,-0.38
1.04,-0.09,0.08,-3.62,-0.79,-0.15
1.03,-0.10,0.09,-3.79,-0.69,-0.04
1.03,-0.10,0.10,-3.79,-0.54,-0.44
1.02,-0.09,0.10,-4.14,-0.15,-0.82
1.02,-0.10,0.10,-4.29,0.11,-0.64
1.03,-0.10,0.10,-4.21,0.40,-0.48
1.04,-0.09,0.10,-4.19,0.40,-0.79
1.03,-0.10,0.11,-4.06,0.16,-0.93
1.02,-0.10,0.10,-4.04,-0.39,-1.40
1.03,-0.09,0.11,-3.92,-0.87,-0.92
1.03,-0.09,0.12,-3.98,-1.37,-0.48
1.03,-0.09,0.11,-4.07,-1.59,-0.20
1.03,-0.10,0.11,-3.97,-1.70,0.04
1.03,-0.10,0.11,-4.05,-1.80,-0.17
1.03,-0.10,0.11,-3.92,-2.03,-0.38
1.04,-0.10,0.10,-3.81,-1.96,-0.30
1.03,-0.10,0.10,-3.82,-1.56,-0.10
1.04,-0.10,0.09,-3.59,-1.03,0.25
1.04,-0.10,0.09,-3.61,-0.48,0.26
1.04,-0.09,0.09,-3.69,0.11,0.37
1.05,-0.10,0.09,-3.79,0.71,0.15
1.04,-0.10,0.09,-3.79,1.21,-0.15
1.04,-0.10,0.09,-3.71,1.50,-0.44
1.04,-0.10,0.10,-3.59,1.59,-0.81
1.04,-0.10,0.11,-3.68,1.48,-0.83
1.03,-0.09,0.10,-3.93,1.36,-1.02
1.03,-0.09,0.10,-3.74,1.21,-1.00
1.03,-0.09,0.11,-3.79,0.93,-0.79
1.03,-0.09,0.12,-3.67,0.57,-0.64
1.03,-0.09,0.11,-3.98,0.27,-0.54
1.03,-0.09,0.10,-3.98,0.12,-0.57
1.03,-0.09,0.11,-3.93,-0.10,-0.34
1.04,-0.09,0.12,-3.91,-0.16,-0.17
1.03,-0.10,0.12,-3.93,-0.25,-0.34
1.03,-0.09,0.11,-4.05,-0.10,-0.17
1.04,-0.09,0.10,-3.89,-0.05,-0.37
1.03,-0.10,0.11,-4.02,-0.18,-0.42
1.04,-0.09,0.11,-4.02,-0.22,-0.32
1.03,-0.09,0.11,-3.93,-0.35,-0.36
1.03,-0.09,0.11,-4.06,-0.18,-0.40
1.03,-0.09,0.11,-3.80,-0.44,-0.22
1.02,-0.09,0.10,-3.98,-0.48,-0.37
1.03,-0.09,0.10,-4.03,-0.77,-0.40
1.03,-0.10,0.10,-4.12,-1.00,-0.32
1.03,-0.10,0.10,-3.98,-0.89,-0.49
1.04,-0.09,0.10,-3.80,-0.92,-0.51
1.03,-0.10,0.10,-3.78,-0.58,-0.45
1.03,-0.10,0.10,-3.95,-0.64,-0.72
1.04,-0.09,0.10,-4.02,-0.56,-0.49
1.04,-0.09,0.10,-3.98,-0.21,-0.81
1.04,-0.10,0.10,-4.03,-0.10,-0.51
1.03,-0.09,0.10,-3.86,0.16,-0.50
1.03,-0.09,0.11,-4.01,-0.03,-0.44
1.03,-0.10,0.10,-3.96,0.02,-0.40
1.03,-0.10,0.10,-3.82,0.17,-0.47
1.03,-0.10,0.10,-4.00,0.08,-0.42
1.03,-0.10,0.11,-4.05,-0.16,-0.30
1.02,-0.09,0.10,-4.01,-0.23,-0.40
1.03,-0.10,0.11,-3.67,-0.36,-0.38
1.03,-0.10,0.11,-3.93,-0.27,-0.60
1.03,-0.10,0.11,-3.67,-0.21,-0.62
1.03,-0.10,0.10,-3.76,-0.21,-0.63
1.03,-0.09,0.11,-3.82,-0.03,-0.90
1.03,-0.09,0.11,-3.80,0.01,-0.85
1.03,-0.09,0.11,-3.86,0.24,-0.96
1.04,-0.09,0.11,-4.04,0.25,-0.98
1.04,-0.09,0.10,-4.02,0.32,-1.02
1.04,-0.09,0.11,-3.94,0.21,-0.78
1.04,-0.09,0.12,-4.13,-0.09,-0.90
1.03,-0.09,0.11,-3.89,-0.18,-0.47
1.03,-0.09,0.11,-3.92,-0.34,-0.54
1.04,-0.09,0.10,-3.91,-0.40,-0.40
1.02,-0.09,0.11,-3.83,-0.67,-0.39
1.03,-0.09,0.10,-3.88,-0.70,-0.47
1.04,-0.09,0.09,-3.89,-0.37,-0.38
1.03,-0.09,0.10,-3.92,-0.35,-0.59
1.04,-0.09,0.09,-3.72,-0.18,-1.04
1.04,-0.09,0.10,-3.66,0.18,-1.35
1.04,-0.09,0.10,-3.89,0.27,-1.45
1.04,-0.09,0.10,-4.19,0.61,-1.69
1.03,-0.08,0.10,-4.37,0.26,-2.34
1.04,-0.10,0.10,-3.71,0.27,0.55
1.04,-0.10,0.09,-3.45,0.41,0.49
1.04,-0.09,0.10,-3.69,0.51,0.36
1.04,-0.10,0.10,-3.69,0.74,0.35
1.04,-0.09,0.10,-3.74,1.00,0.02
1.04,-0.09,0.10,-3.66,1.27,-0.24
1.03,-0.09,0.11,-3.73,1.37,-0.21
1.04,-0.09,0.11,-3.81,1.29,-0.20
1.03,-0.09,0.11,-3.74,1.20,-0.36
1.03,-0.08,0.12,-3.80,0.69,-0.38
1.03,-0.09,0.12,-3.78,0.45,-0.50
1.03,-0.09,0.11,-3.95,0.08,-0.20
1.03,-0.09,0.12,-3.76,-0.24,-0.21
1.03,-0.09,0.11,-4.04,-0.72,-0.10
1.04,-0.09,0.11,-3.86,-0.77,0.11
1.03,-0.09,0.12,-3.91,-1.08,0.33
1.03,-0.09,0.12,-3.92,-1.10,0.39
1.03,-0.09,0.11,-3.94,-1.05,0.36
1.03,-0.09,0.11,-4.06,-1.14,0.10
1.03,-0.10,0.11,-4.07,-0.97,0.15
1.03,-0.09,0.11,-3.95,-0.91,-0.10
1.03,-0.10,0.11,-4.08,-1.18,-0.33
1.03,-0.09,0.11,-4.11,-1.17,-0.05
1.03,-0.09,0.11,-3.98,-1.02,-0.37
1.04,-0.09,0.11,-3.98,-0.95,-0.48
1.03,-0.10,0.10,-4.08,-0.76,-0.34
1.03,-0.09,0.11,-3.98,-0.69,-0.46
1.03,-0.09,0.11,-3.78,-0.47,-0.66
1.03,-0.09,0.11,-3.91,-0.49,-0.64
1.03,-0.09,0.11,-3.86,-0.40,-0.64
1.03,-0.09,0.11,-3.88,-0.43,-0.43
1.03,-0.09,0.11,-4.08,-0.36,-0.40
1.03,-0.09,0.10,-3.98,-0.11,-0.41
1.03,-0.09,0.12,-3.94,-0.15,-0.27
1.03,-0.09,0.11,-3.98,-0.32,-0.24
1.04,-0.09,0.11,-3.85,-0.24,0.15
1.03,-0.09,0.10,-3.85,-0.60,-0.05
1.03,-0.09,0.11,-4.04,-0.76,-0.13
1.03,-0.09,0.11,-4.04,-0.85,0.02
1.03,-0.09,0.11,-3.92,-0.89,-0.30
1.03,-0.10,0.11,-3.98,-1.05,-0.51
1.03,-0.10,0.11,-3.96,-0.85,-0.87
1.04,-0.10,0.11,-3.92,-1.06,-0.82
1.04,-0.09,0.11,-4.00,-0.95,-1.08
1.04,-0.09,0.10,-3.92,-0.94,-1.23
1.04,-0.09,0.10,-4.18,-1.13,-1.09
1.04,-0.10,0.11,-3.99,-0.77,-0.85
1.05,-0.09,0.11,-4.16,-1.10,-0.75
1.04,-0.10,0.11,-4.18,-0.95,-0.64
1.04,-0.10,0.11,-4.05,-0.97,-0.47
1.04,-0.09,0.10,-4.15,-0.82,-0.38
