xacc,yacc,zacc,xgyro,ygyro,zgyro
0.94,0.16,-0.24,-4.03,0.20,-0.99
0.94,0.17,-0.25,-3.84,0.05,-0.89
0.95,0.16,-0.25,-3.76,0.14,-1.35
0.95,0.16,-0.25,-3.82,0.04,-1.08
0.95,0.16,-0.25,-3.85,-0.09,-1.26
0.94,0.16,-0.25,-3.84,-0.34,-1.21
0.94,0.16,-0.25,-3.79,-0.53,-1.17
0.95,0.16,-0.25,-4.08,-0.56,-0.98
0.94,0.16,-0.25,-3.88,-0.82,-0.56
0.94,0.16,-0.25,-4.15,-0.91,-0.28
0.95,0.16,-0.24,-3.97,-1.17,-0.16
0.94,0.16,-0.24,-3.75,-1.24,-0.12
0.95,0.15,-0.26,-3.76,-1.40,0.02
0.95,0.16,-0.25,-3.86,-1.44,0.20
0.95,0.16,-0.25,-3.69,-1.82,0.51
0.94,0.16,-0.25,-3.92,-1.92,0.44
0.94,0.16,-0.25,-3.71,-1.85,0.80
0.95,0.16,-0.26,-3.82,-1.47,0.84
0.94,0.15,-0.26,-3.86,-1.26,0.62
0.95,0.16,-0.26,-3.75,-0.89,0.38
0.95,0.16,-0.26,-3.84,-0.50,0.22
0.95,0.16,-0.25,-4.02,-0.19,-0.23
0.94,0.16,-0.25,-3.98,0.24,-0.63
0.94,0.16,-0.26,-4.19,0.43,-0.57
0.95,0.16,-0.25,-4.34,0.95,-1.03
0.95,0.16,-0.25,-4.10,1.23,-1.15
0.95,0.16,-0.25,-4.12,1.38,-1.27
0.95,0.16,-0.25,-3.98,1.50,-1.34
0.95,0.16,-0.25,-4.14,1.40,-1.35
0.94,0.16,-0.25,-4.12,1.39,-1.31
0.94,0.17,-0.24,-3.98,1.09,-1.47
0.95,0.16,-0.24,-3.95,0.73,-1.36
0.95,0.16,-0.24,-3.98,0.47,-1.24
0.95,0.16,-0.24,-3.77,0.24,-1.18
0.94,0.16,-0.24,-3.80,-0.48,-0.89
0.94,0.16,-0.25,-3.94,-0.73,-0.85
0.94,0.16,-0.25,-3.82,-0.89,-0.89
0.93,0.17,-0.25,-4.02,-1.04,-0.81
0.94,0.16,-0.25,-4.12,-1.27,-0.83
0.94,0.16,-0.25,-3.97,-1.57,-0.91
0.94,0.16,-0.26,-4.02,-1.63,-0.59
0.94,0.16,-0.25,-4.08,-1.54,-0.56
0.94,0.16,-0.25,-4.09,-1.53,-0.64
0.94,0.17,-0.25,-4.15,-1.30,-0.69
0.94,0.15,-0.25,-4.06,-1.29,-0.65
0.95,0.16,-0.25,-4.02,-1.27,-0.34
0.95,0.16,-0.26,-4.10,-1.02,-0.65
0.95,0.17,-0.26,-4.05,-1.00,-0.82
0.94,0.16,-0.25,-4.06,-0.79,-0.76
