time,xacc,yacc,zacc,xgyro,ygyro,zgyro
33680067,0.8566894531,0.0551757812,-0.8054199219,-1.4503816366, 2.9160306454, -2.0763359070
33690067,0.8564453125,0.0576171875,-0.7990722656,-1.5725190639, 3.1755726337, -1.6183205843
33700067,0.8598632812,0.0524902344,-0.7929687500,-1.8015266657, 2.7175571918, -1.6183205843
33710067,0.8549804688,0.0512695312,-0.7902832031,-1.7251908779, 2.0610687733, -1.7862595320
33720067,0.8627929688,0.0502929688,-0.7819824219,-2.1526718140, 1.4503816366, -1.7404580116
33730067,0.8662109375,0.0546875000,-0.7954101562,-1.9236640930, 0.9923664331, -1.4503816366
33740067,0.8605957031,0.0549316406,-0.7785644531,-1.9694656134, 1.0839694738, -1.5572519302
33750067,0.8544921875,0.0500488281,-0.7971191406,-1.9694656134, 1.7557251453, -1.7251908779
33760067,0.8601074219,0.0546875000,-0.7866210938,-1.9236640930, 1.8015266657, -2.5496182442
33770067,0.8518066406,0.0534667969,-0.7956542969,-1.6488549709, 1.8931298256, -2.6717557907
33780067,0.8569335938,0.0561523438,-0.7890625000,-2.0458016396, 2.3816792965, -2.5343511105
33790067,0.8552246094,0.0578613281,-0.7976074219,-1.8778625727, 2.5801527500, -2.3816792965
33800067,0.8557128906,0.0576171875,-0.7922363281,-1.9847328663, 2.8396947384, -2.2442748547
33810067,0.8574218750,0.0578613281,-0.7995605469,-1.7709923983, 2.8702290058, -1.9236640930
33820067,0.8515625000,0.0524902344,-0.7985839844,-1.7557251453, 2.7328243256, -1.4961831570
33830067,0.8542480469,0.0507812500,-0.7946777344,-1.9083969593, 1.8778625727, -1.3587785959
33840067,0.8603515625,0.0458984375,-0.7893066406,-2.0763359070, 1.9694656134, -1.5725190639
33850067,0.8625488281,0.0524902344,-0.7885742188,-2.0000000000, 1.9083969593, -1.4045801163
33860067,0.8654785156,0.0610351562,-0.7858886719,-1.9694656134, 2.2748091221, -1.4351145029
33870067,0.8610839844,0.0583496094,-0.7963867188,-2.1221373081, 2.7480916977, -1.0687023401
33880067,0.8620605469,0.0495605469,-0.7956542969,-2.2442748547, 3.1450381279, -1.0992366076
33890067,0.8674316406,0.0527343750,-0.7985839844,-2.4122138023, 3.3435113430, -1.5877863169
33900067,0.8659667969,0.0576171875,-0.7956542969,-2.8396947384, 3.9083969593, -1.7404580116
33910067,0.8596191406,0.0593261719,-0.7839355469,-2.6106870174, 4.2442746162, -1.4809160233
33920067,0.8613281250,0.0573730469,-0.7946777344,-2.4732823372, 4.4274806976, -1.1755725145
33930067,0.8598632812,0.0683593750,-0.7897949219,-2.3511450291, 4.4732823372, -0.8854961991
33940067,0.8620605469,0.0617675781,-0.7900390625,-2.1068701744, 4.4122138023, -0.9312977195
33950067,0.8479003906,0.0673828125,-0.7919921875,-1.8778625727, 4.7022900581, -1.5419846773
33960067,0.8454589844,0.0617675781,-0.7827148438,-2.1526718140, 4.9618320465, -1.6793893576
33970067,0.8488769531,0.0583496094,-0.7719726562,-2.0458016396, 4.6564884186, -1.8320610523
33980067,0.8581542969,0.0615234375,-0.7766113281,-1.5725190639, 4.5496182442, -1.3282443285
33990067,0.8537597656,0.0581054688,-0.7697753906,-1.4961831570, 3.8167939186, -0.6870229244
34000067,0.8593750000,0.0544433594,-0.7705078125,-1.1603053808, 2.7786259651, -0.0916030556
34010067,0.8618164062,0.0524902344,-0.7817382812,-1.2824426889, 2.1832060814, 0.4427480996
34020067,0.8693847656,0.0498046875,-0.7846679688,-1.1755725145, 1.8320610523, 0.8854961991
34030067,0.8688964844,0.0480957031,-0.7976074219,-1.1145038605, 2.2137403488, 0.9770992398
34040067,0.8723144531,0.0534667969,-0.7932128906,-0.9160305262, 2.2900762558, 1.0229008198
34050067,0.8701171875,0.0485839844,-0.7963867188,-1.2366411686, 3.0992367268, 0.9160305262
34060067,0.8693847656,0.0532226562,-0.7956542969,-1.3893129826, 3.3893129826, 0.8549618125
34070067,0.8686523438,0.0456542969,-0.7924804688,-1.6030534506, 3.7404580116, 0.0763358772
34080067,0.8754882812,0.0568847656,-0.7978515625,-1.6030534506, 4.0305342674, -0.2595419884
34090067,0.8649902344,0.0561523438,-0.7980957031,-1.5725190639, 4.5038166046, -0.9007633328
34100067,0.8735351562,0.0529785156,-0.7834472656,-1.4961831570, 4.6870226860, -1.3129770756
34110067,0.8666992188,0.0578613281,-0.7829589844,-1.7099236250, 4.5343513489, -1.7251908779
34120067,0.8730468750,0.0529785156,-0.7910156250,-1.5725190639, 4.6564884186, -2.1068701744
34130067,0.8710937500,0.0532226562,-0.7800292969,-1.4656488895, 4.1832060814, -2.5648853779
34140067,0.8630371094,0.0546875000,-0.7707519531,-1.6183205843, 3.6946563721, -2.8091602325
34150067,0.8737792969,0.0588378906,-0.7790527344,-1.4809160233, 2.7328243256, -2.9007632732
34160067,0.8681640625,0.0576171875,-0.7705078125,-1.6641221046, 2.2442748547, -2.9007632732
34170067,0.8664550781,0.0625000000,-0.7722167969,-1.6335878372, 1.8931298256, -3.0992367268
34180067,0.8679199219,0.0634765625,-0.7834472656,-1.6183205843, 1.4045801163, -3.6793892384
34190067,0.8657226562,0.0615234375,-0.7768554688,-1.7557251453, 1.3740458488, -4.7022900581
34200067,0.8657226562,0.0541992188,-0.7866210938,-1.8473281860, 1.3435114622, -5.4961833954
34210067,0.8657226562,0.0583496094,-0.7834472656,-1.7404580116, 1.7251908779, -5.7709922791
34220067,0.8752441406,0.0566406250,-0.7885742188,-1.6183205843, 2.2290077209, -5.8320612907
34230067,0.8735351562,0.0590820312,-0.7885742188,-1.6641221046, 2.4885497093, -5.6946563721
34240067,0.8752441406,0.0576171875,-0.7951660156,-1.4809160233, 2.3053436279, -5.6030535698
34250067,0.8725585938,0.0600585938,-0.7905273438,-1.3282443285, 2.2595419884, -5.7099237442
34260067,0.8801269531,0.0603027344,-0.7902832031,-1.1755725145, 2.5038168430, -5.4961833954
34270067,0.8896484375,0.0739746094,-0.7895507812,-0.6717557311, 2.8549618721, -5.3740458488
34280067,0.8869628906,0.0761718750,-0.7907714844,-0.6106870174, 3.0076336861, -5.5725193024
34290067,0.8906250000,0.0778808594,-0.7763671875,0.0610687025, 2.6106870174, -6.1526718140
34300067,0.8830566406,0.0715332031,-0.7744140625,0.0458015278, 2.3816792965, -7.0687022209
34310067,0.8774414062,0.0649414062,-0.7810058594,0.1832061112, 1.7251908779, -8.1832065582
34320067,0.8688964844,0.0617675781,-0.7785644531,0.1679389328, 1.4656488895, -9.0229005814
34330067,0.8732910156,0.0598144531,-0.7770996094,0.0152671756, 1.8931298256, -9.6488552094
34340067,0.8620605469,0.0585937500,-0.7756347656,-0.1374045759, 1.9541984797, -9.7251911163
34350067,0.8596191406,0.0551757812,-0.7773437500,-0.8549618125, 2.5038168430, -9.6335878372
34360067,0.8542480469,0.0585937500,-0.7832031250,-1.6030534506, 2.8091602325, -8.3816795349
34370067,0.8605957031,0.0617675781,-0.7973632812,-1.5114504099, 2.2900762558, -6.7786259651
34380067,0.8579101562,0.0620117188,-0.7851562500,-1.7862595320, 2.9160306454, -5.5877861977
34390067,0.8598632812,0.0634765625,-0.7907714844,-1.2519084215, 2.3969466686, -5.5877861977
34400067,0.8659667969,0.0656738281,-0.7849121094,-1.4503816366, 3.4198472500, -5.2213740349
34410067,0.8620605469,0.0649414062,-0.7949218750,-0.9007633328, 3.9083969593, -4.4427480698
34420067,0.8698730469,0.0534667969,-0.7856445312,-0.5648854971, 5.2366414070, -3.7862596512
34430067,0.8615722656,0.0585937500,-0.7568359375,0.1526717544, 5.3587784767, -3.4198472500
34440067,0.8652343750,0.0642089844,-0.7512207031,0.0916030556, 5.0992364883, -3.3282442093
34450067,0.8435058594,0.0620117188,-0.7373046875,0.3816793859, 3.1450381279, -2.9923663139
34460067,0.8471679688,0.0705566406,-0.7355957031,-0.1832061112, 1.0534350872, -2.6870229244
34470127,0.8442382812,0.0673828125,-0.7446289062,-0.6870229244, -1.0381679535, -2.8091602325
34480213,0.8522949219,0.0686035156,-0.7456054688,-0.9160305262, -2.4885497093, -2.6717557907
34490067,0.8576660156,0.0673828125,-0.7697753906,-1.3740458488, -2.8549618721, -2.5496182442
34500067,0.8681640625,0.0654296875,-0.7792968750,-1.4656488895, -2.5343511105, -3.2519083023
34510067,0.8664550781,0.0744628906,-0.8005371094,-1.2824426889, -1.8473281860, -3.2213740349
34520067,0.8806152344,0.0708007812,-0.8005371094,-1.3740458488, -0.7022900581, -2.9007632732
34530067,0.8872070312,0.0710449219,-0.8083496094,-1.0534350872, 0.8702290058, -3.2213740349
34540067,0.8730468750,0.0661621094,-0.8056640625,-0.5343511701, 1.4045801163, -3.0076336861
34550067,0.8801269531,0.0646972656,-0.7963867188,-1.0992366076, 1.8320610523, -3.8473281860
34560067,0.8889160156,0.0856933594,-0.7941894531,-1.5725190639, 2.6106870174, -4.5954198837
34570067,0.8767089844,0.0717773438,-0.7822265625,-1.5572519302, 3.3893129826, -5.4198474884
34580067,0.8662109375,0.0695800781,-0.7685546875,-2.1984732151, 3.0076336861, -4.1984734535
34590067,0.8627929688,0.0722656250,-0.7724609375,-1.9083969593, 3.1145038605, -4.3206105232
34600067,0.8642578125,0.0695800781,-0.7722167969,-1.5419846773, 3.2519083023, -4.0152673721
34610067,0.8515625000,0.0715332031,-0.7624511719,-1.3282443285, 3.2824428082, -3.9541983604
34620067,0.8518066406,0.0710449219,-0.7695312500,-1.2519084215, 2.7938930988, -4.0000000000
34630067,0.8586425781,0.0710449219,-0.7653808594,-1.1755725145, 1.8167939186, -3.0076336861
34640067,0.8706054688,0.0766601562,-0.7697753906,-1.1145038605, 0.4885496199, -2.1679389477
34650067,0.8674316406,0.0710449219,-0.7761230469,-0.7938931584, -0.6106870174, -1.7251908779
34660067,0.8674316406,0.0727539062,-0.7954101562,-0.3053435087, -1.3282443285, -1.1145038605
34670067,0.8801269531,0.0681152344,-0.7958984375,-0.7480915785, -0.0152671756, -1.8473281860
34680067,0.8771972656,0.0678710938,-0.7929687500,-1.0229008198, 1.4656488895, -2.3816792965
34690067,0.8745117188,0.0766601562,-0.7897949219,-1.2519084215, 2.8396947384, -2.0000000000
34700067,0.8706054688,0.0705566406,-0.7905273438,-0.8091602921, 2.7022900581, -2.3511450291
34710067,0.8752441406,0.0754394531,-0.7812500000,-0.9923664331, 2.2595419884, -2.7175571918
34720067,0.8776855469,0.0759277344,-0.7673339844,-1.3282443285, 2.0916030407, -3.6793892384
