time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1211070067,1.1506347656,-0.0502929688,-0.0917968750,-1.6030534506, 2.1526718140, 0.1679389328
1211080067,1.1567382812,-0.0478515625,-0.0883789062,-1.3129770756, 2.2137403488, -0.0458015278
1211090067,1.1455078125,-0.0490722656,-0.0915527344,-1.5267175436, 2.1068701744, -1.2213740349
1211100067,1.1523437500,-0.0476074219,-0.0847167969,-1.4503816366, 1.9389313459, -1.3587785959
1211110067,1.1586914062,-0.0507812500,-0.0930175781,-1.5725190639, 1.9847328663, -1.2671755552
1211120067,1.1501464844,-0.0529785156,-0.0903320312,-1.4351145029, 2.0458016396, -1.0229008198
1211130067,1.1628417969,-0.0588378906,-0.0922851562,-1.5725190639, 2.0458016396, -0.8091602921
1211140067,1.1550292969,-0.0498046875,-0.1047363281,-1.7557251453, 1.9541984797, -0.3206106722
1211150067,1.1623535156,-0.0546875000,-0.0917968750,-1.6793893576, 1.8625954390, -0.4274809062
1211160067,1.1547851562,-0.0529785156,-0.0996093750,-2.0458016396, 2.0152671337, -0.4274809062
1211170067,1.1542968750,-0.0546875000,-0.0959472656,-2.1679389477, 2.3969466686, -0.5648854971
1211180067,1.1538085938,-0.0563964844,-0.0817871094,-2.0763359070, 2.3358778954, -0.9770992398
1211190067,1.1518554688,-0.0515136719,-0.0942382812,-1.9236640930, 2.4732823372, -0.7633587718
1211200067,1.1433105469,-0.0512695312,-0.0822753906,-1.8931298256, 2.5648853779, -0.7328244448
1211210067,1.1533203125,-0.0524902344,-0.0837402344,-2.0305342674, 2.3511450291, -1.0381679535
1211220067,1.1499023438,-0.0510253906,-0.0917968750,-1.8931298256, 2.4427480698, -0.9160305262
1211230067,1.1525878906,-0.0471191406,-0.0832519531,-1.6183205843, 2.3511450291, -0.7938931584
1211240067,1.1569824219,-0.0585937500,-0.0930175781,-1.8320610523, 2.2137403488, -0.5648854971
1211250067,1.1552734375,-0.0573730469,-0.0849609375,-1.7099236250, 2.0763359070, -0.5496183038
1211260070,1.1508789062,-0.0524902344,-0.0937500000,-1.8320610523, 2.0763359070, -0.8244274855
1211270067,1.1516113281,-0.0510253906,-0.0812988281,-1.9694656134, 1.8167939186, -1.1450381279
