xacc,yacc,zacc,xgyro,ygyro,zgyro
1.04,0.06,0.01,-3.21,4.11,-3.16
1.05,0.05,-0.00,-3.18,4.65,-4.06
1.03,0.04,0.01,-3.12,4.79,-4.18
1.02,0.06,0.02,-2.85,4.71,-3.76
1.04,0.06,0.01,-2.80,5.22,-3.35
1.01,0.07,0.02,-2.98,4.31,-2.25
1.01,0.07,0.03,-2.81,3.45,-1.24
1.02,0.06,0.01,-3.04,3.08,-1.73
1.01,0.06,0.02,-3.15,2.15,-1.25
1.02,0.07,0.03,-3.25,1.42,-0.78
1.01,0.07,0.01,-3.52,0.74,-0.53
1.01,0.07,0.02,-3.61,-0.82,-0.27
1.01,0.07,0.04,-3.84,-1.85,-0.26
1.02,0.07,0.02,-3.94,-2.02,-0.57
1.01,0.07,0.03,-4.08,-2.53,-0.50
1.01,0.06,0.02,-3.70,-2.92,-0.72
1.02,0.07,0.02,-3.46,-3.02,-1.79
1.03,0.06,0.02,-3.15,-3.11,-2.46
1.02,0.07,0.02,-3.14,-3.11,-2.14
1.03,0.08,0.03,-3.43,-3.21,-2.31
1.03,0.07,0.03,-3.68,-2.92,-2.28
1.03,0.08,0.02,-3.47,-3.13,-2.28
1.03,0.07,0.03,-3.41,-2.91,-2.11
1.03,0.07,0.03,-3.62,-3.19,-2.18
1.03,0.07,0.02,-3.44,-3.52,-1.97
1.03,0.08,0.03,-3.50,-2.98,-1.57
1.03,0.07,0.02,-3.14,-2.75,-1.66
1.03,0.07,0.02,-3.07,-2.53,-1.50
1.02,0.07,0.02,-2.94,-2.40,-1.92
1.02,0.07,0.01,-2.54,-2.69,-1.88
1.02,0.08,0.02,-2.66,-3.12,-1.86
1.01,0.07,0.02,-2.66,-3.12,-1.67
1.02,0.07,0.02,-2.80,-3.25,-2.15
1.02,0.07,0.02,-3.21,-3.22,-2.40
1.02,0.08,0.02,-3.21,-3.25,-2.26
1.01,0.07,0.02,-3.08,-3.21,-2.37
1.01,0.08,0.01,-3.05,-3.20,-2.38
1.01,0.08,0.01,-2.77,-3.50,-2.37
1.02,0.08,0.01,-2.66,-3.49,-2.16
1.02,0.08,0.01,-2.82,-3.47,-1.78
1.02,0.08,0.02,-2.94,-3.73,-1.56
1.03,0.07,0.01,-2.90,-4.34,-1.64
1.03,0.07,0.01,-3.03,-4.53,-1.76
1.03,0.07,0.01,-3.22,-4.96,-1.89
1.04,0.07,0.01,-3.44,-5.31,-1.78
1.04,0.08,0.01,-3.63,-5.36,-1.66
1.04,0.07,0.01,-3.73,-5.27,-1.87
1.05,0.08,0.01,-3.50,-5.24,-1.83
1.05,0.08,0.01,-3.79,-5.19,-1.64
1.05,0.08,0.00,-3.95,-5.18,-1.15
1.05,0.08,-0.01,-3.94,-5.12,-0.58
1.05,0.09,0.00,-4.11,-4.99,-0.50
1.05,0.07,0.00,-4.15,-4.79,-0.32
1.05,0.07,0.00,-4.13,-4.63,-0.65
1.06,0.08,-0.00,-4.05,-4.18,-0.89
1.05,0.08,0.00,-4.17,-3.88,-0.74
1.06,0.09,0.01,-4.31,-3.62,-0.41
1.06,0.08,0.00,-4.43,-3.27,-0.40
1.05,0.07,-0.01,-4.26,-3.27,-0.86
1.06,0.07,-0.00,-4.16,-2.69,-1.05
1.06,0.07,0.00,-4.18,-2.31,-1.29
1.05,0.07,-0.00,-4.11,-1.44,-1.51
1.05,0.07,-0.00,-4.20,-0.82,-1.50
1.04,0.08,0.00,-4.01,-0.29,-1.59
1.04,0.08,-0.00,-4.02,-0.05,-1.66
1.04,0.07,-0.01,-4.20,0.15,-1.82
1.03,0.07,-0.00,-4.45,0.11,-1.98
1.02,0.07,-0.00,-4.31,0.07,-2.00
1.02,0.08,0.00,-4.44,0.09,-2.04
1.02,0.08,-0.01,-4.63,0.26,-2.10
1.02,0.07,0.00,-4.75,-0.18,-2.24
1.02,0.08,0.01,-4.81,-0.24,-2.42
1.02,0.07,0.01,-5.17,-0.34,-2.57
1.03,0.07,0.01,-5.26,-0.62,-2.48
1.03,0.07,0.01,-5.05,-0.65,-2.32
1.03,0.07,0.01,-4.98,-0.46,-1.86
1.03,0.07,0.01,-5.04,-0.56,-2.06
1.04,0.07,0.00,-4.79,-0.44,-1.88
1.05,0.07,0.00,-4.59,0.05,-2.17
1.05,0.08,0.01,-4.69,0.79,-2.52
1.05,0.07,0.01,-4.63,0.77,-2.70
1.05,0.08,0.01,-4.67,0.91,-2.43
1.05,0.08,0.01,-4.92,1.00,-2.18
1.05,0.08,0.02,-4.67,1.11,-2.25
1.04,0.08,0.01,-4.87,1.02,-2.14
1.05,0.09,0.01,-4.81,0.73,-1.72
1.05,0.08,0.01,-4.84,0.41,-1.11
1.05,0.09,0.01,-5.01,0.05,-0.42
1.05,0.09,0.01,-5.21,-0.26,0.27
1.06,0.09,0.01,-5.43,-0.37,0.26
1.08,0.09,0.01,-5.53,-0.52,0.72
1.07,0.08,0.00,-5.92,-0.40,0.74
1.08,0.08,0.00,-6.14,-0.12,0.85
1.08,0.08,-0.00,-6.15,0.40,0.93
1.08,0.08,-0.00,-5.90,0.65,1.28
1.08,0.08,-0.01,-5.60,1.04,1.76
1.08,0.08,-0.02,-5.50,1.74,2.02
1.06,0.08,-0.01,-5.26,2.37,2.11
1.07,0.08,-0.02,-4.81,2.96,2.34
1.06,0.08,-0.01,-4.68,3.59,2.37
1.03,0.04,0.05,-3.12,-0.60,4.39
1.02,0.04,0.04,-3.15,-0.47,4.05
1.02,0.04,0.04,-3.07,-0.41,3.76
1.01,0.04,0.03,-2.89,-0.31,3.35
1.02,0.04,0.04,-2.95,-0.41,2.72
1.02,0.04,0.04,-3.18,0.56,2.27
1.02,0.04,0.03,-3.14,1.14,2.31
1.01,0.05,0.03,-3.34,1.51,2.53
1.00,0.04,0.03,-3.56,1.53,2.52
1.00,0.03,0.03,-3.60,1.82,2.11
0.99,0.04,0.03,-3.66,1.67,1.17
0.99,0.04,0.04,-3.58,1.29,0.79
0.99,0.04,0.03,-3.79,1.47,0.56
0.99,0.04,0.03,-3.82,1.44,0.63
0.98,0.03,0.03,-4.00,1.13,0.19
0.99,0.04,0.03,-4.02,0.58,-0.34
0.99,0.04,0.03,-4.08,0.49,-0.95
1.00,0.03,0.03,-4.31,0.23,-1.77
1.00,0.03,0.03,-4.55,0.02,-2.71
1.01,0.04,0.03,-4.35,-0.25,-2.89
1.01,0.04,0.04,-4.30,-0.49,-2.99
1.01,0.04,0.05,-4.37,-1.07,-2.94
1.01,0.04,0.05,-4.14,-1.40,-2.61
1.02,0.04,0.04,-4.07,-1.69,-2.78
1.01,0.04,0.04,-3.84,-2.15,-2.88
1.02,0.05,0.05,-3.59,-2.30,-2.79
1.01,0.05,0.05,-3.64,-2.51,-2.43
1.02,0.05,0.06,-3.55,-2.89,-2.26
1.01,0.05,0.05,-3.29,-2.69,-1.82
1.02,0.05,0.04,-3.10,-2.70,-1.72
1.02,0.05,0.04,-2.88,-2.44,-1.93
1.02,0.04,0.04,-3.27,-2.42,-1.76
1.02,0.05,0.04,-3.37,-2.56,-1.58
1.02,0.04,0.04,-3.69,-2.78,-1.48
1.01,0.05,0.04,-3.76,-3.05,-1.42
1.01,0.04,0.04,-3.88,-2.68,-1.56
1.01,0.04,0.04,-3.98,-3.02,-1.51
1.00,0.05,0.04,-4.17,-2.85,-1.24
1.00,0.04,0.04,-4.26,-2.74,-0.97
1.00,0.04,0.04,-4.46,-3.08,-1.10
1.00,0.03,0.04,-4.52,-3.26,-0.95
1.01,0.04,0.04,-4.57,-2.89,-1.63
1.01,0.03,0.03,-4.69,-2.94,-2.01
1.01,0.03,0.02,-4.28,-2.54,-2.98
1.01,0.02,0.03,-4.36,-2.28,-4.35
1.01,0.03,0.03,-4.42,-1.68,-5.31
1.01,0.03,0.04,-4.15,-1.28,-5.93
1.01,0.03,0.04,-4.15,-1.02,-6.73
1.02,0.03,0.02,-4.63,-0.24,-7.75
0.99,0.03,0.04,-4.57,-0.78,-7.82
0.99,0.05,0.05,-4.90,-1.60,-6.95
1.00,0.04,0.04,-4.31,-2.45,-6.57
1.03,0.03,0.02,-4.37,-1.37,-7.31
0.99,0.03,0.04,-3.77,-1.95,-7.34
1.00,0.04,0.05,-3.27,-3.19,-7.98
1.01,0.04,0.04,-3.21,-4.36,-8.49
1.01,0.04,0.04,-3.14,-5.39,-8.97
1.02,0.05,0.05,-2.98,-6.21,-8.41
1.03,0.06,0.03,-2.89,-6.89,-7.50
1.03,0.06,0.03,-2.84,-7.58,-6.03
1.03,0.06,0.04,-2.84,-8.45,-4.98
1.02,0.06,0.03,-2.83,-9.39,-4.43
1.04,0.06,0.04,-2.62,-9.75,-3.65
1.05,0.06,0.03,-2.99,-10.27,-3.14
