time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1496910067,1.1345214844,-0.0258789062,-0.2600097656,-2.4274809361, 1.2824426889, -5.0992364883
1496920067,1.1352539062,-0.0217285156,-0.2810058594,-1.4503816366, 1.2061069012, -4.7022900581
1496930067,1.1499023438,-0.0163574219,-0.2753906250,-1.0839694738, 1.8015266657, -4.3053436279
1496940067,1.1437988281,-0.0136718750,-0.2851562500,-0.8702290058, 2.4274809361, -3.7862596512
1496950067,1.1406250000,-0.0166015625,-0.2915039062,-0.8091602921, 2.0305342674, -3.4045801163
1496960067,1.1403808594,-0.0170898438,-0.2846679688,-0.5801526904, 1.4351145029, -3.5114502907
1496970067,1.1376953125,-0.0175781250,-0.2939453125,-0.4274809062, 1.3435114622, -3.4045801163
1496980067,1.1394042969,-0.0168457031,-0.2902832031,-0.3969465792, 1.2519084215, -3.7099237442
1496990067,1.1398925781,-0.0195312500,-0.2875976562,-0.3969465792, 1.4503816366, -3.6183207035
1497000067,1.1354980469,-0.0168457031,-0.2766113281,-0.8702290058, 2.2595419884, -3.3893129826
1497010067,1.1347656250,-0.0168457031,-0.2788085938,-1.5267175436, 2.6717557907, -3.4351146221
1497020067,1.1347656250,-0.0122070312,-0.2832031250,-1.8167939186, 3.1755726337, -3.0992367268
1497030067,1.1325683594,-0.0214843750,-0.2854003906,-1.8778625727, 3.4809160233, -2.5496182442
1497040067,1.1367187500,-0.0202636719,-0.2810058594,-2.3053436279, 2.6259541512, -2.2137403488
1497050067,1.1372070312,-0.0141601562,-0.2700195312,-2.3358778954, 2.2595419884, -2.1526718140
1497060067,1.1367187500,-0.0246582031,-0.2717285156,-2.0610687733, 1.5572519302, -1.6183205843
1497070067,1.1359863281,-0.0263671875,-0.2692871094,-1.8625954390, 0.7938931584, -1.2824426889
1497080067,1.1401367188,-0.0163574219,-0.2687988281,-1.7557251453, 0.4274809062, -0.9923664331
1497090067,1.1398925781,-0.0209960938,-0.2797851562,-1.6793893576, 0.1526717544, -0.7633587718
1497100067,1.1320800781,-0.0192871094,-0.2744140625,-1.8473281860, 0.2595419884, -0.9007633328
1497110067,1.1362304688,-0.0261230469,-0.2797851562,-1.5419846773, -0.1526717544, -1.8320610523
1497120067,1.1391601562,-0.0148925781,-0.2883300781,-1.3740458488, -0.1832061112, -0.5801526904
1497130067,1.1350097656,-0.0166015625,-0.2883300781,-1.5877863169, 0.0152671756, 0.4274809062
1497140067,1.1315917969,-0.0153808594,-0.2836914062,-1.5725190639, 0.6259542108, 0.3816793859
1497150067,1.1213378906,-0.0202636719,-0.2866210938,-1.6183205843, 1.4198473692, 0.1068702266
1497160067,1.1313476562,-0.0209960938,-0.2822265625,-1.8167939186, 2.0000000000, -0.1832061112
1497170067,1.1328125000,-0.0231933594,-0.2697753906,-1.6641221046, 2.2290077209, -0.5954198241
1497180067,1.1325683594,-0.0278320312,-0.2712402344,-1.4961831570, 1.2824426889, -1.0076335669
1497190067,1.1369628906,-0.0200195312,-0.2731933594,-1.4351145029, 1.0992366076, -1.1755725145
1497200067,1.1315917969,-0.0151367188,-0.2780761719,-1.5877863169, 1.0076335669, -1.4351145029
1497210067,1.1330566406,-0.0195312500,-0.2775878906,-1.6183205843, 0.8854961991, -1.3740458488
1497220067,1.1359863281,-0.0151367188,-0.2724609375,-1.4503816366, 0.8396946788, -0.9923664331
1497230067,1.1369628906,-0.0212402344,-0.2829589844,-1.3587785959, 0.6717557311, -1.0839694738
1497240067,1.1337890625,-0.0170898438,-0.2971191406,-1.6183205843, 0.6412213445, -1.0229008198
1497250067,1.1352539062,-0.0195312500,-0.2814941406,-1.5267175436, 1.1603053808, -0.8396946788
1497260067,1.1357421875,-0.0236816406,-0.2841796875,-1.7099236250, 1.4656488895, -0.6870229244
1497270067,1.1308593750,-0.0261230469,-0.2766113281,-1.6946564913, 1.4045801163, -0.6717557311
1497280067,1.1416015625,-0.0258789062,-0.2878417969,-1.5267175436, 1.6488549709, -1.0229008198
1497290067,1.1367187500,-0.0183105469,-0.2810058594,-1.5419846773, 1.2824426889, -0.8396946788
