xacc,yacc,zacc,xgyro,ygyro,zgyro
1.042969,0.024902,-0.050293,-1.839695,-0.519084,-4.267176
1.04126,0.028564,-0.042236,-1.992366,-0.625954,-4.656488
1.043945,0.028809,-0.046875,-2.083969,-0.732824,-4.282443
1.044434,0.032227,-0.065186,-1.931298,-0.099237,-4.10687
1.04126,0.030029,-0.048096,-1.862595,0.267176,-4.366412
1.043701,0.030029,-0.049561,-1.885496,0.29771,-4.290076
1.036133,0.025391,-0.052002,-1.847328,0.022901,-4.206107
1.037598,0.025146,-0.047852,-2.152672,0.267176,-4.412214
1.0354,0.017822,-0.047852,-2.290076,0.89313,-4.358778
1.035889,0.019531,-0.047852,-2.068702,0.885496,-4.122138
1.038086,0.026855,-0.038818,-2.10687,0.755725,-4.022901
1.037598,0.021973,-0.04541,-1.908397,0.290076,-4.114504
1.042725,0.037109,-0.045898,-1.938931,-0.274809,-4.236641
1.046387,0.039062,-0.042236,-1.923664,-0.320611,-4.167939
1.049316,0.033691,-0.048584,-1.847328,-0.19084,-4.129771
1.042236,0.031738,-0.043457,-1.847328,0.045802,-4.122138
1.045166,0.034912,-0.045898,-2.0,0.137405,-4.236641
1.037598,0.030273,-0.0354,-1.870229,-0.526718,-4.29771
1.044922,0.031738,-0.046631,-1.992366,-0.671756,-4.854962
1.033936,0.031982,-0.043457,-1.870229,-0.053435,-4.793893
1.039062,0.042725,-0.050537,-1.793893,0.748092,-4.984733
1.0271,0.039307,-0.038818,-1.778626,0.633588,-4.21374
1.030029,0.035156,-0.038818,-2.129771,-0.10687,-3.259542
1.048096,0.032715,-0.030762,-2.045802,-1.099237,-2.526718
1.051025,0.034668,-0.038086,-1.587786,-1.847328,-3.061069
1.050781,0.041016,-0.044922,-1.839695,-1.549618,-3.320611
1.054199,0.041504,-0.053467,-1.664122,-0.938931,-3.80916
1.047852,0.04248,-0.049072,-1.732824,-0.80916,-4.328244
1.056152,0.04126,-0.04248,-1.770992,-0.587786,-4.549618
1.056152,0.031738,-0.054688,-1.969466,-0.145038,-5.259542
1.043457,0.036621,-0.043457,-1.78626,0.045802,-5.183206
1.03418,0.033447,-0.029541,-1.259542,-1.091603,-4.977099
1.050537,0.035156,-0.037598,-1.51145,-2.030534,-5.763359
1.053467,0.030029,-0.052246,-1.755725,-0.923664,-5.580153
1.038086,0.033691,-0.053223,-1.80916,1.145038,-5.229008
1.019531,0.036621,-0.050537,-1.740458,2.122137,-4.221374
1.007568,0.041016,-0.043945,-1.763359,1.801527,-3.740458
1.013184,0.04248,-0.031982,-1.854962,0.755725,-3.145038
1.025635,0.039551,-0.027344,-1.717557,-0.931298,-3.435115
1.038818,0.036621,-0.034424,-1.832061,-1.717557,-3.549618
1.059814,0.032471,-0.046631,-1.656489,-1.480916,-3.961832
1.053955,0.036377,-0.053955,-1.648855,-1.290076,-4.160306
1.049072,0.042725,-0.05957,-1.564885,-0.793893,-4.656488
1.045898,0.037842,-0.04834,-1.717557,-0.099237,-4.725191
1.037598,0.044189,-0.041016,-1.862595,-0.381679,-4.587786
1.037354,0.039795,-0.043701,-1.778626,-0.427481,-4.244275
1.026367,0.043945,-0.055664,-1.793893,-0.282443,-3.641221
1.027588,0.045166,-0.042969,-1.961832,-0.053435,-2.916031
1.0271,0.044678,-0.052979,-1.854962,-0.114504,-2.442748
1.044678,0.040283,-0.050537,-1.854962,-0.389313,-2.580153
1.038574,0.040771,-0.048828,-2.083969,-0.374046,-2.557252
1.036865,0.038574,-0.033203,-2.259542,-0.396947,-2.656489
1.033691,0.034424,-0.040527,-2.167939,-0.854962,-2.465649
1.035889,0.038574,-0.047363,-2.137405,-0.717557,-2.343511
1.034668,0.040527,-0.053711,-2.19084,0.251908,-2.587786
1.026611,0.047363,-0.048096,-2.122137,-0.160305,-2.0
1.035645,0.047363,-0.03125,-2.129771,-1.442748,-1.709924
1.047363,0.049561,-0.031738,-1.78626,-2.244275,-2.175573
1.043701,0.044434,-0.058838,-1.908397,-1.244275,-3.198473
1.039307,0.043701,-0.056641,-2.328244,0.145038,-2.80916
1.033203,0.038574,-0.057373,-1.984733,0.908397,-2.198473
1.018555,0.036133,-0.055664,-2.40458,1.496183,-1.78626
1.020264,0.04541,-0.052246,-2.427481,1.832061,-0.832061
1.010254,0.041748,-0.041748,-2.51145,1.526718,-0.244275
1.020752,0.040771,-0.035889,-2.290076,0.381679,0.328244
1.04126,0.041016,-0.02417,-2.175573,-0.763359,-0.229008
1.052734,0.038574,-0.030762,-2.091603,-1.641221,-0.977099
1.062256,0.027588,-0.03833,-2.122137,-1.748092,-2.19084
1.070801,0.036621,-0.048096,-2.061069,-1.396947,-2.801527
1.054688,0.043457,-0.048584,-1.961832,-0.793893,-2.480916
1.045654,0.042236,-0.049805,-1.977099,-0.312977,-2.320611
1.037598,0.040283,-0.044434,-2.038168,-0.343511,-2.206107
1.032715,0.040527,-0.046143,-2.160305,-0.625954,-1.717557
1.033936,0.036133,-0.044434,-2.221374,-0.961832,-1.664122
1.037842,0.032959,-0.043213,-2.267176,-1.022901,-1.748092
1.045166,0.043945,-0.036621,-2.038168,-0.916031,-2.152672
1.041992,0.050049,-0.031006,-2.152672,-1.038168,-1.954198
1.05127,0.043457,-0.039307,-1.984733,-1.068702,-2.145038
1.046875,0.046387,-0.045654,-2.099237,-1.076336,-2.305344
1.040283,0.045166,-0.03418,-2.167939,-0.984733,-2.480916
1.043945,0.048584,-0.040283,-1.854962,-0.977099,-2.496183
1.043701,0.043457,-0.045166,-2.10687,-1.175573,-2.29771
1.037109,0.044189,-0.039795,-2.053435,-1.229008,-2.007634
1.041992,0.047852,-0.047119,-1.992366,-1.374046,-1.885496
1.037598,0.045166,-0.045654,-2.007634,-0.824427,-1.534351
1.035645,0.047363,-0.042969,-1.862595,-0.358779,-1.320611
1.042725,0.052734,-0.040771,-1.954198,-0.664122,-1.015267
1.03418,0.040039,-0.0354,-2.0,-1.335878,-1.541985
1.053955,0.039307,-0.028809,-1.748092,-2.282443,-1.938931
1.057861,0.050049,-0.042236,-1.70229,-3.152672,-2.312977
1.053955,0.059082,-0.045898,-1.778626,-3.167939,-2.305344
1.056396,0.04541,-0.05249,-1.931298,-2.061069,-2.40458
1.044678,0.042725,-0.051758,-1.908397,-0.862595,-1.954198
1.035889,0.033936,-0.047852,-1.862595,0.0,-1.221374
1.018066,0.035645,-0.048584,-2.458015,0.083969,-0.015267
1.030029,0.019775,-0.025879,-2.717557,-0.557252,0.343511
