xacc,yacc,zacc,xgyro,ygyro,zgyro
1.040283,-0.150635,0.234863,-1.343511,22.763359,-54.488548
1.043701,-0.139893,0.227051,-2.030534,23.343512,-55.938931
1.047607,-0.132324,0.224854,-2.458015,23.862595,-55.938931
1.046143,-0.125244,0.225342,-3.389313,24.687023,-54.351147
1.044922,-0.118164,0.224609,-3.725191,24.839695,-51.419846
1.031982,-0.116211,0.220459,-3.465649,24.229008,-48.656490
1.029541,-0.113281,0.224854,-3.007634,23.160305,-45.740459
1.030518,-0.114990,0.229736,-2.763359,21.908398,-43.603054
1.031250,-0.110596,0.236572,-2.473282,21.206106,-42.167938
1.020752,-0.109619,0.227539,-2.549618,20.671755,-41.664124
1.023438,-0.112061,0.218506,-2.732824,20.580153,-42.122139
1.024658,-0.118164,0.218506,-2.961832,21.343512,-42.152672
1.025146,-0.126953,0.219482,-3.236641,24.137405,-41.541985
1.029297,-0.136475,0.205566,-4.152672,28.687023,-40.137405
1.037842,-0.153564,0.197754,-5.786260,34.717556,-38.977100
1.051514,-0.178467,0.185547,-6.595420,43.099236,-35.206108
1.068848,-0.186523,0.186523,-6.809160,50.809162,-30.992367
1.044189,-0.192627,0.200928,-5.068702,55.832062,-29.374046
0.980469,-0.175293,0.214600,-2.900763,56.076336,-31.114504
0.919434,-0.151367,0.200928,-0.916031,50.458015,-31.267176
0.876709,-0.153564,0.205811,1.450382,40.854961,-29.099237
0.885986,-0.175049,0.187988,5.190840,34.564884,-25.435114
0.929932,-0.194092,0.165283,10.595420,33.603054,-22.946566
0.922119,-0.177002,0.165527,16.396946,34.977100,-23.419847
0.935791,-0.139160,0.214600,18.595419,37.022900,-22.625954
0.928955,-0.090576,0.280273,16.961832,36.335876,-12.732824
0.878906,-0.055420,0.345215,11.572519,31.374046,4.305344
0.866211,-0.073242,0.399170,7.022901,23.251909,16.641222
0.891846,-0.090088,0.423828,5.419847,13.389313,22.320610
0.953125,-0.132324,0.439209,6.152672,4.778626,22.366413
1.030029,-0.186523,0.432861,7.557252,-0.839695,20.488550
1.138428,-0.208008,0.418457,6.641222,-1.832061,18.473282
1.239014,-0.258301,0.369385,2.305344,0.793893,16.244274
1.285156,-0.299316,0.299072,-2.580153,7.022901,10.106871
1.270508,-0.337891,0.213623,-8.244275,12.732824,4.778626
1.244141,-0.354980,0.156494,-12.305344,18.839695,-7.496183
1.126953,-0.393555,0.072510,-12.152672,20.549618,-19.618320
1.061035,-0.418945,0.052246,-8.274809,21.694656,-26.702290
1.027344,-0.424561,0.087402,-2.167939,23.603054,-34.702290
1.041016,-0.375977,0.158203,0.305344,28.030535,-46.061069
1.065918,-0.345215,0.247314,2.030534,32.656490,-62.381680
1.047363,-0.312500,0.328125,1.908397,34.274811,-77.847328
1.015869,-0.285645,0.387939,1.374046,30.824427,-90.824425
0.966553,-0.240479,0.425537,1.007634,22.076336,-100.564888
0.916748,-0.196289,0.437744,-0.076336,10.061069,-107.465652
0.885986,-0.151123,0.444092,-1.114504,-3.511450,-112.687019
0.877930,-0.122803,0.432861,-2.671756,-15.694656,-116.061066
0.914307,-0.088867,0.414795,-3.175573,-25.267176,-115.450378
0.974854,-0.067871,0.366943,-5.160306,-29.190840,-111.312981
1.022217,-0.040527,0.303223,-7.923664,-26.732824,-102.534348
1.027832,-0.046387,0.238037,-9.206107,-20.763359,-88.717560
1.020508,-0.051270,0.154541,-8.870229,-12.458015,-71.374046
1.020996,-0.052246,0.103027,-8.793893,-2.167939,-54.030533
1.014893,-0.056396,0.053711,-8.778625,8.076336,-36.519085
1.021729,-0.090088,0.020508,-9.450381,16.671755,-21.984734
1.031982,-0.114990,0.010254,-11.114504,23.328245,-12.809160
1.039795,-0.162109,0.024414,-12.045801,29.450382,-9.190840
1.036865,-0.225342,0.060059,-9.770992,33.480915,-8.351145
1.049072,-0.251709,0.115234,-5.541985,36.778625,-10.564885
1.038818,-0.266602,0.162842,-1.312977,38.030533,-14.671756
1.025146,-0.252930,0.219727,0.396947,37.160305,-20.580153
1.010986,-0.255859,0.254150,0.427481,34.366413,-27.068703
0.984619,-0.254883,0.289307,0.396947,30.152672,-32.290077
0.975830,-0.267578,0.291992,0.671756,24.977098,-36.595421
0.979980,-0.273193,0.286621,0.732824,19.847328,-40.656490
0.997070,-0.273438,0.271240,1.450382,15.587787,-44.656490
1.018311,-0.284668,0.259766,2.687023,12.931297,-48.473282
1.032959,-0.280518,0.239014,3.984733,11.709924,-51.801525
1.037598,-0.256592,0.218018,5.358778,12.091603,-55.053436
1.034912,-0.234131,0.211426,5.877862,13.175572,-57.862595
1.024658,-0.213867,0.204834,5.877862,14.839695,-59.847328
1.010498,-0.191895,0.208496,5.755725,16.549618,-61.251907
1.000977,-0.159180,0.204346,5.282443,17.129770,-61.511452
0.985840,-0.139404,0.211426,4.427481,17.099237,-60.183205
0.996582,-0.125488,0.221436,3.511450,16.809160,-58.305344
0.998291,-0.113770,0.206787,2.305344,16.366413,-55.862595
1.013672,-0.108398,0.218994,1.236641,16.015266,-53.679390
1.034912,-0.121826,0.219238,0.335878,16.641222,-52.610687
1.055176,-0.132324,0.232910,0.488550,17.832062,-51.465649
1.060303,-0.142822,0.240479,1.022901,18.824427,-49.847328
1.058838,-0.135010,0.254883,0.748092,20.213741,-47.984734
1.054199,-0.133301,0.251221,-0.320611,20.549618,-46.122139
1.041748,-0.144531,0.260742,-1.282443,20.244274,-44.061069
1.037109,-0.155273,0.260010,-1.694656,19.694656,-42.412212
1.032959,-0.156494,0.246582,-1.832061,17.419847,-41.343510
1.024170,-0.173096,0.231689,-2.045802,14.717557,-40.641220
1.018311,-0.180420,0.225098,-2.366412,12.137404,-41.129772
1.026123,-0.186768,0.209717,-2.992366,10.427481,-43.099236
1.034668,-0.203613,0.186768,-2.274809,10.000000,-45.404579
1.030029,-0.209473,0.183838,-1.557252,10.564885,-47.633587
1.039307,-0.200195,0.166260,-0.900763,12.167939,-49.954197
1.049072,-0.194092,0.168213,-0.702290,13.770992,-51.343510
1.047852,-0.181396,0.174316,-0.931298,15.526717,-52.641220
1.046143,-0.173340,0.176270,-1.175573,17.526718,-52.381680
1.048584,-0.167725,0.172363,-1.236641,19.893129,-51.038166
1.040527,-0.154053,0.185791,-1.343511,22.076336,-48.305344
1.021484,-0.153809,0.192139,-2.045802,23.847328,-44.824429
1.011719,-0.147217,0.190674,-2.320611,24.854961,-40.824429
1.011475,-0.161377,0.205078,-2.610687,25.496183,-37.358780
1.010986,-0.174805,0.206787,-2.229008,26.259542,-34.564884
1.016846,-0.187500,0.205078,-1.694656,27.022902,-32.793892
1.027100,-0.202637,0.212891,-0.839695,27.374046,-32.213741
1.021240,-0.200928,0.204102,-0.274809,27.175573,-32.732826
1.028809,-0.211670,0.205566,0.244275,27.740458,-34.305344
1.036865,-0.221924,0.213379,1.068702,28.366413,-35.770992
1.028076,-0.214844,0.214844,1.587786,29.068703,-37.496181
1.012939,-0.212402,0.222656,2.167939,29.343512,-38.549618
0.991943,-0.207764,0.223389,2.335878,28.809160,-40.152672
0.985352,-0.199463,0.245605,1.923664,27.404581,-41.770992
0.980225,-0.181641,0.240723,0.961832,24.671755,-43.648853
0.978271,-0.187012,0.242188,-0.015267,22.122137,-46.229008
0.983398,-0.194824,0.236572,-0.702290,19.190840,-49.740459
1.000977,-0.193359,0.236328,-0.442748,16.290077,-53.786259
1.011719,-0.194824,0.237793,0.030534,14.061069,-57.389313
1.018066,-0.187744,0.226318,0.076336,12.305344,-60.946564
1.031738,-0.177734,0.224365,0.244275,11.358779,-63.740459
1.049316,-0.166260,0.206543,0.381679,11.557252,-65.786263
1.065430,-0.152832,0.197510,0.030534,12.473283,-67.297707
1.072021,-0.133057,0.195068,-0.519084,14.030535,-67.816795
1.051758,-0.116943,0.192383,-1.312977,15.328244,-66.534348
1.049561,-0.094971,0.206055,-1.954198,16.274809,-63.755726
1.040527,-0.085938,0.201660,-3.007634,17.328245,-59.938931
1.034912,-0.072510,0.198486,-3.618321,17.404581,-55.190838
1.026611,-0.071289,0.194336,-4.412214,17.877863,-50.000000
1.026611,-0.073730,0.196045,-4.793893,18.702290,-44.183205
1.035156,-0.085205,0.187500,-5.007634,19.755726,-38.885498
1.043701,-0.101074,0.184082,-4.839694,20.916031,-34.061069
1.051270,-0.118408,0.183350,-4.687023,22.335878,-30.473282
1.053223,-0.139160,0.188232,-3.969466,23.954199,-27.618320
1.057129,-0.158447,0.190674,-3.587786,25.251909,-26.030535
1.050781,-0.167480,0.180176,-3.083969,26.992367,-25.603054
1.054199,-0.175781,0.185791,-3.541985,28.091602,-26.396946
1.059814,-0.186035,0.189209,-3.984733,28.793894,-28.473282
1.055176,-0.192383,0.197754,-4.305344,29.435114,-31.267176
1.057617,-0.209473,0.196777,-4.595420,29.938931,-34.549618
1.059082,-0.213135,0.204834,-4.687023,29.648855,-38.076336
1.055908,-0.214355,0.214111,-5.083970,29.068703,-42.274811
1.047607,-0.211426,0.209961,-5.389313,28.259542,-46.198475
1.040039,-0.208984,0.218750,-5.587786,27.282442,-49.526718
1.027344,-0.204590,0.214111,-5.328244,26.274809,-52.076336
1.008057,-0.190674,0.218994,-5.480916,24.748091,-53.832062
1.006836,-0.179443,0.210693,-5.709924,23.022902,-55.099236
0.996582,-0.166504,0.226807,-5.847328,21.435114,-56.900764
0.998291,-0.158203,0.239502,-6.229008,20.320610,-57.694656
0.997559,-0.151611,0.240479,-5.969466,19.145039,-58.015266
0.994385,-0.143066,0.254883,-5.435114,19.129770,-58.122139
0.997803,-0.135254,0.251465,-4.381680,18.900763,-58.122139
0.999756,-0.122803,0.242188,-3.770992,19.145039,-57.923664
1.004150,-0.111328,0.244141,-3.175573,19.206106,-56.931297
0.990723,-0.107910,0.236572,-2.427481,19.374046,-54.427483
0.992920,-0.110840,0.237305,-1.603053,18.732824,-49.053436
0.995850,-0.112549,0.225830,-0.900763,19.068703,-43.068703
1.005859,-0.118408,0.221924,-0.519084,19.206106,-37.389313
1.013428,-0.124023,0.210449,-0.870229,19.603054,-32.625954
1.023926,-0.143066,0.205811,-1.053435,20.152672,-29.511450
1.038086,-0.165283,0.191162,-0.458015,21.694656,-27.603054
1.047607,-0.178223,0.183838,-0.167939,24.137405,-27.877863
1.055420,-0.186279,0.196777,-0.106870,26.564886,-29.969465
1.055908,-0.188477,0.192139,-0.259542,28.900763,-33.374046
1.040039,-0.185303,0.211914,-0.305344,30.122137,-37.801525
1.024902,-0.178223,0.229004,-0.412214,29.572519,-42.137405
0.995605,-0.169922,0.248779,-1.038168,27.312977,-46.106869
0.978760,-0.162354,0.274170,-1.419847,23.221375,-49.709923
0.974854,-0.154785,0.279053,-1.145038,18.213741,-52.610687
0.968262,-0.148193,0.282471,-0.885496,13.129771,-54.320610
0.985352,-0.140137,0.270508,-1.312977,8.641221,-55.648853
1.007324,-0.141357,0.247803,-1.099237,6.061069,-56.534351
1.037109,-0.139648,0.221436,-0.793893,5.374046,-56.503819
1.065674,-0.137207,0.198730,-0.610687,6.977099,-56.213741
1.089111,-0.136963,0.179932,-0.290076,11.022901,-54.290077
1.096924,-0.131836,0.162354,-0.335878,16.167938,-51.816795
1.102051,-0.124023,0.156494,-0.763359,21.816793,-48.656490
1.076904,-0.123535,0.166748,-1.725191,26.778625,-45.312977
1.060303,-0.132812,0.173096,-2.427481,30.503817,-41.969467
1.042480,-0.134277,0.192383,-3.175573,32.030533,-39.969467
1.027832,-0.142334,0.215820,-3.694656,32.625954,-38.916031
1.020508,-0.144287,0.230225,-3.893130,31.954199,-39.465649
1.010986,-0.148682,0.241211,-3.465649,30.503817,-40.244274
1.005127,-0.154297,0.262451,-3.557252,28.488550,-42.351147
0.995605,-0.154053,0.250977,-3.343511,26.412214,-44.961834
1.000488,-0.156494,0.250244,-3.007634,24.671755,-47.679390
1.008789,-0.149902,0.239990,-2.977099,23.587786,-50.000000
1.013916,-0.159180,0.230225,-2.809160,23.251909,-51.480915
1.035889,-0.161865,0.224365,-2.488550,22.992367,-52.549618
1.043701,-0.153564,0.219727,-2.824427,23.389313,-53.343510
1.054688,-0.152344,0.216309,-2.748092,24.396946,-53.893131
1.055664,-0.148682,0.208252,-2.366412,25.175573,-53.893131
1.039551,-0.138428,0.208008,-2.122137,25.328245,-53.083969
1.024658,-0.134277,0.205566,-2.229008,24.900763,-51.633587
1.018799,-0.119873,0.218262,-2.641221,24.335878,-49.923664
1.031494,-0.116699,0.216553,-3.007634,24.045801,-49.053436
1.034912,-0.118164,0.221436,-3.297710,24.091602,-48.320610
1.040039,-0.123291,0.224609,-3.053435,24.793894,-48.076336
1.047852,-0.123779,0.229492,-2.320611,25.282442,-47.648853
1.032471,-0.120850,0.230713,-2.259542,25.755726,-46.641220
1.028809,-0.120361,0.240967,-2.076336,25.603054,-44.519085
1.023438,-0.114990,0.242920,-1.816794,25.038168,-42.427483
1.011230,-0.113525,0.246826,-1.847328,23.404581,-40.305344
1.013428,-0.113037,0.251709,-2.320611,21.648855,-39.206108
1.012939,-0.119141,0.243896,-2.458015,20.076336,-38.045803
1.006348,-0.130371,0.242432,-2.473282,18.213741,-38.152672
0.999512,-0.132568,0.233154,-2.015267,17.129770,-38.916031
1.008545,-0.140869,0.235352,-2.244275,16.320610,-40.244274
1.015137,-0.142334,0.213623,-1.984733,16.152672,-41.496181
1.025146,-0.141602,0.214600,-1.954198,17.435114,-43.236641
1.040771,-0.141357,0.214844,-2.015267,18.931297,-44.748093
1.038818,-0.144531,0.213867,-1.816794,20.091602,-46.137405
1.036377,-0.140869,0.217773,-2.091603,20.625954,-47.328243
1.041504,-0.132568,0.218994,-2.351145,21.068703,-48.000000
1.044189,-0.131592,0.223389,-2.412214,21.328245,-48.229008
1.043945,-0.126221,0.228271,-2.625954,21.572519,-48.290077
1.040527,-0.125488,0.224609,-2.961832,22.000000,-47.450382
1.037598,-0.126465,0.225830,-2.717557,22.595419,-46.335876
1.041504,-0.123779,0.225098,-2.809160,23.648855,-44.946564
1.040283,-0.123535,0.221436,-2.946565,24.671755,-43.374046
1.037598,-0.127930,0.221924,-3.282443,26.000000,-42.259541
1.040039,-0.135254,0.215332,-3.297710,27.877863,-42.244274
1.034912,-0.137939,0.212158,-3.236641,29.923664,-42.961834
1.032959,-0.145508,0.219238,-3.083969,31.816793,-43.465649
1.030762,-0.140869,0.224121,-3.312977,34.000000,-43.404579
1.025635,-0.146973,0.231689,-2.946565,34.671757,-44.000000
1.018066,-0.147461,0.244873,-2.183206,34.473282,-44.427483
1.004883,-0.143799,0.240234,-1.618321,32.916031,-45.893131
1.006836,-0.146729,0.240967,-1.343511,30.122137,-47.770992
0.999756,-0.140381,0.257080,-0.854962,27.450382,-50.152672
1.008301,-0.137207,0.251465,-0.961832,25.541985,-52.458015
1.036133,-0.134766,0.251465,-0.580153,25.160305,-53.847328
1.048828,-0.131104,0.252930,-0.854962,25.633587,-54.839695
1.062012,-0.121826,0.252686,-0.534351,26.885496,-54.885498
1.059814,-0.110840,0.258545,-1.038168,28.366413,-53.908398
1.053955,-0.100830,0.250244,-1.847328,29.221375,-52.809162
1.052246,-0.101074,0.256836,-2.671756,29.664122,-51.954197
1.033203,-0.110840,0.250732,-3.618321,30.198473,-51.664124
0.998047,-0.121582,0.242188,-4.000000,32.427483,-52.122139
0.978516,-0.133545,0.225830,-3.893130,37.114502,-54.396946
0.986816,-0.143555,0.204590,-2.870229,44.320610,-56.610687
1.029541,-0.141113,0.175781,-1.557252,53.282444,-59.114502
1.112549,-0.128906,0.141602,-0.366412,61.312977,-61.160305
1.174805,-0.109863,0.129150,1.923664,65.465652,-60.412212
1.179443,-0.071289,0.169678,4.549618,63.190838,-55.236641
1.125000,-0.008057,0.214111,5.603054,54.259541,-43.419846
1.015381,0.032959,0.270996,5.297710,41.282444,-24.809160
0.917480,0.057373,0.297852,3.664122,28.625954,-5.893130
0.846436,0.052002,0.321045,1.007634,20.152672,5.404580
0.741211,0.052490,0.337646,-3.282443,15.007633,10.916031
0.593018,0.040527,0.360596,-6.687023,9.908397,16.167938
0.528320,0.008789,0.383301,-7.541985,6.000000,22.839695
0.574707,-0.011719,0.408447,-6.488550,2.106870,28.381680
0.726074,-0.037109,0.455811,-3.496183,-5.129771,26.351145
0.968994,-0.079590,0.468018,-0.106870,-11.480916,19.267176
1.272949,-0.156738,0.439209,2.396947,-11.801527,11.786260
1.477783,-0.248047,0.371094,3.541985,-4.992366,8.183207
1.458496,-0.335693,0.248535,5.786260,4.412214,10.748092
1.329834,-0.360840,0.155029,5.877862,10.916031,17.083969
1.159180,-0.334473,0.112061,1.740458,15.801527,23.435114
1.050781,-0.329834,0.100586,-4.442748,19.083969,31.022902
1.044678,-0.348145,0.131836,-8.106871,26.610687,29.465649
1.066895,-0.416504,0.176270,-4.824428,35.282444,25.160305
1.128662,-0.443115,0.226807,0.564885,42.320610,15.755725
1.174316,-0.437988,0.293457,5.312977,46.305344,-0.412214
1.191650,-0.437744,0.351562,9.007633,45.709923,-20.167938
1.180420,-0.397705,0.406982,8.961832,41.511452,-38.946564
1.100342,-0.348633,0.454834,7.160306,33.068703,-55.923664
1.018555,-0.316895,0.471680,5.648855,22.503817,-68.671753
0.927734,-0.280029,0.463135,5.236641,11.557252,-78.213737
0.868896,-0.256592,0.453125,5.129771,1.007634,-83.893127
0.822021,-0.249268,0.434082,6.702290,-7.816794,-89.389313
0.815674,-0.231445,0.403320,7.038168,-12.656488,-93.679390
0.861084,-0.225586,0.394775,6.152672,-13.923664,-98.458015
0.911377,-0.235352,0.353027,5.160306,-13.801527,-104.152672
0.956299,-0.244141,0.304199,4.213740,-14.473283,-108.931297
1.006348,-0.259766,0.254395,3.251908,-16.992367,-109.389313
1.043701,-0.254150,0.187256,1.053435,-19.816793,-103.938934
1.064941,-0.253662,0.124756,1.099237,-19.083969,-97.755722
1.071045,-0.208496,0.056396,0.290076,-13.328244,-91.236641
1.007324,-0.154053,0.020508,-3.450382,-5.160306,-83.725189
0.958496,-0.115723,0.003662,-8.458015,4.183206,-75.587784
0.937012,-0.064453,0.022949,-13.587787,14.259542,-70.412216
0.968750,-0.091797,0.039551,-15.923664,25.908398,-67.236641
1.014648,-0.093994,0.076416,-13.862596,37.297710,-61.786259
1.036865,-0.092041,0.134277,-9.511451,45.068703,-51.694656
1.077637,-0.086426,0.201172,-3.557252,50.900764,-39.267174
1.033447,-0.051270,0.274414,0.748092,51.709923,-25.343512
0.952148,-0.023926,0.334717,2.442748,47.022900,-10.671756
0.879150,-0.013916,0.368896,1.480916,39.022900,2.763359
0.855713,-0.020264,0.390137,0.290076,29.435114,9.984733
0.875977,-0.049561,0.378174,-0.610687,18.961832,9.770992
0.963867,-0.098633,0.356934,-1.603053,9.145039,6.015267
1.084717,-0.171387,0.298584,-1.893130,5.541985,3.343511
1.186279,-0.249023,0.224609,0.030534,8.061069,3.267176
1.229248,-0.295898,0.167236,1.633588,14.198473,5.022901
1.209961,-0.336182,0.114502,2.687023,22.183207,8.076336
1.180420,-0.358643,0.106934,6.000000,30.900763,11.557252
1.140137,-0.315430,0.075439,0.870229,40.580154,14.152672
1.079102,-0.347900,0.116943,-0.916031,47.755726,11.893129
1.051025,-0.350098,0.178467,2.274809,55.419846,6.229008
1.004883,-0.320312,0.213379,3.511450,60.305344,-4.244275
0.975586,-0.307617,0.280029,2.885496,61.129772,-16.564886
0.966309,-0.301758,0.329590,2.931298,60.625954,-28.946566
0.950928,-0.290039,0.380859,2.167939,59.175571,-41.755726
0.932373,-0.268555,0.401123,1.480916,55.465649,-52.549618
0.920654,-0.263184,0.424316,-0.076336,48.687023,-62.229008
