xacc,yacc,zacc,xgyro,ygyro,zgyro
0.590332,0.448975,-0.135986,-57.297710,-31.007633,21.190840
0.637451,0.271484,-0.202881,-24.625954,-16.519083,-29.328245
0.620850,0.337646,-0.308350,14.198473,-4.595420,-101.709923
0.509521,0.601562,-0.284668,42.900764,-1.770992,-157.038162
0.364746,1.067383,-0.194336,49.908398,-9.770992,-162.809158
0.202637,1.350098,-0.046143,37.801525,-19.465649,-130.366409
0.116699,1.310059,-0.022217,21.969465,-17.801527,-94.977097
0.088379,1.251709,-0.055176,7.419847,-8.183207,-65.877861
0.055176,1.184326,-0.107178,-3.587786,-0.396947,-46.793892
0.082520,1.111328,-0.111328,-13.694656,6.458015,-35.526718
0.131592,1.075195,-0.096680,-25.648855,13.541985,-29.557251
0.184082,1.072754,-0.106445,-39.694656,22.580153,-26.763359
0.239746,1.030762,-0.107666,-51.312977,33.480915,-24.076336
0.227051,1.022705,-0.061279,-60.748093,43.358780,-21.419847
0.226807,1.039795,-0.008057,-68.809158,49.725189,-20.305344
0.216797,1.018066,0.034424,-74.580154,52.656490,-22.748091
0.213867,0.942383,0.074463,-72.412216,55.358780,-28.335878
0.160645,0.914307,0.124268,-63.297710,52.961834,-35.496181
0.158691,0.899902,0.159180,-49.343510,48.412212,-46.137405
0.160645,0.899902,0.180908,-31.312977,43.465649,-56.625954
0.178955,0.979736,0.213379,-16.045801,39.511452,-66.946564
0.178955,1.045410,0.226074,-4.854962,35.938931,-77.267174
0.180420,1.091064,0.243896,5.389313,33.328243,-84.687019
0.168945,1.103027,0.278076,15.557252,31.465649,-89.282440
0.136963,1.116943,0.326660,23.022902,30.793894,-91.954201
0.101562,1.125488,0.333496,28.396946,29.297710,-91.648857
0.078369,1.116699,0.290771,32.992367,27.221375,-88.931297
0.039307,1.097900,0.249756,36.152672,23.572519,-84.625954
0.020020,1.076172,0.204102,37.923664,19.343512,-80.366409
0.015625,1.063965,0.159668,38.259541,15.740458,-76.824425
0.025391,1.048340,0.100098,38.000000,13.496183,-70.900764
0.041748,1.012451,0.034912,37.633587,13.587787,-64.488548
0.048584,1.016602,-0.002686,34.992367,13.648855,-57.343510
0.061768,0.991699,-0.057373,31.160305,13.312977,-49.786259
0.078857,0.952148,-0.079346,26.519083,13.160305,-43.221375
0.101562,0.916748,-0.135742,23.312977,15.526717,-38.122139
0.149902,0.837402,-0.191406,23.847328,21.389313,-37.236641
0.225342,0.790283,-0.257324,27.068703,31.923664,-45.007633
0.223145,0.767822,-0.264648,31.725191,38.213741,-54.946564
0.217041,0.772461,-0.267822,37.770992,44.763359,-68.610687
0.166748,0.827881,-0.191162,38.412212,48.671757,-80.503815
0.108398,0.861328,-0.147217,36.137405,48.396946,-84.396950
0.022949,0.905273,-0.062744,30.961832,41.862595,-80.854965
-0.019043,0.853271,-0.069824,25.267176,31.801527,-76.992363
0.018799,0.856445,-0.154297,21.038168,31.267176,-74.916031
-0.012695,0.920654,-0.204590,13.190840,30.458015,-70.290077
-0.053223,0.964600,-0.239258,2.106870,28.015266,-64.488548
-0.056396,0.988525,-0.260986,-11.343512,25.587786,-56.656490
-0.045166,1.010254,-0.249512,-24.916031,24.244274,-48.519085
-0.026367,1.003906,-0.243652,-36.412212,23.221375,-40.977100
-0.043213,0.955811,-0.178223,-42.870228,22.900763,-35.984734
-0.051514,0.977051,-0.108154,-45.480915,21.068703,-30.396946
-0.012695,1.025146,-0.088867,-45.282444,19.236641,-24.946566
0.034668,1.029785,-0.092041,-44.580154,19.404581,-23.984734
0.080078,0.979004,-0.081543,-37.419846,21.496183,-23.755726
0.081787,0.986572,-0.065430,-26.061069,23.496183,-27.374046
0.075439,0.980713,-0.014648,-16.427481,24.167938,-33.007633
0.069336,0.974121,-0.004883,-6.167939,21.038168,-36.106869
0.072510,1.029541,0.009033,0.977099,20.656488,-39.450382
0.077148,1.057617,0.037354,4.809160,22.351145,-41.572517
0.049561,1.048584,0.067139,8.335877,23.450382,-40.702290
0.039795,1.010986,0.072021,12.763359,24.488550,-36.885498
0.026123,0.964111,0.077881,17.053434,24.946566,-31.404581
0.020264,0.917725,0.094727,21.435114,25.099237,-25.984734
0.020996,0.916748,0.097656,24.015266,24.229008,-20.442749
0.032959,0.957275,0.087891,24.793894,23.648855,-15.267176
0.048096,0.982422,0.060059,23.450382,23.877863,-10.793893
0.058105,0.960205,0.032959,21.877863,23.755726,-7.770992
0.059814,0.901855,0.010498,21.496183,22.412214,-5.374046
0.061279,0.840088,-0.008057,23.312977,20.473282,-1.893130
0.071289,0.838379,-0.021729,25.816793,19.419847,2.106870
0.086670,0.871826,-0.047363,26.122137,19.389313,6.122138
0.130859,0.940674,-0.080322,23.770992,21.435114,8.396947
0.199707,0.917725,-0.125244,21.053434,26.732824,5.282443
0.247559,0.884521,-0.146973,20.458015,31.603054,-4.488550
0.279541,0.856201,-0.166260,22.534351,35.572517,-19.938931
0.293701,0.895264,-0.207031,23.022902,39.312977,-37.725189
0.227051,1.020020,-0.199951,17.236641,39.389313,-47.099236
0.191650,1.071289,-0.197998,7.267176,38.167938,-46.763359
0.166504,1.096436,-0.168213,-4.519084,33.709923,-40.396946
0.190430,1.099365,-0.163330,-14.839695,31.816793,-34.381680
0.229004,1.075684,-0.155029,-22.381680,30.625954,-33.786259
0.265381,0.989258,-0.133057,-22.854961,30.534351,-36.473282
0.269043,0.952637,-0.104736,-18.702290,30.916031,-41.038166
0.273438,0.933350,-0.069336,-11.923664,31.511450,-45.786259
0.278320,0.925049,-0.045654,-3.816794,33.328243,-50.687023
0.214844,0.958496,-0.024658,1.175573,30.045801,-50.320610
0.191650,0.994873,-0.044189,-0.076336,26.717558,-46.396946
0.192383,0.969727,-0.061523,-3.709924,24.351145,-40.732826
0.184814,0.894043,-0.064209,-5.007634,22.931297,-33.022900
0.181152,0.814697,-0.029541,-2.992366,21.236641,-26.442749
0.191406,0.792236,-0.018311,2.992366,19.862595,-26.076336
0.223389,0.854980,-0.001709,9.114504,19.251909,-32.030533
0.249512,0.896240,0.010498,14.442748,19.465649,-41.374046
0.244873,0.887939,0.002930,20.366413,20.244274,-50.244274
0.225342,0.879883,0.015381,25.465649,20.870230,-58.122139
0.206543,0.898193,-0.000488,27.969465,21.633587,-63.206108
0.183350,0.946777,-0.009766,26.748091,22.473282,-65.374046
0.167725,1.002441,-0.027588,22.473282,22.763359,-63.938931
0.150391,1.033447,-0.045898,16.549618,22.396946,-59.450382
0.139648,1.042236,-0.075439,10.396947,21.847328,-51.694656
0.129150,1.053223,-0.095947,4.137404,20.900763,-43.465649
0.126221,1.064941,-0.107666,-1.541985,19.557251,-36.076336
0.139893,1.061768,-0.125977,-6.274809,18.671755,-29.343512
0.131836,1.009277,-0.142334,-7.816794,17.206106,-23.984734
0.144043,0.951660,-0.138184,-6.610687,16.366413,-20.366413
0.149170,0.934082,-0.148682,-3.893130,14.885496,-19.053434
0.154053,0.966797,-0.179443,-1.404580,13.251908,-21.343512
0.176758,1.005127,-0.181396,0.671756,11.160305,-26.931297
0.200928,0.988037,-0.199463,0.793893,12.564885,-36.305344
0.177002,0.940674,-0.193115,3.862595,12.229008,-41.954197
0.160400,0.921143,-0.186035,5.954198,8.458015,-46.870228
0.168457,0.925049,-0.173096,6.458015,6.580153,-53.404579
0.184570,0.959473,-0.181152,4.305344,7.877862,-61.160305
0.199463,0.975342,-0.180908,-0.030534,13.633588,-68.595421
0.144531,1.017334,-0.187012,-3.297710,14.442748,-67.358780
0.140625,1.060059,-0.205322,-8.595420,14.641221,-65.801529
0.138916,1.055176,-0.187744,-14.335877,16.061069,-62.427483
0.135254,1.035400,-0.179199,-18.458015,18.824427,-55.847328
0.132568,0.987061,-0.165039,-20.137405,22.305344,-47.541985
0.124023,0.947754,-0.131592,-19.603054,25.832062,-40.045803
0.127197,0.913086,-0.114014,-18.564886,28.320610,-34.763359
0.115479,0.893311,-0.079346,-16.595419,29.206106,-32.000000
0.111328,0.914307,-0.036377,-15.343512,29.297710,-34.030533
0.130859,0.913818,-0.029297,-11.862596,30.702290,-35.206108
0.136963,0.941162,-0.025146,-7.083970,29.954199,-36.625954
0.155762,0.924805,-0.035645,-1.160305,28.091602,-37.679390
0.167480,0.901611,-0.027588,4.916030,25.893129,-40.366413
0.192383,0.872803,-0.020996,8.641221,26.305344,-44.687023
0.177246,0.869141,-0.017334,11.755725,28.183207,-49.480915
0.171143,0.884766,-0.020264,13.496183,28.961832,-54.366413
0.148682,0.930908,-0.034180,13.755725,29.099237,-57.725189
0.137939,0.977295,-0.050293,12.122137,29.083969,-58.381680
0.125732,1.023682,-0.066162,8.702291,28.763359,-55.160305
0.119873,1.040039,-0.087891,4.687023,28.290077,-48.625954
0.118408,1.048340,-0.114990,-0.687023,27.694656,-39.969467
0.135986,1.032715,-0.124023,-6.396946,27.511450,-29.603054
0.136475,1.000244,-0.122070,-10.946565,28.381680,-19.526718
0.141357,0.967041,-0.122070,-13.862596,28.137405,-11.328244
0.145264,0.925537,-0.101807,-15.862596,27.129770,-6.458015
0.159424,0.946045,-0.101807,-16.015266,24.839695,-4.641222
0.195312,0.956299,-0.100586,-15.312977,24.320610,-7.435114
0.224854,0.952881,-0.117432,-13.083969,23.893129,-10.488549
0.229736,0.945068,-0.108643,-9.954199,22.549618,-16.015266
0.251709,0.913086,-0.113770,-6.885496,20.610687,-22.931297
0.271484,0.891113,-0.113770,-3.923664,20.732824,-31.816793
0.282471,0.904541,-0.118652,-1.664122,21.450382,-41.404579
0.275391,0.916260,-0.129639,0.732824,22.167938,-51.206108
0.269775,0.939209,-0.139648,2.305344,22.870230,-58.595421
0.253906,0.962646,-0.133789,2.931298,23.526718,-63.175571
0.242432,0.978516,-0.136719,2.015267,24.259542,-63.664124
0.216553,0.997559,-0.131836,-0.351145,24.106871,-61.038166
0.202637,0.995117,-0.135010,-3.847328,24.580153,-56.351147
0.190674,0.974854,-0.127686,-8.167939,24.396946,-50.091602
0.177246,0.948975,-0.114990,-11.755725,24.885496,-43.297710
0.175293,0.933350,-0.091553,-14.076336,24.549618,-37.282444
0.180664,0.916748,-0.067627,-14.580153,24.244274,-32.900764
0.179443,0.892578,-0.055176,-12.748092,22.916031,-30.580153
0.192627,0.902100,-0.035889,-9.954199,22.030535,-30.671755
0.225830,0.942627,-0.041260,-7.312977,21.297710,-33.374046
0.230469,0.953125,-0.046143,-5.435114,21.312977,-39.053436
0.232910,0.926758,-0.045410,-1.709924,21.068703,-43.435116
0.219238,0.891846,-0.040039,2.106870,20.519083,-46.977100
0.225830,0.893555,-0.065674,5.572519,19.801527,-51.221375
0.213623,0.902832,-0.067139,7.404580,20.030535,-55.251907
0.209473,0.942139,-0.080566,7.725191,20.045801,-58.564884
0.201416,0.965576,-0.087158,6.167939,20.061069,-59.832062
0.183594,0.978516,-0.097900,4.229008,19.618320,-58.641220
0.169189,0.980957,-0.107910,2.122137,18.961832,-55.145039
0.159912,0.989014,-0.101074,-0.442748,18.885496,-50.839695
0.146973,0.992676,-0.109619,-4.000000,18.625954,-46.106869
0.143066,0.981934,-0.099854,-7.847328,18.595419,-41.694656
0.161621,0.967529,-0.089111,-11.557252,19.221375,-38.152672
0.154785,0.951904,-0.066406,-14.137404,19.572519,-36.106869
0.161621,0.959717,-0.063965,-13.633588,19.923664,-34.824429
0.171631,0.939209,-0.062500,-11.908397,19.954199,-35.343510
0.175537,0.914307,-0.040283,-9.374045,20.290077,-37.450382
0.189941,0.914062,-0.052246,-5.083970,19.633587,-38.167938
0.206055,0.947754,-0.047852,-1.083969,18.793894,-39.969467
0.224121,0.968994,-0.066162,1.114504,19.297710,-43.786259
0.217285,0.948242,-0.072998,3.022901,20.000000,-48.916031
0.203857,0.933594,-0.072998,5.068702,19.969465,-53.984734
0.188477,0.942383,-0.089600,6.335878,20.000000,-58.167938
0.188721,0.960449,-0.100342,6.610687,19.755726,-60.381680
0.179932,0.977783,-0.098389,6.167939,19.954199,-58.931297
0.167480,0.973877,-0.110840,4.534351,20.320610,-54.717556
0.155518,0.989014,-0.108887,2.137405,20.763359,-49.312977
0.151611,1.003662,-0.115234,-1.770992,21.267176,-43.450382
0.150146,0.994385,-0.123047,-5.450382,21.908398,-38.000000
0.164551,0.981689,-0.113525,-9.083969,22.656488,-33.328243
0.169434,0.954346,-0.099121,-11.801527,23.786259,-30.030535
0.176758,0.954102,-0.094971,-13.267176,24.793894,-28.366413
0.187012,0.933350,-0.076660,-12.687023,24.564886,-28.091602
0.195312,0.922607,-0.055420,-10.412213,24.366413,-28.839695
0.208008,0.902588,-0.053223,-7.099236,24.076336,-30.106871
0.215576,0.899658,-0.040039,-3.083969,24.122137,-32.229008
0.233154,0.910400,-0.031982,0.473282,24.229008,-35.129772
0.237305,0.924561,-0.025146,3.740458,24.427481,-39.374046
0.248779,0.931885,-0.046143,6.320611,24.427481,-44.656490
0.235596,0.920654,-0.063477,8.748092,24.061069,-50.839695
0.222412,0.915283,-0.082764,10.503817,23.221375,-55.572517
0.214355,0.933105,-0.091309,11.038168,22.396946,-58.549618
0.207520,0.963135,-0.108398,9.557252,21.832062,-59.816795
0.194824,0.986328,-0.106201,7.038168,20.839695,-59.190838
0.178955,0.989502,-0.124512,3.816794,20.381680,-56.106869
0.171387,0.986084,-0.123779,0.809160,20.213741,-51.557251
0.171387,0.989990,-0.129639,-3.038168,19.908398,-46.381680
0.168701,0.989990,-0.118652,-6.916030,20.015266,-41.694656
0.164062,0.962158,-0.110840,-10.076336,19.938931,-37.496181
0.173096,0.949219,-0.100342,-12.137404,20.473282,-34.702290
0.177979,0.954102,-0.098389,-12.992367,20.137405,-33.862595
0.179932,0.938965,-0.073975,-12.290076,20.030535,-34.366413
0.191895,0.917236,-0.063965,-9.984733,20.183207,-35.938931
0.205078,0.892578,-0.050537,-6.625954,21.083969,-36.809162
0.216797,0.872314,-0.028076,-2.809160,21.740458,-38.381680
0.218750,0.889893,-0.025635,0.839695,22.809160,-41.618320
0.219482,0.928711,-0.033691,3.648855,22.854961,-47.404579
0.215088,0.965576,-0.042969,6.259542,22.290077,-54.946564
0.210693,0.969971,-0.059570,8.748092,21.816793,-61.160305
0.191650,0.962402,-0.070312,11.480916,21.694656,-64.427483
0.175293,0.967285,-0.098389,12.916031,21.511450,-64.992363
0.158936,0.987549,-0.114014,12.503817,21.358778,-62.809162
0.144531,1.007324,-0.127197,9.893129,20.854961,-58.732826
0.148926,1.012207,-0.140625,5.557252,20.916031,-52.824429
0.145996,1.021973,-0.146484,0.931298,20.473282,-46.244274
0.150391,1.025391,-0.149414,-3.832061,20.778625,-39.557251
0.159424,1.021240,-0.145020,-8.045801,20.900763,-33.847328
0.165039,0.986572,-0.127197,-11.053435,21.389313,-29.664122
0.168701,0.967041,-0.116455,-12.702291,21.862595,-27.572519
0.175293,0.948730,-0.099854,-12.839695,22.152672,-26.778625
0.194824,0.935303,-0.080078,-12.091603,22.732824,-27.496183
0.197754,0.923828,-0.077148,-10.152672,23.221375,-28.610687
0.211670,0.910400,-0.066650,-7.954198,23.938931,-30.748091
0.219238,0.910156,-0.042236,-5.389313,24.305344,-34.137405
0.217529,0.900879,-0.039551,-2.473282,24.824427,-39.007633
0.212646,0.886230,-0.024658,1.053435,24.534351,-44.687023
0.206543,0.874268,-0.029053,5.648855,23.526718,-50.396946
0.194580,0.890137,-0.021240,9.679389,22.809160,-55.541985
0.197021,0.935791,-0.044189,11.618320,22.381680,-60.015266
0.193848,0.966553,-0.058105,12.045801,22.366413,-63.007633
0.179688,0.978027,-0.094482,10.916031,22.244274,-62.259541
0.173340,0.981445,-0.103271,8.320611,22.259542,-59.175571
0.159180,0.982178,-0.109619,4.885496,21.908398,-53.587788
0.155518,0.979248,-0.119141,1.358779,21.694656,-46.870228
0.157471,0.982666,-0.122070,-2.335878,21.053434,-39.694656
0.158203,0.986816,-0.121582,-5.664122,20.320610,-33.816795
0.173828,0.984375,-0.118896,-8.274809,19.786259,-29.328245
0.188477,0.972900,-0.118652,-9.938931,19.664122,-26.931297
0.206299,0.959473,-0.124023,-10.839695,19.786259,-26.045801
0.212646,0.958008,-0.117188,-11.404580,20.015266,-26.870230
0.226807,0.946533,-0.114502,-11.389313,20.946566,-28.809160
0.228760,0.952637,-0.109375,-10.122137,21.389313,-31.511450
0.227539,0.957031,-0.103760,-8.793893,21.450382,-34.946564
0.242432,0.965576,-0.093018,-7.404580,21.740458,-38.641220
0.240723,0.969727,-0.098877,-6.549618,22.000000,-42.519085
0.234375,0.951660,-0.080078,-5.297710,22.564886,-45.740459
