time,xacc,yacc,zacc,xgyro,ygyro,zgyro
569910067,1.1264648438,0.1181640625,-0.2756347656,-1.4809160233, -0.1374045759, -1.6183205843
569920067,1.1235351562,0.1108398438,-0.2785644531,-1.8015266657, -0.1526717544, -1.8015266657
569930067,1.1298828125,0.1210937500,-0.2687988281,-1.8778625727, 0.1221374050, -2.3816792965
569940067,1.1306152344,0.1154785156,-0.2773437500,-2.1221373081, 0.5648854971, -3.0076336861
569950067,1.1308593750,0.1210937500,-0.2756347656,-2.0610687733, 0.9923664331, -3.1450381279
569960067,1.1301269531,0.1242675781,-0.2795410156,-1.8778625727, 2.0000000000, -2.3358778954
569970067,1.1257324219,0.1223144531,-0.2861328125,-1.6183205843, 2.7938930988, -1.3740458488
569980067,1.1118164062,0.1171875000,-0.2932128906,-1.4961831570, 3.3129770756, -1.2366411686
569990067,1.1108398438,0.1157226562,-0.2851562500,-1.4351145029, 4.2595419884, -1.1297709942
570000067,1.1069335938,0.1079101562,-0.2851562500,-1.2366411686, 4.0152673721, -1.0687023401
570010067,1.1079101562,0.1157226562,-0.2883300781,-1.4503816366, 3.3740458488, -0.7786259651
570020067,1.1181640625,0.1169433594,-0.2849121094,-1.4809160233, 3.0992367268, -0.4885496199
570030067,1.1274414062,0.1147460938,-0.2724609375,-1.7251908779, 2.6412212849, -0.0152671756
570040067,1.1267089844,0.1164550781,-0.2656250000,-1.8778625727, 2.0916030407, -0.1679389328
570050067,1.1306152344,0.1154785156,-0.2553710938,-1.8015266657, 1.1450381279, -0.9923664331
570060067,1.1347656250,0.1145019531,-0.2556152344,-1.6030534506, 0.5190839767, -1.8473281860
570070067,1.1420898438,0.1193847656,-0.2644042969,-1.4045801163, 0.8091602921, -2.7175571918
570080067,1.1323242188,0.1166992188,-0.2592773438,-1.3587785959, 1.3740458488, -2.7022900581
570090067,1.1333007812,0.1149902344,-0.2692871094,-0.9770992398, 1.4809160233, -2.5343511105
570100067,1.1337890625,0.1201171875,-0.2790527344,-1.1908396482, 1.6030534506, -2.3053436279
570110067,1.1347656250,0.1184082031,-0.2785644531,-1.0229008198, 1.4045801163, -1.8778625727
570120067,1.1330566406,0.1230468750,-0.2758789062,-1.1297709942, 1.2519084215, -1.7251908779
570130067,1.1198730469,0.1142578125,-0.2753906250,-1.6488549709, 0.9465649128, -1.7709923983
570140067,1.1271972656,0.1164550781,-0.2846679688,-1.9541984797, 0.8549618125, -1.8473281860
570150067,1.1228027344,0.1154785156,-0.2841796875,-2.0000000000, 0.7480915785, -2.0305342674
570160067,1.1176757812,0.1152343750,-0.2751464844,-1.8015266657, 0.8091602921, -2.0000000000
570170067,1.1230468750,0.1079101562,-0.2636718750,-2.1526718140, 1.0076335669, -2.0458016396
570180067,1.1276855469,0.1157226562,-0.2736816406,-2.0305342674, 0.7633587718, -1.8473281860
570190067,1.1286621094,0.1152343750,-0.2758789062,-1.8167939186, 1.1450381279, -1.8320610523
570200067,1.1293945312,0.1166992188,-0.2707519531,-1.4961831570, 1.1603053808, -1.6335878372
570210067,1.1223144531,0.1208496094,-0.2766113281,-1.4503816366, 1.2519084215, -1.4809160233
570220067,1.1245117188,0.1159667969,-0.2827148438,-1.2671755552, 1.1297709942, -1.8320610523
570230067,1.1218261719,0.1215820312,-0.2858886719,-1.4198473692, 1.4045801163, -1.5877863169
570240067,1.1308593750,0.1191406250,-0.2861328125,-1.8167939186, 1.0381679535, -1.2824426889
570250067,1.1301269531,0.1203613281,-0.2763671875,-1.6641221046, 0.7022900581, -0.7328244448
570260067,1.1254882812,0.1169433594,-0.2673339844,-1.5419846773, 0.2900763452, -0.7633587718
570270067,1.1354980469,0.1220703125,-0.2792968750,-1.6641221046, 0.0610687025, -0.7633587718
570280067,1.1301269531,0.1179199219,-0.2756347656,-1.6793893576, -0.5190839767, -0.7175572515
