xacc,yacc,zacc,xgyro,ygyro,zgyro
0.97,0.15,0.45,-3.27,0.05,-1.76
0.97,0.16,0.45,-3.21,-0.05,-1.72
0.98,0.16,0.46,-3.18,-0.02,-1.68
0.97,0.16,0.46,-3.32,-0.02,-1.38
0.97,0.16,0.46,-3.49,-0.21,-1.28
0.97,0.16,0.46,-3.56,-0.40,-1.40
0.97,0.16,0.45,-3.53,-0.44,-1.17
0.97,0.16,0.45,-3.70,-0.67,-0.90
0.97,0.17,0.46,-3.79,-0.91,-0.50
0.97,0.16,0.46,-3.69,-1.51,-0.44
0.98,0.17,0.45,-3.77,-2.18,-0.27
0.97,0.17,0.45,-3.95,-2.74,0.27
0.97,0.17,0.46,-3.98,-3.30,1.16
0.97,0.16,0.45,-3.96,-3.77,1.85
0.98,0.17,0.45,-4.09,-4.37,2.55
0.99,0.16,0.45,-4.20,-4.76,3.00
0.98,0.16,0.45,-4.08,-5.15,2.99
0.97,0.16,0.44,-3.90,-5.42,3.18
0.97,0.16,0.43,-3.63,-5.53,2.96
0.95,0.15,0.43,-3.60,-5.58,2.49
0.96,0.15,0.44,-3.66,-5.26,1.82
0.98,0.15,0.42,-3.53,-4.62,1.53
0.99,0.15,0.42,-3.46,-3.56,1.62
1.00,0.15,0.42,-3.67,-2.49,1.15
0.99,0.15,0.43,-3.73,-1.24,0.57
0.99,0.15,0.44,-3.82,-0.50,-0.27
0.99,0.15,0.44,-3.66,0.39,-0.49
0.99,0.15,0.44,-3.74,0.95,-0.38
0.98,0.15,0.45,-3.73,1.06,-0.39
0.99,0.15,0.45,-3.61,1.11,-0.10
0.98,0.15,0.45,-3.44,0.82,0.02
0.98,0.15,0.46,-3.56,0.49,-0.23
0.97,0.15,0.45,-3.49,0.25,0.09
0.97,0.15,0.45,-3.50,-0.26,0.33
0.95,0.15,0.46,-3.53,-0.61,0.26
0.96,0.15,0.45,-3.64,-0.52,0.24
0.97,0.15,0.44,-3.70,-0.60,0.27
0.97,0.14,0.44,-3.79,-0.57,0.01
0.97,0.15,0.45,-3.79,-0.40,-0.18
0.98,0.15,0.45,-4.10,-0.31,-0.32
0.97,0.15,0.45,-3.97,-0.34,-0.11
0.97,0.16,0.45,-4.09,-0.47,0.00
0.97,0.15,0.45,-4.13,-0.66,0.35
0.97,0.16,0.44,-3.95,-0.88,0.73
0.98,0.15,0.44,-4.11,-1.02,0.89
0.97,0.15,0.45,-4.03,-1.00,0.49
0.98,0.15,0.45,-3.98,-1.05,0.15
0.98,0.16,0.45,-4.03,-0.60,0.35
0.99,0.15,0.44,-3.74,-0.24,0.43
0.98,0.15,0.45,-3.73,-0.04,0.10
0.98,0.15,0.44,-3.80,0.15,-0.58
0.98,0.15,0.45,-3.77,0.35,-0.91
0.98,0.16,0.44,-3.91,0.69,-0.96
0.97,0.16,0.45,-3.79,0.76,-0.76
0.97,0.16,0.45,-3.83,0.19,-0.53
0.96,0.16,0.45,-3.84,-0.44,-0.35
0.97,0.15,0.45,-3.80,-0.92,-0.15
0.96,0.16,0.44,-3.85,-1.78,0.41
0.96,0.16,0.45,-3.91,-2.23,0.91
0.97,0.16,0.44,-3.81,-2.72,1.30
0.97,0.16,0.45,-3.79,-3.02,1.80
0.98,0.16,0.45,-3.70,-3.11,1.77
0.98,0.15,0.45,-3.76,-2.95,1.48
0.97,0.15,0.44,-3.84,-2.53,1.13
0.98,0.15,0.44,-3.69,-2.25,0.82
0.98,0.15,0.45,-3.63,-1.53,0.42
0.98,0.15,0.45,-3.85,-1.00,-0.02
0.98,0.15,0.44,-3.76,-0.37,-0.34
0.97,0.15,0.45,-3.83,0.23,-0.40
0.97,0.16,0.44,-3.82,0.66,-0.92
0.97,0.15,0.45,-3.96,0.95,-1.21
0.96,0.16,0.44,-3.82,1.47,-1.24
0.97,0.15,0.44,-3.87,1.59,-1.06
0.96,0.16,0.44,-3.95,1.88,-1.30
0.97,0.16,0.44,-3.96,2.05,-1.42
0.96,0.15,0.44,-3.95,2.18,-1.84
0.97,0.15,0.45,-4.08,2.58,-1.71
0.97,0.15,0.44,-3.94,3.00,-1.70
0.96,0.15,0.46,-4.02,3.15,-2.07
0.96,0.16,0.45,-4.17,3.33,-1.79
0.96,0.15,0.45,-4.11,3.35,-1.72
0.96,0.16,0.45,-4.11,3.76,-1.65
0.97,0.16,0.45,-4.04,3.84,-1.82
0.97,0.16,0.45,-3.95,3.94,-1.85
0.98,0.16,0.45,-3.97,4.17,-1.89
0.98,0.16,0.45,-3.79,4.02,-2.14
0.98,0.16,0.46,-3.90,3.91,-2.29
0.97,0.16,0.45,-3.79,3.42,-2.34
0.97,0.16,0.45,-3.84,3.12,-2.24
0.97,0.17,0.45,-3.90,2.64,-1.76
0.96,0.16,0.45,-3.87,2.19,-1.06
0.97,0.16,0.45,-3.72,1.75,-0.22
0.97,0.16,0.46,-3.92,1.17,-0.34
0.97,0.16,0.44,-4.01,0.41,-0.72
0.96,0.16,0.44,-3.78,-0.08,-0.05
0.97,0.16,0.45,-3.47,-0.12,1.11
0.96,0.16,0.45,-3.69,-0.18,1.07
0.96,0.15,0.45,-3.83,-0.12,0.37
0.97,0.16,0.44,-3.76,0.32,0.06
0.97,0.15,0.45,-3.89,1.11,0.20
0.97,0.15,0.46,-4.09,0.61,-0.66
0.97,0.15,0.45,-4.08,0.59,-0.83
0.96,0.16,0.46,-4.36,0.66,-0.77
0.97,0.16,0.46,-4.11,0.81,-0.72
0.97,0.16,0.46,-4.26,0.95,-0.90
0.97,0.16,0.45,-4.36,1.09,-0.85
0.97,0.15,0.46,-4.37,1.11,-1.02
0.97,0.16,0.46,-4.34,1.47,-1.11
0.96,0.15,0.46,-4.32,1.48,-1.17
0.97,0.16,0.45,-4.50,1.60,-1.34
0.97,0.15,0.46,-4.44,1.66,-1.46
0.96,0.15,0.46,-4.19,1.71,-1.71
0.96,0.15,0.47,-4.37,1.67,-2.26
0.96,0.15,0.47,-4.13,1.51,-2.68
0.95,0.16,0.47,-4.23,1.60,-2.85
0.96,0.16,0.46,-4.16,1.59,-3.19
0.97,0.15,0.46,-4.27,1.35,-3.11
0.96,0.15,0.47,-4.10,1.39,-3.26
0.96,0.15,0.46,-4.29,1.08,-3.00
0.97,0.16,0.46,-4.26,0.77,-2.78
0.97,0.16,0.46,-4.24,0.39,-2.37
0.97,0.15,0.46,-4.11,-0.40,-1.99
0.97,0.16,0.46,-4.19,-0.73,-1.60
0.99,0.15,0.45,-3.92,-1.56,-1.05
0.99,0.15,0.45,-3.92,-1.76,-0.84
0.98,0.16,0.46,-3.92,-2.31,-0.60
0.98,0.16,0.46,-4.08,-2.50,-0.35
0.98,0.15,0.45,-4.08,-2.62,-0.15
0.98,0.16,0.46,-4.01,-2.75,0.05
0.98,0.16,0.46,-4.07,-2.40,0.07
0.99,0.15,0.45,-3.98,-2.08,-0.06
0.99,0.15,0.47,-4.03,-1.58,-0.41
0.99,0.16,0.45,-4.08,-1.02,-1.15
0.99,0.16,0.46,-3.95,-0.24,-1.54
0.98,0.15,0.45,-4.02,0.31,-2.26
0.98,0.16,0.46,-3.96,0.68,-2.39
0.98,0.16,0.47,-3.93,0.87,-2.59
0.98,0.17,0.48,-3.73,1.05,-2.36
0.97,0.17,0.47,-3.89,0.85,-2.50
0.96,0.17,0.47,-3.74,0.34,-2.98
0.96,0.16,0.48,-3.34,0.24,-1.92
0.97,0.17,0.47,-3.41,-0.07,-0.31
0.97,0.16,0.48,-3.60,-0.36,-0.53
0.98,0.15,0.48,-3.63,-1.11,-0.95
0.98,0.16,0.47,-3.56,-1.54,-1.01
0.97,0.16,0.47,-3.31,-1.75,0.03
0.97,0.16,0.47,-3.75,-2.19,0.95
0.96,0.17,0.47,-3.77,-2.85,1.82
0.97,0.16,0.46,-3.95,-3.39,2.56
0.97,0.16,0.46,-4.01,-3.87,2.78
0.97,0.15,0.45,-4.13,-4.16,2.60
0.97,0.16,0.47,-4.25,-4.45,2.56
0.97,0.15,0.45,-4.08,-4.52,2.60
0.97,0.15,0.45,-3.88,-4.50,2.27
0.97,0.14,0.45,-3.62,-4.47,1.50
0.97,0.15,0.45,-3.81,-4.09,0.79
0.97,0.14,0.45,-3.80,-3.79,0.53
0.98,0.15,0.45,-3.90,-3.02,0.15
0.97,0.15,0.45,-3.83,-2.41,-0.02
0.97,0.15,0.44,-3.68,-1.80,-0.45
0.97,0.16,0.44,-3.87,-1.08,-0.66
0.97,0.17,0.45,-3.80,-0.80,-0.29
0.97,0.17,0.45,-3.88,-0.35,0.08
0.97,0.17,0.45,-4.05,-0.34,0.28
0.97,0.17,0.45,-3.85,-0.21,0.60
0.97,0.17,0.44,-3.90,-0.43,0.96
0.97,0.17,0.45,-3.63,-0.56,1.30
0.98,0.17,0.46,-3.56,-0.44,1.59
0.98,0.16,0.46,-3.11,-0.56,1.80
0.98,0.16,0.45,-2.85,-0.75,1.71
0.98,0.16,0.46,-2.55,-0.73,1.60
0.98,0.16,0.47,-2.30,-0.73,1.61
0.98,0.16,0.46,-2.07,-0.76,1.84
0.98,0.15,0.46,-1.88,-0.50,1.97
0.98,0.16,0.46,-1.83,-0.50,1.98
0.98,0.16,0.46,-1.76,-0.33,2.34
0.98,0.15,0.46,-1.89,-0.22,2.23
0.98,0.15,0.46,-2.22,0.00,1.66
0.97,0.15,0.46,-2.35,0.21,1.26
0.96,0.16,0.46,-2.62,0.19,1.18
0.96,0.16,0.45,-2.82,0.47,0.92
0.97,0.16,0.46,-3.08,0.84,0.75
0.97,0.16,0.45,-3.47,1.31,0.53
0.97,0.16,0.45,-3.61,1.73,0.47
0.99,0.16,0.46,-3.90,1.94,0.10
0.99,0.15,0.47,-3.95,1.97,-0.18
0.99,0.15,0.47,-3.84,2.15,-0.28
0.98,0.16,0.47,-4.02,1.71,0.05
0.98,0.15,0.48,-3.83,0.95,0.64
0.97,0.15,0.49,-3.89,-0.09,1.16
0.97,0.16,0.48,-3.66,-1.07,1.77
0.95,0.16,0.48,-3.69,-2.53,2.47
0.95,0.15,0.48,-3.66,-3.86,2.97
0.95,0.15,0.46,-3.58,-5.15,2.94
0.95,0.15,0.46,-3.65,-6.53,3.05
0.95,0.15,0.46,-3.36,-7.39,3.34
0.97,0.15,0.45,-3.43,-7.39,4.37
0.98,0.15,0.45,-3.34,-7.34,5.31
0.98,0.14,0.45,-3.63,-7.12,5.19
