xacc,yacc,zacc,xgyro,ygyro,zgyro
1.028809,-0.006836,0.13623,-2.030534,-1.358779,-1.389313
1.066162,-0.018555,0.12207,-1.969466,0.473282,-0.396947
1.016357,-0.012695,0.130859,-2.10687,1.229008,-0.916031
1.007324,-0.01416,0.143799,-2.145038,-1.419847,-0.618321
1.039795,-0.012451,0.128418,-1.740458,-1.351145,-2.206107
1.029541,-0.008057,0.117188,-2.19084,0.129771,-2.221374
1.008301,-0.015869,0.136475,-2.145038,-0.763359,-1.854962
1.036133,-0.023438,0.134521,-2.206107,-1.274809,-1.908397
1.041016,-0.009521,0.124512,-2.312977,0.061069,-1.740458
1.027344,-0.014648,0.134521,-2.40458,-0.145038,-1.687023
1.022949,-0.01001,0.136963,-2.259542,-0.969466,-1.320611
1.030518,-0.012939,0.134766,-2.221374,-2.259542,-1.167939
1.036865,-0.015137,0.124023,-2.343511,-1.89313,-1.351145
1.043213,-0.017334,0.111328,-2.083969,0.038168,-1.587786
1.021729,-0.00415,0.131104,-1.900763,0.709924,-1.793893
1.023682,-0.002441,0.135498,-2.206107,0.21374,-1.679389
1.02417,-0.016357,0.131592,-2.244275,0.015267,-2.198473
1.034912,-0.017334,0.137695,-2.221374,-0.412214,-2.160305
1.044189,-0.013916,0.125488,-2.175573,-0.59542,-1.320611
1.040527,-0.019043,0.120117,-2.145038,-0.091603,-1.824427
1.035156,-0.016602,0.12915,-2.244275,0.045802,-1.770992
1.025146,-0.015625,0.14209,-2.221374,-0.312977,-1.916031
1.029541,-0.005615,0.143311,-2.114504,-0.145038,-2.076336
1.029297,-0.006836,0.133789,-2.251908,-0.129771,-2.007634
1.024902,-0.007324,0.131348,-2.122137,-0.335878,-2.221374
1.027344,-0.010498,0.130859,-2.015267,-0.465649,-2.610687
1.030762,-0.013672,0.126709,-2.274809,-0.419847,-2.236641
1.036133,-0.012207,0.132812,-2.160305,-0.091603,-1.870229
1.027588,-0.019531,0.137451,-2.10687,-0.290076,-2.030534
1.02417,-0.012451,0.131348,-2.442748,-0.717557,-2.061069
1.030518,-0.019775,0.129639,-2.465649,-0.908397,-1.862595
1.036377,-0.010498,0.136719,-2.251908,-0.641221,-2.251908
1.030273,-0.007812,0.131592,-2.244275,-0.473282,-2.480916
1.031494,-0.001953,0.136475,-2.236641,-1.0,-2.48855
1.030762,-0.005371,0.136963,-2.0,-1.343511,-2.633588
1.041992,-0.012207,0.121582,-2.152672,-0.916031,-2.557252
1.039062,-0.008057,0.119629,-2.167939,-0.129771,-2.465649
1.028564,-0.01001,0.130127,-2.206107,0.022901,-1.832061
1.04248,-0.019043,0.133057,-2.328244,-0.083969,-1.335878
0.998779,-0.014893,0.140137,-2.465649,-0.496183,-3.19084
1.0,-0.021484,0.156006,-2.206107,-3.480916,-2.793893
1.081299,-0.016357,0.120117,-2.053435,-2.885496,-1.145038
1.06665,-0.012695,0.102051,-2.160305,1.015267,-2.198473
0.967285,-0.007812,0.14502,-2.129771,0.21374,-2.709924
1.0354,-0.009033,0.148926,-2.10687,-2.564885,-0.748092
1.041016,-0.020996,0.131104,-2.496183,-1.763359,-0.954198
1.020752,-0.021973,0.135254,-2.351145,-2.328244,-1.290076
1.026367,-0.012207,0.125488,-2.267176,-2.458015,-1.977099
1.017822,-0.008545,0.129883,-2.458015,-2.274809,-2.206107
1.025146,-0.00415,0.128662,-2.381679,-2.824427,-2.877863
1.034424,-0.014648,0.110352,-2.396947,-2.244275,-2.687023
1.029297,-0.007568,0.120361,-2.358779,-1.534351,-2.770992
1.039062,-0.015381,0.127441,-2.29771,-1.748092,-2.961832
1.040771,-0.01416,0.128174,-2.229008,-1.221374,-3.274809
1.037842,-0.013184,0.127197,-2.198473,-1.198473,-3.114504
1.035889,-0.008057,0.133545,-2.328244,-1.717557,-3.053435
1.034912,-0.010986,0.131836,-2.320611,-2.763359,-3.038168
1.033691,-0.007568,0.128906,-2.282443,-2.358779,-2.80916
1.037842,-0.01416,0.131348,-2.496183,-1.862595,-2.335878
1.021484,-0.015381,0.142578,-2.519084,-2.198473,-2.358779
1.02417,-0.012207,0.143555,-2.427481,-2.862595,-2.648855
1.034668,-0.018555,0.130127,-2.671756,-3.137405,-3.328244
1.033691,-0.016602,0.124023,-2.534351,-3.732824,-3.335878
1.036133,-0.016113,0.121094,-2.541985,-3.587786,-3.465649
1.03833,-0.012451,0.122314,-2.725191,-2.656489,-3.847328
1.018311,-0.012451,0.121826,-2.748092,-3.198473,-4.221374
1.023682,-0.008301,0.14209,-2.633588,-4.603054,-4.671756
1.048096,-0.008301,0.12085,-2.763359,-5.59542,-4.290076
1.04126,-0.004639,0.118652,-2.633588,-6.167939,-4.694656
1.048096,-0.009033,0.118408,-2.946565,-6.839694,-4.839694
1.048096,-0.022217,0.113037,-2.938931,-6.885496,-6.854962
