xacc,yacc,zacc,xgyro,ygyro,zgyro
0.56,0.10,-0.99,-31.01,2.85,-116.61
0.55,0.13,-0.99,-33.88,17.79,-120.94
0.55,0.14,-0.98,-36.75,31.30,-124.41
0.53,0.15,-0.96,-40.83,51.96,-130.11
0.52,0.16,-0.92,-43.67,77.05,-137.02
0.50,0.15,-0.87,-42.66,96.01,-143.39
0.53,0.17,-0.81,-40.07,109.83,-147.63
0.56,0.19,-0.72,-36.35,120.92,-148.89
0.57,0.22,-0.61,-32.11,128.04,-147.95
0.57,0.22,-0.47,-28.95,130.15,-144.47
0.54,0.24,-0.31,-28.21,127.84,-141.34
0.52,0.23,-0.15,-29.50,122.09,-139.09
0.48,0.26,-0.02,-32.92,114.69,-135.90
0.42,0.24,0.08,-35.04,106.68,-131.37
0.34,0.25,0.16,-34.55,98.40,-122.85
0.26,0.28,0.20,-32.47,90.09,-111.71
0.20,0.25,0.23,-28.50,80.06,-99.98
0.16,0.28,0.25,-25.50,67.95,-89.94
0.14,0.31,0.22,-22.28,52.32,-75.30
0.15,0.31,0.19,-18.82,34.53,-61.32
0.18,0.32,0.14,-15.66,15.69,-45.44
0.21,0.35,0.07,-13.69,-2.91,-29.42
0.27,0.37,0.00,-13.97,-19.31,-15.08
0.31,0.39,-0.11,-15.07,-33.36,-1.70
0.36,0.38,-0.18,-15.44,-42.77,8.42
0.42,0.43,-0.29,-17.95,-48.35,14.40
0.50,0.43,-0.40,-21.79,-47.47,17.24
0.57,0.42,-0.50,-25.72,-41.59,18.51
0.62,0.41,-0.56,-29.55,-30.44,18.56
0.69,0.38,-0.62,-33.24,-15.08,15.76
0.77,0.36,-0.66,-36.78,3.61,11.10
0.84,0.34,-0.68,-40.00,23.15,3.28
0.91,0.32,-0.68,-42.71,42.08,-7.19
0.95,0.31,-0.67,-44.37,60.50,-19.12
0.99,0.32,-0.63,-44.28,77.11,-31.25
1.03,0.32,-0.58,-43.21,91.44,-40.50
1.01,0.40,-0.53,-41.95,101.63,-46.85
0.98,0.46,-0.46,-40.53,105.56,-48.12
0.91,0.52,-0.40,-39.12,101.86,-46.95
0.87,0.57,-0.36,-35.89,91.50,-41.16
0.83,0.62,-0.34,-32.36,77.07,-30.32
0.80,0.64,-0.35,-28.61,59.10,-16.84
0.82,0.67,-0.36,-25.47,39.73,-1.17
0.85,0.64,-0.38,-22.11,21.78,11.98
0.89,0.59,-0.40,-19.54,5.01,22.05
0.97,0.56,-0.43,-17.16,-8.42,28.29
1.07,0.54,-0.48,-15.89,-16.82,31.77
1.14,0.51,-0.54,-14.44,-20.95,31.24
1.21,0.50,-0.59,-13.78,-20.51,28.22
1.24,0.50,-0.63,-14.87,-17.54,22.85
1.26,0.41,-0.64,-12.94,-12.25,13.53
1.26,0.38,-0.66,-11.35,-6.53,2.52
1.22,0.39,-0.66,-11.15,-0.60,-9.58
1.16,0.39,-0.65,-12.13,4.45,-21.88
1.11,0.40,-0.64,-13.60,9.10,-32.91
1.07,0.43,-0.61,-15.34,13.63,-41.65
1.03,0.46,-0.58,-17.67,18.01,-46.69
1.00,0.49,-0.55,-20.22,21.65,-49.84
0.98,0.52,-0.52,-23.01,25.25,-51.20
0.95,0.51,-0.47,-25.05,27.94,-51.37
0.91,0.54,-0.42,-28.14,28.44,-50.79
0.89,0.53,-0.38,-29.83,27.15,-49.29
0.86,0.57,-0.34,-31.04,24.06,-46.49
0.84,0.57,-0.30,-30.79,19.11,-43.57
0.82,0.59,-0.27,-29.74,12.57,-40.07
0.80,0.60,-0.24,-28.73,5.00,-36.35
0.77,0.62,-0.21,-27.71,-3.39,-33.05
0.75,0.63,-0.20,-27.21,-12.37,-30.52
0.74,0.63,-0.19,-26.43,-21.56,-29.31
0.72,0.63,-0.17,-26.50,-30.72,-29.35
0.71,0.64,-0.19,-26.73,-38.90,-30.53
0.69,0.64,-0.18,-27.15,-46.32,-32.53
0.70,0.62,-0.20,-27.53,-52.55,-35.63
0.70,0.62,-0.21,-28.33,-56.79,-39.28
0.70,0.60,-0.22,-29.32,-60.08,-42.66
0.68,0.59,-0.22,-31.45,-61.77,-47.23
0.68,0.59,-0.21,-34.56,-61.50,-52.24
0.66,0.57,-0.21,-37.28,-59.42,-57.48
0.66,0.56,-0.20,-40.15,-56.47,-62.46
0.63,0.54,-0.19,-42.15,-52.60,-65.68
0.62,0.53,-0.19,-43.89,-49.18,-67.98
0.59,0.51,-0.19,-44.20,-46.95,-68.94
0.56,0.50,-0.19,-44.79,-46.27,-68.86
0.55,0.51,-0.18,-44.61,-46.82,-67.05
0.53,0.49,-0.19,-44.12,-48.24,-65.76
0.54,0.46,-0.18,-42.12,-49.65,-64.92
0.53,0.46,-0.19,-40.19,-51.01,-63.29
0.52,0.48,-0.18,-38.29,-52.40,-61.08
0.52,0.47,-0.17,-36.56,-53.29,-59.08
0.51,0.46,-0.17,-33.88,-54.77,-58.08
0.49,0.46,-0.16,-30.37,-56.32,-57.05
0.49,0.48,-0.17,-27.82,-57.64,-54.06
0.48,0.48,-0.18,-25.76,-58.60,-50.20
0.49,0.49,-0.18,-24.73,-59.08,-47.24
0.48,0.50,-0.20,-23.77,-59.65,-44.65
0.47,0.51,-0.19,-22.14,-59.86,-43.79
0.47,0.53,-0.22,-19.56,-60.05,-43.66
0.47,0.53,-0.22,-16.18,-59.30,-43.49
0.47,0.58,-0.24,-13.93,-58.19,-45.89
0.42,0.93,-0.22,-30.72,-57.98,-32.71
0.33,1.11,-0.67,-73.54,59.54,-18.81
0.34,1.07,-0.64,-72.67,63.53,-13.64
0.34,1.04,-0.61,-72.90,66.88,-8.61
0.33,0.99,-0.57,-74.55,70.54,-1.59
0.29,0.92,-0.49,-80.34,72.88,8.53
0.26,0.86,-0.44,-86.50,70.47,7.63
0.25,0.73,-0.38,-90.19,66.73,5.95
0.15,0.61,-0.31,-92.16,59.50,0.58
0.05,0.57,-0.28,-93.12,46.22,-9.47
-0.01,0.57,-0.25,-94.03,30.56,-20.78
-0.00,0.56,-0.24,-92.98,16.99,-31.07
-0.03,0.52,-0.20,-89.27,6.47,-29.11
-0.04,0.52,-0.18,-86.65,-3.14,-20.40
0.01,0.50,-0.15,-83.18,-9.27,-9.47
0.02,0.46,-0.15,-78.47,-14.34,1.56
0.02,0.42,-0.13,-73.95,-20.16,9.00
0.05,0.42,-0.10,-71.76,-24.62,12.03
0.10,0.40,-0.07,-70.98,-27.69,12.64
0.12,0.34,-0.08,-67.69,-30.18,16.44
0.15,0.29,-0.06,-62.63,-32.85,20.04
0.15,0.29,-0.06,-57.05,-35.86,24.38
0.18,0.25,-0.07,-49.02,-37.82,25.02
0.19,0.26,-0.06,-40.38,-40.52,24.63
0.19,0.36,-0.04,-36.60,-44.72,22.72
0.22,0.38,-0.02,-32.56,-47.86,17.45
0.26,0.36,-0.02,-25.05,-49.47,11.15
0.27,0.34,-0.02,-13.34,-49.84,6.18
0.31,0.36,-0.01,-1.31,-47.85,2.77
0.33,0.40,-0.02,9.94,-44.51,-1.34
