xacc,yacc,zacc,xgyro,ygyro,zgyro
1.02,0.15,0.14,-4.08,1.93,-3.10
1.02,0.15,0.13,-4.05,2.11,-3.24
1.02,0.15,0.14,-4.03,1.89,-3.25
1.03,0.15,0.14,-3.96,1.98,-2.81
1.02,0.15,0.15,-4.12,1.50,-3.13
0.99,0.15,0.16,-4.53,0.63,-4.21
0.98,0.14,0.15,-4.41,-0.04,-4.56
1.00,0.15,0.16,-4.02,-0.20,-3.34
1.02,0.14,0.14,-3.85,-0.16,-2.60
1.03,0.14,0.13,-3.67,-0.21,-2.39
1.03,0.15,0.15,-3.44,-0.02,-1.44
1.03,0.15,0.15,-3.34,0.34,-0.34
1.03,0.14,0.15,-3.10,0.78,0.44
1.02,0.14,0.16,-3.65,1.32,0.89
1.02,0.15,0.15,-3.95,1.94,1.29
1.03,0.15,0.16,-3.89,2.44,1.33
1.03,0.14,0.16,-3.80,2.92,1.24
1.03,0.15,0.16,-3.89,2.44,0.99
1.03,0.15,0.17,-3.83,1.95,0.63
1.03,0.15,0.16,-4.01,0.84,0.65
1.02,0.15,0.17,-3.91,-0.22,0.44
1.01,0.16,0.16,-4.02,-1.20,0.63
1.02,0.15,0.16,-3.72,-2.63,0.76
1.02,0.15,0.15,-3.76,-3.07,0.80
1.03,0.15,0.16,-3.45,-3.83,0.89
1.03,0.15,0.15,-3.53,-3.92,0.77
1.03,0.15,0.15,-3.34,-4.12,0.89
1.03,0.15,0.13,-3.49,-4.16,0.83
1.04,0.14,0.13,-3.50,-3.70,0.99
1.03,0.15,0.12,-3.64,-3.23,0.91
1.04,0.14,0.11,-3.80,-2.34,0.93
1.04,0.14,0.12,-3.76,-1.53,0.60
1.04,0.14,0.11,-4.02,-0.76,0.53
1.03,0.14,0.12,-4.08,0.16,-0.31
1.04,0.14,0.11,-4.28,1.16,-0.66
1.03,0.14,0.12,-4.17,2.08,-1.15
1.04,0.13,0.12,-4.36,2.98,-1.44
1.04,0.14,0.11,-4.31,3.80,-1.54
1.04,0.14,0.12,-4.37,4.27,-1.63
1.04,0.15,0.13,-4.44,4.58,-1.82
1.04,0.15,0.13,-4.53,5.07,-1.70
1.04,0.14,0.12,-4.56,4.89,-1.86
1.03,0.15,0.14,-4.34,5.14,-1.95
1.02,0.14,0.14,-4.28,4.76,-2.14
1.03,0.16,0.16,-4.31,4.62,-2.19
1.03,0.15,0.14,-4.30,4.24,-2.11
1.02,0.15,0.17,-4.31,4.08,-2.17
1.02,0.15,0.16,-4.27,3.84,-1.92
1.03,0.15,0.17,-4.25,3.16,-1.40
1.02,0.16,0.17,-4.07,2.72,-1.09
1.01,0.15,0.16,-4.14,2.64,-0.89
1.02,0.15,0.17,-4.19,2.19,-0.90
1.01,0.15,0.17,-4.19,1.98,-0.60
1.01,0.16,0.17,-3.92,1.66,-0.28
1.01,0.15,0.17,-4.08,1.26,0.33
1.02,0.15,0.17,-4.01,1.19,0.97
1.01,0.15,0.16,-4.18,0.92,1.15
1.02,0.16,0.18,-4.17,0.69,1.51
1.01,0.16,0.17,-4.20,0.18,1.59
1.01,0.16,0.17,-4.34,-0.20,1.66
1.00,0.15,0.17,-4.01,-0.79,1.76
0.99,0.16,0.17,-4.08,-1.47,1.07
0.99,0.15,0.16,-4.18,-1.77,0.60
1.01,0.15,0.15,-3.73,-1.89,0.62
1.04,0.15,0.16,-3.63,-1.57,0.85
1.04,0.15,0.14,-3.46,-1.23,0.94
1.02,0.15,0.15,-3.67,-1.59,1.11
1.01,0.15,0.15,-3.73,-1.65,1.18
1.01,0.15,0.15,-3.77,-1.36,1.28
1.02,0.15,0.15,-4.02,-0.91,1.47
1.02,0.15,0.14,-4.02,-0.56,1.71
1.02,0.14,0.15,-3.95,-0.24,1.98
1.03,0.15,0.15,-3.60,-0.21,1.73
1.02,0.15,0.15,-3.50,-0.18,1.56
1.02,0.15,0.15,-3.51,-0.38,1.67
1.02,0.15,0.15,-3.52,-0.47,1.97
1.01,0.15,0.15,-3.37,-0.25,2.17
1.03,0.14,0.16,-3.50,-0.15,2.56
1.02,0.14,0.15,-3.33,-0.06,2.67
1.02,0.15,0.15,-3.38,0.01,2.79
1.02,0.14,0.15,-3.45,0.08,2.85
1.02,0.14,0.15,-3.44,-0.19,2.89
1.02,0.14,0.14,-3.24,-0.40,2.77
1.02,0.14,0.15,-3.31,-0.56,2.21
1.03,0.14,0.15,-3.34,-0.57,1.83
1.03,0.14,0.15,-3.27,-0.66,1.60
1.03,0.14,0.16,-3.27,-0.45,1.45
1.03,0.15,0.17,-3.18,-0.57,1.08
1.03,0.14,0.15,-3.15,-0.79,0.82
1.03,0.15,0.16,-3.17,-0.76,0.83
1.03,0.14,0.16,-3.08,-0.96,1.34
1.03,0.14,0.15,-3.32,-0.67,1.78
1.03,0.14,0.16,-3.16,-0.94,2.40
1.03,0.14,0.16,-2.99,-0.98,3.05
1.03,0.14,0.15,-2.96,-1.11,3.24
1.03,0.14,0.15,-2.78,-1.18,3.63
1.03,0.14,0.15,-2.75,-1.40,3.74
1.03,0.14,0.15,-2.62,-1.67,3.82
1.03,0.14,0.15,-2.27,-1.60,3.42
1.03,0.14,0.16,-2.39,-1.82,2.72
1.01,-0.04,-0.30,-24.05,-81.47,101.31
1.00,-0.05,-0.31,-24.67,-78.28,100.02
0.97,-0.08,-0.34,-24.87,-75.66,98.06
1.01,-0.13,-0.36,-24.01,-68.17,93.60
1.08,-0.10,-0.43,-26.90,-52.61,86.95
1.07,-0.18,-0.47,-30.17,-36.40,80.29
1.01,-0.29,-0.46,-27.94,-23.33,70.68
0.90,-0.33,-0.44,-27.24,-13.76,56.84
0.81,-0.36,-0.41,-27.11,-8.02,44.38
0.75,-0.37,-0.39,-26.39,-4.24,36.66
0.73,-0.36,-0.39,-25.46,-2.25,34.11
0.71,-0.36,-0.37,-23.79,-3.00,34.83
0.71,-0.37,-0.36,-21.41,-6.77,36.29
0.68,-0.38,-0.35,-20.29,-11.11,37.49
0.67,-0.40,-0.36,-18.68,-14.71,38.78
0.66,-0.42,-0.36,-17.29,-15.94,40.11
0.68,-0.48,-0.38,-14.99,-14.60,39.15
0.69,-0.51,-0.37,-11.79,-11.17,34.40
0.75,-0.55,-0.36,-7.53,-5.14,27.98
0.80,-0.55,-0.37,-2.98,3.03,21.14
0.82,-0.53,-0.36,0.68,12.79,13.55
0.82,-0.52,-0.34,4.24,23.27,5.92
0.80,-0.51,-0.30,7.40,32.95,-3.94
0.77,-0.44,-0.28,8.80,41.89,-12.81
0.74,-0.41,-0.26,10.44,49.85,-20.07
0.71,-0.37,-0.22,10.95,56.11,-26.31
0.68,-0.31,-0.18,10.73,60.65,-30.60
0.67,-0.29,-0.14,10.22,64.22,-34.22
0.67,-0.27,-0.10,9.23,66.51,-37.95
0.71,-0.22,-0.07,7.33,67.56,-40.34
0.73,-0.17,-0.03,6.42,66.18,-43.73
0.72,-0.11,-0.00,5.76,62.89,-45.22
0.72,-0.04,0.00,4.23,57.82,-43.92
0.73,0.00,0.03,3.15,51.16,-40.00
0.75,0.01,0.04,2.29,42.95,-35.95
0.77,0.00,0.03,1.54,33.48,-33.74
0.76,-0.04,0.03,2.21,22.98,-33.08
0.76,-0.03,0.01,2.86,12.40,-33.55
0.77,-0.05,-0.02,4.29,2.68,-33.31
0.79,-0.04,-0.05,5.18,-5.47,-32.18
0.84,-0.04,-0.07,6.40,-11.89,-30.44
0.87,-0.02,-0.11,7.09,-17.39,-29.07
0.90,-0.02,-0.14,8.47,-21.21,-28.60
0.91,0.00,-0.16,9.01,-23.15,-28.72
0.92,0.01,-0.18,8.95,-23.29,-28.93
0.94,0.01,-0.21,9.40,-22.34,-29.66
0.99,-0.01,-0.23,10.10,-19.72,-31.28
1.03,-0.02,-0.25,10.47,-15.59,-34.38
1.07,-0.03,-0.26,10.41,-11.04,-38.79
1.10,-0.03,-0.27,9.82,-5.29,-44.15
1.12,-0.03,-0.27,9.42,-0.11,-48.44
1.13,-0.03,-0.28,8.61,4.97,-53.34
1.14,-0.03,-0.29,8.06,9.71,-58.19
1.15,-0.03,-0.29,7.36,14.29,-62.67
1.16,-0.05,-0.29,7.74,18.75,-66.92
1.13,-0.09,-0.27,9.93,22.10,-70.56
1.14,-0.11,-0.25,11.65,25.64,-73.34
1.14,-0.12,-0.20,12.81,29.23,-72.44
1.13,-0.12,-0.16,13.85,31.14,-72.45
1.14,-0.14,-0.12,15.41,31.73,-70.50
1.16,-0.09,-0.08,17.41,32.34,-67.50
1.15,-0.13,-0.05,22.37,29.17,-66.67
1.14,-0.14,-0.03,27.11,22.76,-65.98
1.21,0.01,-0.05,26.71,17.79,-67.08
1.21,0.03,-0.04,26.16,11.06,-63.99
1.21,0.08,-0.02,27.46,2.98,-59.92
1.26,0.14,-0.04,26.75,0.06,-51.69
1.25,0.20,-0.05,22.63,-0.86,-43.49
1.22,0.19,-0.04,18.31,-0.73,-38.60
1.18,0.10,-0.04,16.56,0.82,-34.18
1.13,0.06,-0.02,14.83,1.43,-31.98
1.08,-0.02,0.01,14.75,1.66,-34.48
1.06,-0.08,0.05,16.43,2.82,-33.52
1.06,-0.09,0.07,16.65,4.73,-33.02
1.09,-0.05,0.07,14.36,6.79,-36.50
1.14,-0.04,0.09,11.82,10.24,-38.31
1.19,-0.01,0.07,9.90,14.40,-40.55
1.20,-0.00,0.09,9.19,18.06,-39.60
1.19,0.00,0.10,9.42,19.92,-36.82
1.17,0.02,0.12,9.80,20.18,-34.40
1.14,0.03,0.13,9.52,18.97,-32.89
1.12,0.00,0.14,10.51,16.66,-30.47
1.10,0.03,0.14,8.99,13.80,-30.56
1.07,0.03,0.13,8.44,10.51,-27.52
1.02,0.01,0.13,8.34,4.77,-24.37
0.97,0.02,0.12,7.22,-1.61,-23.50
0.93,-0.04,0.10,7.17,-8.07,-20.28
0.90,-0.04,0.06,6.92,-14.81,-19.37
0.89,-0.04,0.04,5.22,-20.22,-18.81
0.87,-0.04,0.01,3.66,-23.89,-16.72
0.88,-0.05,-0.02,3.29,-26.05,-13.61
0.89,-0.05,-0.05,2.37,-26.49,-10.78
0.92,-0.07,-0.07,1.97,-24.31,-11.56
0.93,-0.07,-0.10,2.17,-19.40,-13.02
0.95,-0.05,-0.12,0.90,-13.35,-16.60
0.97,-0.05,-0.15,-0.48,-5.50,-20.60
0.99,-0.03,-0.16,-1.09,2.98,-26.44
1.00,0.01,-0.18,-0.76,12.45,-32.89
1.01,0.03,-0.19,-0.99,22.18,-35.66
1.00,0.02,-0.18,-1.11,31.15,-38.05
0.65,0.09,-0.88,60.62,-109.76,-13.27
0.64,0.07,-0.91,59.25,-106.21,-16.04
0.63,0.03,-0.95,58.16,-101.89,-18.05
0.63,0.06,-0.99,54.03,-94.89,-22.84
0.69,0.05,-1.03,47.54,-79.15,-30.14
0.70,0.04,-1.04,41.05,-61.37,-34.62
0.68,-0.01,-1.02,36.29,-44.05,-38.62
0.70,-0.06,-0.97,31.13,-28.31,-45.32
0.70,-0.10,-0.88,26.48,-12.63,-49.58
0.65,-0.10,-0.77,23.59,2.73,-48.45
0.62,-0.11,-0.65,20.81,16.04,-46.37
0.61,-0.15,-0.54,18.53,25.12,-46.99
0.57,-0.16,-0.48,17.45,28.69,-49.63
0.57,-0.14,-0.41,16.61,30.56,-51.63
0.56,-0.10,-0.38,15.73,30.98,-52.69
0.56,-0.05,-0.36,14.23,30.69,-51.69
0.58,-0.02,-0.34,11.33,31.45,-50.56
0.58,0.02,-0.32,6.87,32.69,-50.05
0.56,0.03,-0.31,2.78,33.87,-50.62
0.56,0.04,-0.31,-2.01,35.17,-51.67
0.59,0.03,-0.31,-6.47,37.15,-53.36
0.63,0.02,-0.28,-10.15,39.13,-53.26
0.66,0.03,-0.27,-14.11,42.08,-52.18
0.68,0.04,-0.23,-17.75,46.05,-48.37
0.68,0.07,-0.18,-22.26,49.92,-43.81
0.69,0.06,-0.13,-26.45,51.68,-40.01
0.69,0.06,-0.09,-30.86,51.36,-38.15
0.71,0.05,-0.06,-35.57,50.19,-37.40
0.72,0.07,-0.04,-39.76,49.22,-36.47
0.74,0.08,-0.02,-43.83,48.85,-34.22
0.79,0.08,0.01,-47.83,49.78,-30.81
0.83,0.08,0.03,-52.16,51.87,-27.61
0.88,0.09,0.04,-56.47,53.43,-25.34
0.91,0.07,0.04,-58.28,54.79,-24.36
0.95,0.08,0.02,-59.85,54.67,-22.30
0.98,0.08,0.01,-61.21,54.06,-17.84
0.98,0.09,0.00,-62.21,53.31,-13.47
0.97,0.10,-0.00,-64.63,51.90,-10.53
0.96,0.07,-0.01,-66.98,51.15,-9.76
0.96,0.06,-0.02,-69.42,50.51,-10.50
0.95,0.06,-0.04,-70.96,49.27,-14.53
0.98,0.09,-0.07,-72.37,48.04,-21.02
1.02,0.16,-0.11,-74.85,47.74,-27.08
1.07,0.20,-0.13,-75.84,48.56,-27.85
1.11,0.19,-0.14,-75.17,49.48,-24.37
1.12,0.23,-0.16,-74.48,49.73,-21.00
1.11,0.28,-0.17,-74.89,48.24,-18.54
1.15,0.41,-0.19,-80.31,47.74,-17.05
1.03,0.32,-0.19,-74.76,42.81,-21.47
0.96,0.29,-0.16,-66.24,29.08,-21.98
