xacc,yacc,zacc,xgyro,ygyro,zgyro
0.981689,0.353516,-0.114502,-8.557252,6.534351,1.236641
0.932129,0.347412,-0.131104,-9.083969,9.885496,0.473282
0.927002,0.350098,-0.128662,-8.900764,13.351145,-0.244275
0.939453,0.354004,-0.095703,-8.732824,15.38168,-0.458015
0.958008,0.342529,-0.056396,-7.862596,12.900764,0.625954
1.007324,0.326416,-0.03418,-7.007634,7.80916,4.114504
1.057129,0.31543,-0.04834,-5.870229,3.061069,5.259542
1.048584,0.320801,-0.104004,-5.221374,3.045802,4.061069
1.044189,0.337402,-0.137695,-5.717557,6.10687,4.015267
1.06543,0.345215,-0.182373,-7.114504,9.503817,4.480916
1.078857,0.336426,-0.190674,-8.778625,16.137405,3.015267
1.012695,0.316895,-0.157227,-10.068703,23.343512,1.709924
0.969971,0.301514,-0.106689,-10.908397,27.206106,3.59542
0.925537,0.299316,-0.059082,-10.389313,27.519083,3.854962
0.875488,0.306396,-0.003906,-9.763359,25.725191,3.671756
0.873779,0.317627,0.034668,-9.450381,22.19084,6.580153
0.886475,0.29541,0.057129,-8.152672,16.244274,8.282443
0.927002,0.289795,0.062012,-6.687023,10.320611,9.290076
0.983887,0.288574,0.052979,-5.0,4.78626,11.076336
1.022461,0.289307,0.008789,-3.290076,-0.29771,10.687023
1.064453,0.286621,-0.053955,-2.618321,0.236641,9.198473
1.049561,0.291504,-0.104492,-3.236641,2.870229,8.419847
1.085449,0.275635,-0.122803,-3.877863,7.59542,8.427481
1.078125,0.246094,-0.100586,-4.679389,14.717557,6.175572
1.046143,0.241943,-0.038818,-5.587786,19.541985,4.839694
0.992188,0.262939,0.002197,-5.969466,18.496183,5.91603
0.989258,0.284912,0.049316,-5.78626,12.816793,8.335877
0.972656,0.293213,0.020996,-4.992366,9.274809,7.755725
0.932373,0.302002,-0.024902,-5.015267,7.137404,7.954198
0.957031,0.279297,-0.039551,-5.900764,7.793893,9.122137
0.986328,0.257324,-0.046143,-5.854962,8.763359,7.458015
0.998047,0.246338,-0.015137,-5.427481,10.687023,6.21374
0.973633,0.256104,0.010498,-5.129771,10.877863,4.969466
0.968994,0.265625,0.022949,-4.885496,8.778625,5.236641
0.983643,0.284912,0.020996,-4.244275,5.59542,4.832061
1.003418,0.290039,-0.000244,-3.679389,4.70229,6.022901
0.994385,0.275635,-0.013916,-3.687023,6.21374,5.923664
0.993896,0.285645,-0.028809,-3.984733,5.282443,5.89313
1.007568,0.276123,-0.018555,-4.473282,7.160306,5.70229
1.008545,0.266113,-0.007324,-4.992366,7.526718,5.91603
0.993164,0.256348,-0.009277,-4.847328,7.61832,6.572519
1.001221,0.248291,0.008301,-5.045802,7.908397,6.40458
0.992432,0.268311,-0.012695,-5.732824,5.70229,6.061069
0.999756,0.260498,-0.012695,-5.770992,6.564886,7.38168
1.012939,0.256104,-0.013916,-4.977099,6.679389,5.48855
1.022217,0.259033,0.006592,-4.206107,8.129771,4.473282
1.016113,0.262451,0.022217,-4.625954,8.083969,3.763359
1.021484,0.251465,0.032959,-3.450382,8.145039,4.099236
0.973877,0.250977,0.050293,-1.725191,5.282443,0.793893
1.017334,0.183105,0.088867,0.870229,6.320611,1.343511
0.891846,0.306396,0.00293,-1.267176,-1.160305,-1.053435
