xacc,yacc,zacc,xgyro,ygyro,zgyro
0.96167,-0.144775,-0.05835,-5.526718,-7.061069,-5.29771
0.992188,-0.098145,-0.020752,-6.076336,-9.862596,-6.053435
1.037598,-0.054932,-0.002686,-8.61832,-13.145039,-4.580153
1.079834,-0.081055,0.018311,-11.343512,-15.610687,1.0
1.095947,-0.129639,0.023926,-13.870229,-18.076336,7.38168
1.067383,-0.201172,0.001221,-14.312977,-18.687023,9.954199
1.011963,-0.254395,-0.039795,-14.083969,-19.67939,7.374046
0.98584,-0.26416,-0.098145,-13.946565,-18.083969,2.557252
1.023438,-0.270264,-0.140625,-13.396947,-14.206107,-4.312977
1.041504,-0.279297,-0.159668,-13.015267,-10.412213,-11.549619
1.092285,-0.252197,-0.142822,-12.702291,-5.08397,-14.435115
1.093262,-0.201172,-0.090576,-13.366412,-1.083969,-11.992367
1.080566,-0.121826,-0.066895,-14.664123,-0.763359,-8.465649
1.078125,-0.092285,-0.045898,-17.068703,-3.137405,-4.045802
1.057129,-0.068604,-0.051514,-17.534351,-5.549618,-0.648855
1.045166,-0.075928,-0.086914,-18.244274,-5.877862,1.748092
1.026611,-0.089844,-0.122559,-19.106871,-2.267176,4.442748
1.020752,-0.162109,-0.13501,-20.419847,0.793893,6.10687
1.018799,-0.157715,-0.126221,-19.984734,1.374046,5.877862
1.037109,-0.123291,-0.126953,-19.717558,0.396947,9.038168
1.042969,-0.0979,-0.084717,-18.572519,0.633588,11.335877
1.039551,-0.052734,-0.068848,-17.610687,-1.755725,10.641221
1.065674,-0.014404,-0.079102,-16.633587,-1.274809,10.541985
1.072754,-0.047607,-0.094971,-18.38168,2.633588,7.91603
1.025879,-0.101562,-0.070801,-18.954199,3.801527,2.969466
1.026123,-0.150879,-0.069092,-18.038168,3.80916,-2.572519
1.057373,-0.128662,-0.070068,-17.061069,4.778626,-5.160306
1.016602,-0.097168,-0.074707,-16.206106,5.862596,-5.89313
1.01001,-0.056152,-0.083496,-15.541985,8.114504,-4.40458
1.023193,0.069092,-0.086182,-14.610687,9.992367,-0.740458
1.047852,0.091064,-0.112061,-15.267176,13.763359,3.0
1.091064,0.094971,-0.09375,-13.603053,17.32061,3.526718
1.06543,0.10498,-0.044434,-12.129771,19.633587,5.954198
1.071045,0.104492,-0.028564,-11.145039,18.900763,9.19084
1.076904,0.064941,0.002441,-10.122137,15.511451,12.473283
1.061523,0.045654,-0.056641,-11.229008,12.961832,13.259542
1.096191,-0.044189,-0.075195,-11.198473,16.221375,15.221375
1.069092,-0.039551,-0.081787,-10.977099,20.67939,18.152672
1.052734,-0.044189,-0.0896,-10.900764,24.610687,20.671755
1.022461,-0.080566,-0.08374,-10.290076,25.160305,21.763359
1.050293,-0.095703,-0.098877,-10.427481,29.274809,22.961832
1.05835,-0.092773,-0.067139,-10.114504,30.900763,25.801527
1.04541,-0.106689,-0.053467,-9.938931,31.519083,31.717558
1.0354,-0.144043,-0.050293,-10.755725,28.67939,33.625954
1.028809,-0.19043,-0.052979,-10.267176,27.274809,31.32061
1.029297,-0.208008,-0.077637,-9.885496,29.236641,28.152672
1.001953,-0.230469,-0.130127,-8.755725,32.961834,23.137405
1.057861,-0.267822,-0.135986,-7.51145,38.610687,21.557251
1.054199,-0.299316,-0.08667,-6.80916,45.786259,20.244274
1.030518,-0.32251,-0.031006,-4.40458,47.305344,23.839695
1.041992,-0.338135,0.001465,-0.251908,44.793892,27.32061
1.057373,-0.357666,0.024902,2.778626,41.664124,31.854961
1.106201,-0.333984,0.036865,6.08397,41.801525,35.473282
1.051758,-0.30957,0.093994,9.152672,39.755726,37.183205
1.097656,-0.385498,0.108398,14.083969,37.511452,34.053436
0.997314,-0.323486,0.102539,15.80916,31.793894,36.526718
0.998779,-0.365479,0.081787,17.770992,29.80916,32.328243
0.989258,-0.384766,0.065674,19.641222,32.35878,24.969465
0.915283,-0.311035,0.051758,14.610687,29.717558,20.045801
1.005615,-0.274414,0.054932,11.702291,32.748093,20.801527
0.99707,-0.200195,0.092285,9.977099,32.61832,28.832062
1.173584,0.05957,0.229736,1.076336,35.396946,53.412212
0.976562,-0.267822,0.217041,4.206107,27.229008,58.305344
0.975098,-0.317139,0.179932,8.427481,21.687023,53.732826
0.982666,-0.406982,0.219238,10.603053,21.099237,41.442749
0.992676,-0.39917,0.267334,12.358779,17.526718,32.984734
1.068604,-0.329102,0.320312,8.374045,16.893129,38.923664
1.05957,-0.318359,0.273193,3.236641,16.221375,39.328243
0.867432,-0.385254,0.24707,-0.854962,11.061069,27.961832
0.912598,-0.467285,0.241211,-1.198473,8.549619,21.564886
0.973633,-0.406982,0.219971,5.732824,1.137405,24.732824
1.116943,-0.396484,0.115234,12.541985,3.068702,33.236641
1.097656,-0.251465,0.121826,13.61832,10.427481,41.267174
1.059326,-0.211182,0.141113,13.793893,14.885496,46.862595
1.041016,-0.206055,0.134033,13.458015,16.244274,52.564884
1.009277,-0.212646,0.146729,13.0,19.12977,57.221375
0.922852,-0.302246,0.175781,13.160305,17.389313,59.068703
0.87085,-0.431885,0.168701,14.152672,12.801527,53.961834
0.820312,-0.498291,0.17627,16.030535,8.610687,40.190838
0.841309,-0.451904,0.200684,14.78626,5.007634,32.282444
0.955566,-0.441162,0.178711,11.38168,11.366412,28.778625
0.915283,-0.420654,0.196045,8.305344,14.068703,30.198473
0.852051,-0.413086,0.168945,5.946565,9.816793,32.305344
0.86377,-0.481689,0.121094,6.320611,7.801527,31.778625
0.834229,-0.531006,0.089844,9.412213,6.129771,24.038168
0.824219,-0.621094,0.087402,13.877863,6.526718,12.648855
0.824951,-0.65625,0.093262,16.709923,6.320611,5.900764
0.910889,-0.646729,0.064697,19.267176,10.78626,6.396946
0.976562,-0.524658,0.087158,18.38168,13.488549,3.251908
0.97876,-0.528564,0.132812,16.603054,14.343512,8.541985
0.904297,-0.553955,0.186035,18.175573,9.442748,11.175572
0.919189,-0.573486,0.13916,18.48855,5.061069,20.70229
0.907715,-0.469482,0.130615,19.900763,3.0,17.0
0.876709,-0.479248,0.170654,17.419847,4.748092,17.198473
0.821533,-0.469727,0.206787,11.114504,6.206107,13.549619
0.812012,-0.416992,0.237793,8.282443,6.038168,14.022901
0.763184,-0.554443,0.29541,10.610687,3.80916,3.740458
0.827148,-0.583252,0.266602,12.496183,1.374046,-3.030534
1.008545,-0.784912,0.211182,21.549618,5.015267,-1.725191
0.724854,-0.931152,0.194824,30.282442,1.526718,-4.198473
0.957031,-0.679932,0.218506,18.900763,12.175572,-11.114504
0.666748,-0.4729,0.269775,41.053436,-4.931298,-24.442749
0.925293,-0.513672,0.19165,48.877861,-10.816793,-8.526717
0.91626,-0.643799,0.147217,45.671757,3.664122,-6.244275
0.739014,-0.556152,0.302002,33.465649,17.229008,-23.175573
0.847168,-0.563965,0.382324,25.862595,20.0,-28.923664
0.773926,-0.437256,0.433105,25.961832,11.129771,-33.442749
0.804199,-0.436035,0.404297,23.099237,3.938931,-31.732824
0.79834,-0.724854,0.368896,14.160305,6.725191,-31.648855
0.875488,-0.639648,0.311523,11.427481,5.793893,-51.541985
0.968262,-0.355225,0.366455,5.977099,7.251908,-50.519085
0.886719,-0.450928,0.444824,3.083969,4.48855,-41.526718
0.816895,-0.463379,0.431641,1.229008,-0.305344,-34.091602
0.792236,-0.29834,0.391357,-2.916031,-3.427481,-40.816795
0.890869,-0.043213,0.268311,-0.427481,-11.893129,-37.030533
1.070068,0.077637,0.191162,-6.229008,-3.343511,-39.290077
0.908447,0.184082,0.235107,-12.450381,8.702291,-52.740459
0.697754,0.145264,0.267822,-17.946566,11.534351,-51.152672
0.677979,0.075928,0.360352,-21.122137,8.580153,-46.503819
0.874512,0.001709,0.33374,-24.229008,10.458015,-32.931297
0.8479,-0.171875,0.306641,-25.687023,6.076336,-30.893129
0.930664,-0.20874,0.216064,-25.625954,1.938931,-31.274809
1.09668,-0.107666,0.081055,-34.213741,8.648855,-37.35878
0.895264,-0.128174,0.191162,-32.748093,9.419847,-31.419847
0.804932,0.125732,0.224854,-34.038166,2.259542,-18.786259
0.982666,0.156738,0.258789,-33.32061,-1.618321,-9.351145
0.997559,0.104736,0.29126,-29.709923,-2.732824,2.267176
0.857666,0.030762,0.280273,-21.854961,-9.374045,7.885496
1.124512,0.05542,0.285889,-16.778625,-13.061069,17.786259
1.296875,-0.102783,0.302002,-14.160305,-13.320611,5.351145
1.29248,-0.246582,0.342773,-6.335878,-17.755726,-1.068702
1.269531,-0.351807,0.315918,0.473282,-24.923664,-3.885496
1.162598,-0.356934,0.279297,4.221374,-29.916031,-7.938931
1.068848,-0.378662,0.202881,5.862596,-32.519085,-8.473283
1.062012,-0.420166,0.169678,9.221375,-25.992367,-10.816793
1.021729,-0.415771,0.150391,10.946565,-16.267176,-16.259542
0.948975,-0.396729,0.160889,10.267176,-9.473283,-19.419847
0.932373,-0.315674,0.179688,7.328244,-2.465649,-17.389313
0.917969,-0.335449,0.180664,2.763359,-0.007634,-21.0
0.961426,-0.301514,0.189209,-0.954198,2.847328,-27.839695
0.884033,-0.250244,0.236328,-2.427481,2.70229,-23.687023
0.836182,-0.162354,0.249268,-3.244275,-2.931298,-15.816793
0.827637,-0.062988,0.210693,-7.068702,-9.022901,-9.748092
0.761475,-0.145508,0.280273,-8.664123,-20.786259,-11.984733
0.951172,-0.186279,0.204834,-7.236641,-21.290077,-10.61832
0.916504,-0.237793,0.135498,-8.625955,-15.343512,-10.374045
0.903809,-0.303955,0.133057,-8.251908,-11.458015,-11.412213
0.937744,-0.345459,0.118896,-9.839695,-10.80916,-13.816793
1.131592,-0.538574,0.125977,-10.274809,-10.106871,-24.160305
1.103271,-0.508057,0.174561,-3.801527,-2.412214,-29.740458
0.902832,-0.383545,0.176758,-4.778626,-5.122138,-17.595419
0.871094,-0.279541,0.193115,-8.648855,-12.297709,-7.053435
0.9646,-0.177734,0.147949,-14.091603,-13.465649,2.038168
1.096924,-0.141357,0.168213,-19.427481,-6.801527,3.045802
0.971436,-0.148438,0.209717,-21.030535,-0.641221,1.503817
0.850342,-0.126709,0.239746,-23.221375,-3.183206,8.572519
0.791016,-0.196045,0.260498,-20.664122,-9.259542,16.251909
0.818115,-0.251465,0.181885,-15.648855,-12.458015,18.67939
0.912109,-0.329834,0.120361,-10.862596,-11.610687,19.137405
1.069824,-0.409424,0.083252,-6.137404,-3.465649,16.885496
1.130859,-0.428711,0.10083,-2.427481,2.793893,16.396946
1.208008,-0.41748,0.128662,-0.152672,6.740458,16.351145
1.266846,-0.412842,0.194336,3.007634,12.900764,16.549618
1.178467,-0.360107,0.271484,4.80916,12.717557,19.480917
1.052979,-0.354004,0.324463,7.030534,5.389313,21.236641
0.956055,-0.332764,0.327881,8.511451,-5.152672,22.687023
0.919189,-0.330078,0.294189,8.160305,-11.931297,23.473282
0.916992,-0.324219,0.259521,7.396946,-15.480916,22.526718
0.922119,-0.332764,0.231201,5.694656,-18.12977,23.343512
0.936035,-0.33667,0.175537,4.351145,-17.290077,19.351145
0.972656,-0.397217,0.147461,3.503817,-15.366412,12.717557
1.006348,-0.436035,0.116943,3.129771,-10.198473,6.366412
0.977783,-0.477783,0.126221,2.480916,-5.664122,1.870229
0.877686,-0.422852,0.191895,-0.732824,-2.732824,3.641221
0.843994,-0.37207,0.22168,-3.435115,-5.129771,1.022901
0.817383,-0.296875,0.234131,-7.114504,-8.267176,-0.274809
0.848389,-0.302734,0.252197,-9.526717,-10.083969,-5.694656
0.850342,-0.302979,0.255127,-12.038168,-14.351145,-8.862596
0.89624,-0.283691,0.23291,-14.442748,-16.893129,-8.396947
0.893799,-0.290527,0.236328,-17.328245,-19.946566,-7.427481
0.861328,-0.379883,0.205811,-15.687023,-26.473282,-7.923664
0.866455,-0.398438,0.136963,-11.480916,-30.236641,-24.259542
0.848877,-0.395996,0.071045,-7.343512,-33.167938,-25.625954
0.929688,-0.474121,0.032471,-0.854962,-32.061069,-25.145039
0.925049,-0.447998,-0.055176,10.687023,-34.068703,-30.648855
1.002686,-0.443604,-0.119629,21.160305,-32.167938,-36.312977
1.147217,-0.424561,-0.139893,28.068703,-23.312977,-42.519085
1.280273,-0.395752,-0.072754,30.251909,-10.022901,-41.709923
1.250977,-0.327148,0.047852,30.541985,0.412214,-38.183205
1.179688,-0.288818,0.111572,25.862595,6.259542,-32.786259
1.141357,-0.243408,0.216797,16.770992,16.015266,-33.9771
1.010742,-0.235596,0.346924,6.610687,18.70229,-35.633587
0.823486,-0.236084,0.417236,2.656489,2.282443,-32.770992
0.830078,-0.326172,0.398193,0.801527,-12.717557,-28.946566
0.79126,-0.312256,0.257324,4.473282,-30.045801,-30.458015
1.007568,-0.191162,0.057861,4.610687,-30.801527,-27.259542
1.15332,-0.175049,0.001953,-1.320611,-13.206107,-26.954199
1.004883,-0.283203,0.131348,-11.129771,6.648855,-32.282444
0.815674,-0.312012,0.247314,-13.610687,1.183206,-37.870228
0.921631,-0.313965,0.249756,-12.122137,-12.366412,-27.877863
1.058594,-0.270996,0.152588,-6.70229,-20.290077,-21.625954
1.16626,-0.22583,0.042236,-1.89313,-17.389313,-16.259542
1.209717,-0.18335,-0.020508,-2.534351,-9.21374,-15.328244
1.13916,-0.201416,0.01709,-4.641222,-1.129771,-16.778625
1.064453,-0.220459,0.096191,-5.847328,1.801527,-19.083969
1.014893,-0.207275,0.161133,-6.282443,1.236641,-20.80916
0.985596,-0.213135,0.213867,-7.419847,-1.656489,-21.358778
0.935547,-0.183594,0.228027,-8.702291,-6.961832,-20.450382
0.932617,-0.241699,0.231445,-9.312977,-11.38168,-20.404581
0.993652,-0.122559,0.285889,-16.007633,-11.549619,-21.259542
