xacc,yacc,zacc,xgyro,ygyro,zgyro
1.017822,-0.074463,0.016602,-0.854962,19.938931,-40.580154
1.053467,-0.054443,0.011963,-2.458015,20.625954,-38.091602
1.056885,-0.071533,0.018066,-3.129771,21.816793,-35.648853
1.066895,-0.080322,0.028320,-2.916031,23.755726,-32.870228
1.062988,-0.083252,0.030762,-2.854962,25.541985,-30.320610
1.052490,-0.096436,0.040771,-2.717557,26.488550,-28.213741
1.024414,-0.111328,0.052979,-2.381679,27.374046,-26.320610
1.005859,-0.112061,0.057617,-1.297710,26.641222,-25.679390
1.002197,-0.125977,0.073486,-0.793893,25.099237,-26.519083
1.002930,-0.137451,0.063721,-0.717557,23.236641,-28.045801
0.992676,-0.138184,0.061523,0.167939,21.419847,-30.687023
0.980469,-0.145020,0.056885,0.335878,19.145039,-34.015266
0.983154,-0.135498,0.058105,0.122137,17.541985,-37.297710
1.003174,-0.141846,0.054932,0.351145,16.671755,-40.748093
1.022217,-0.143799,0.058105,1.419847,15.954199,-45.236641
1.015381,-0.137451,0.057861,2.519084,14.931297,-48.335876
1.011475,-0.120117,0.056641,2.717557,14.702291,-50.244274
1.005615,-0.110352,0.052979,1.618321,14.916031,-50.564884
1.019287,-0.101074,0.043701,-0.519084,15.175572,-50.229008
1.041748,-0.105225,0.037842,-0.992366,15.679389,-49.877861
1.068359,-0.101074,0.016846,-1.328244,16.961832,-48.946564
1.087646,-0.108887,0.024414,-1.816794,18.534351,-47.984734
1.066162,-0.103516,0.007324,-1.938931,20.305344,-45.343510
1.025635,-0.110596,0.010498,-2.320611,21.511450,-41.847328
1.020508,-0.116455,0.016602,-3.572519,22.137405,-39.160305
1.032227,-0.120605,0.017090,-4.809160,22.427481,-37.190838
1.035645,-0.137207,0.028320,-5.160306,22.519083,-37.068703
1.039307,-0.146729,0.039062,-5.145038,22.259542,-37.725189
1.048096,-0.158203,0.050781,-5.190840,22.167938,-38.839695
1.044678,-0.155762,0.059814,-5.389313,22.030535,-40.595421
1.037354,-0.156738,0.061279,-5.480916,21.862595,-42.106869
1.036865,-0.157227,0.072021,-5.587786,21.312977,-43.862595
1.040283,-0.157959,0.071289,-5.969466,20.366413,-46.198475
1.018799,-0.162354,0.069824,-5.679389,19.725191,-48.366413
0.993164,-0.156250,0.066895,-5.801527,18.809160,-50.992367
0.979004,-0.149170,0.074707,-5.969466,16.900763,-54.122139
0.978271,-0.140137,0.070068,-6.198473,14.763359,-56.717556
0.977539,-0.129150,0.054932,-6.198473,13.404580,-59.083969
1.004639,-0.110596,0.042725,-6.351145,12.916031,-60.854961
1.018555,-0.092773,0.027832,-7.022901,13.145039,-61.145039
1.001221,-0.071045,0.017090,-7.587786,12.992367,-59.679390
