xacc,yacc,zacc,xgyro,ygyro,zgyro
0.993896,-0.129883,0.183594,1.404580,20.290077,-67.251907
0.995850,-0.103271,0.171387,0.992366,19.984734,-69.450378
1.007080,-0.074951,0.175049,0.595420,19.893129,-68.885498
1.025391,-0.045654,0.164795,0.305344,20.473282,-65.969467
1.029541,-0.020508,0.168701,-0.015267,21.083969,-61.022900
1.032715,-0.008545,0.170654,-0.320611,21.450382,-54.671757
1.024170,-0.000977,0.175293,-0.961832,21.465649,-47.908398
1.006348,-0.005371,0.170166,-1.847328,21.053434,-41.725189
1.002930,-0.003662,0.169678,-2.549618,19.709923,-36.702290
1.018066,-0.018799,0.168457,-3.221374,18.854961,-33.816795
1.037109,-0.039551,0.175049,-3.770992,18.366413,-32.442749
1.051025,-0.057373,0.172852,-4.045802,18.717558,-33.190838
1.053711,-0.079834,0.169922,-4.458015,18.916031,-36.106869
1.057617,-0.089600,0.176270,-4.473282,19.175573,-40.244274
1.052002,-0.099365,0.177734,-4.610687,19.145039,-45.267174
1.054443,-0.097412,0.179199,-4.274809,19.145039,-50.137405
1.048340,-0.090576,0.178955,-3.893130,18.961832,-53.801525
1.059326,-0.077881,0.171143,-3.877863,19.083969,-56.320610
1.060791,-0.060059,0.170654,-3.755725,19.175573,-56.396946
1.057861,-0.047852,0.152588,-3.480916,19.740458,-55.251907
1.056641,-0.031006,0.157959,-3.587786,20.290077,-52.824429
1.062012,-0.020508,0.155029,-3.633588,20.580153,-49.450382
1.050781,-0.011963,0.158447,-3.908397,20.442749,-45.786259
1.047607,-0.014160,0.154541,-4.076336,20.809160,-42.580154
1.045410,-0.016113,0.156738,-4.137404,20.793894,-39.358780
1.044678,-0.027588,0.159668,-4.458015,20.916031,-37.022900
1.045166,-0.047607,0.161377,-4.213740,21.114504,-36.458015
1.047607,-0.062988,0.149170,-3.648855,21.465649,-37.221375
1.039551,-0.075439,0.168701,-2.335878,21.847328,-38.961834
1.041748,-0.079834,0.162109,-2.244275,22.106871,-41.526718
1.030029,-0.078857,0.168945,-1.862595,22.198473,-43.954197
1.028320,-0.062744,0.165771,-1.832061,22.244274,-46.061069
1.023926,-0.068359,0.156738,-1.893130,22.427481,-47.541985
1.022461,-0.057129,0.168701,-1.923664,22.305344,-48.320610
1.032471,-0.053711,0.176758,-2.061069,22.229008,-47.893131
1.036377,-0.054932,0.169189,-1.847328,22.366413,-46.702290
1.035889,-0.056152,0.175293,-1.969466,22.305344,-45.175571
1.043701,-0.053467,0.167480,-2.122137,22.152672,-43.557251
1.034180,-0.051758,0.174805,-1.908397,21.954199,-42.244274
1.035156,-0.061035,0.181885,-1.862595,21.770992,-41.725189
1.031494,-0.066650,0.181885,-2.259542,21.664122,-41.664124
1.043701,-0.069336,0.183105,-2.473282,22.091602,-42.122139
1.043213,-0.069092,0.174805,-2.106870,22.793894,-43.236641
1.034180,-0.077881,0.178711,-1.877863,22.885496,-44.137405
1.032471,-0.066650,0.173828,-1.954198,22.503817,-44.931297
1.031250,-0.059326,0.170166,-2.045802,22.030535,-46.259541
1.042725,-0.053467,0.177002,-1.648855,21.557251,-47.480915
1.044434,-0.052002,0.171387,-1.847328,21.282442,-48.427483
1.040527,-0.053955,0.177734,-1.801527,21.267176,-48.396946
1.042480,-0.050049,0.169922,-1.984733,21.801527,-47.694656
1.051270,-0.042969,0.159668,-2.427481,22.305344,-46.549618
1.048340,-0.050537,0.165527,-2.290076,23.114504,-45.129772
1.051025,-0.047119,0.166260,-2.290076,24.106871,-43.755726
1.049805,-0.052979,0.174072,-1.862595,25.007633,-42.641220
1.046631,-0.060791,0.176025,-1.694656,25.267176,-41.877861
1.044678,-0.062744,0.173340,-1.496183,25.572519,-41.435116
1.045410,-0.066406,0.193604,-1.328244,25.129770,-41.221375
1.040283,-0.064941,0.207520,-1.312977,24.824427,-41.450382
1.038330,-0.065918,0.201172,-1.114504,24.061069,-41.374046
1.041748,-0.071289,0.202393,-1.679389,23.175573,-42.213741
1.038818,-0.070557,0.204346,-2.351145,22.229008,-43.389313
1.042480,-0.076416,0.191650,-2.931298,21.221375,-45.114502
1.041504,-0.071533,0.192871,-3.160305,21.725191,-47.236641
1.039307,-0.072510,0.177490,-3.206107,21.603054,-48.656490
1.031006,-0.064697,0.170654,-3.038168,21.862595,-49.740459
1.025391,-0.059814,0.164551,-2.763359,22.183207,-49.832062
1.027344,-0.056641,0.162354,-2.274809,22.412214,-48.824429
1.025879,-0.050537,0.166992,-2.106870,22.519083,-47.648853
1.022461,-0.046143,0.173584,-1.786260,22.381680,-45.954197
1.022705,-0.039551,0.176758,-1.755725,22.274809,-44.396946
1.028564,-0.037354,0.187744,-1.832061,22.045801,-43.267174
1.027588,-0.041260,0.186035,-2.305344,21.694656,-41.984734
1.022217,-0.042969,0.177490,-2.229008,21.465649,-41.633587
1.031494,-0.046387,0.184082,-2.885496,21.206106,-41.664124
1.030762,-0.044922,0.179443,-2.992366,21.404581,-42.137405
1.039307,-0.047363,0.176758,-3.022901,21.419847,-42.595421
1.039062,-0.051025,0.183350,-3.129771,21.770992,-43.022900
1.046143,-0.047607,0.177490,-3.038168,22.137405,-43.786259
1.042725,-0.046143,0.172607,-2.931298,22.534351,-44.045803
1.054932,-0.048584,0.173828,-2.595420,22.671755,-44.458015
1.052734,-0.045166,0.173340,-2.290076,22.961832,-44.610687
1.056641,-0.048340,0.177246,-2.091603,23.404581,-44.488548
1.057129,-0.044922,0.185791,-2.305344,23.419847,-44.809162
1.053711,-0.045166,0.179688,-2.061069,23.557251,-44.992367
1.047607,-0.050781,0.182617,-2.320611,23.694656,-45.068703
1.046631,-0.053467,0.186279,-2.167939,23.755726,-45.221375
1.038818,-0.055176,0.195557,-2.030534,23.389313,-45.175571
1.033691,-0.044434,0.194092,-2.061069,23.022902,-44.824429
1.031006,-0.045410,0.201660,-2.000000,22.717558,-44.335876
1.036865,-0.052734,0.205811,-1.740458,22.748091,-43.923664
1.035156,-0.050537,0.188721,-1.206107,22.656488,-43.114502
1.038818,-0.040039,0.190674,-1.374046,22.793894,-42.519085
1.036377,-0.044189,0.199707,-1.007634,22.931297,-42.122139
1.022705,-0.033447,0.185547,-1.450382,22.442749,-41.725189
1.012695,-0.040283,0.179199,-2.137405,21.083969,-41.206108
1.008789,-0.048096,0.188232,-2.503817,19.664122,-40.687023
1.014160,-0.052979,0.184326,-2.519084,19.343512,-40.564884
1.030273,-0.057861,0.174805,-2.717557,19.648855,-40.748093
1.033936,-0.055664,0.175293,-2.534351,20.152672,-41.343510
1.031250,-0.065674,0.182373,-2.320611,20.793894,-42.412212
1.028809,-0.066162,0.186523,-2.427481,20.793894,-43.297710
1.027344,-0.066895,0.186768,-2.717557,20.366413,-44.198475
1.022217,-0.061523,0.198486,-2.732824,19.862595,-45.190838
1.029541,-0.059326,0.192871,-3.236641,19.053434,-46.091602
1.041504,-0.062988,0.180420,-3.297710,18.366413,-47.053436
1.048584,-0.064209,0.193359,-3.145038,18.198473,-47.923664
1.043213,-0.059326,0.191650,-3.053435,18.167938,-49.145039
1.045410,-0.065186,0.185791,-2.916031,18.396946,-50.274811
1.045898,-0.058838,0.181152,-2.687023,18.473282,-50.961834
1.040527,-0.051025,0.186279,-3.053435,18.916031,-50.977100
1.037109,-0.048096,0.191895,-3.175573,19.389313,-51.236641
1.037109,-0.041260,0.176758,-3.343511,19.709923,-50.366413
1.035645,-0.038086,0.185059,-3.282443,20.290077,-48.793892
1.038818,-0.026855,0.179443,-3.389313,20.564886,-47.083969
1.040771,-0.029053,0.180664,-3.282443,20.442749,-45.145039
1.041992,-0.034912,0.183594,-3.083969,20.213741,-44.122139
1.046143,-0.036377,0.185303,-3.022901,20.030535,-43.297710
1.046143,-0.038086,0.182129,-2.748092,19.862595,-42.702290
1.046875,-0.043213,0.183838,-2.488550,19.954199,-43.221375
1.055664,-0.048096,0.171143,-2.274809,20.366413,-43.603054
1.049805,-0.041016,0.169434,-2.152672,21.145039,-44.564884
1.056885,-0.044434,0.172852,-2.030534,21.603054,-45.282444
1.055176,-0.040039,0.166016,-2.183206,21.862595,-46.259541
1.053955,-0.041504,0.178223,-1.969466,22.061069,-47.068703
1.051514,-0.031250,0.182373,-2.091603,22.045801,-47.404579
1.046143,-0.026855,0.187012,-2.076336,22.198473,-47.114502
1.046631,-0.030518,0.187012,-1.954198,22.000000,-46.076336
1.040771,-0.025879,0.184814,-1.740458,22.244274,-44.717556
1.037842,-0.027344,0.182129,-1.832061,22.244274,-43.267174
1.033203,-0.020508,0.185303,-1.877863,22.824427,-42.137405
1.028564,-0.021240,0.194824,-2.137405,22.656488,-40.809162
1.030273,-0.020996,0.195801,-2.320611,22.427481,-39.740459
1.025879,-0.031494,0.196289,-2.839695,22.045801,-39.175571
1.025879,-0.033203,0.184326,-2.778626,21.877863,-39.587788
1.045166,-0.040039,0.187744,-2.458015,22.152672,-39.633587
1.042969,-0.045898,0.183594,-2.259542,23.068703,-40.244274
1.033936,-0.048096,0.177734,-2.305344,23.496183,-40.351147
1.032471,-0.054199,0.182617,-2.396947,23.190840,-40.854961
1.022949,-0.053467,0.185791,-2.427481,22.732824,-40.961834
1.021240,-0.061035,0.185303,-2.671756,21.832062,-41.374046
1.020752,-0.065918,0.182373,-2.625954,20.549618,-41.908398
1.026611,-0.064941,0.174561,-2.366412,20.259542,-42.305344
1.041504,-0.070801,0.177002,-2.000000,19.938931,-43.282444
1.047852,-0.066406,0.174561,-1.786260,20.687023,-44.366413
1.047607,-0.060547,0.183594,-1.725191,21.557251,-45.725189
1.047119,-0.053711,0.186768,-2.045802,22.320610,-46.763359
1.034424,-0.046143,0.196289,-2.213740,22.183207,-47.511452
1.028320,-0.044922,0.196777,-2.351145,21.541985,-47.465649
1.021973,-0.037109,0.196777,-2.625954,20.763359,-47.114502
1.019531,-0.035400,0.197754,-2.885496,19.221375,-46.335876
1.023682,-0.036621,0.200928,-3.145038,18.396946,-45.236641
1.031494,-0.036133,0.196045,-3.251908,18.076336,-44.030533
1.041260,-0.036377,0.181396,-3.297710,18.503817,-42.992367
1.044434,-0.039795,0.176025,-3.038168,19.038168,-42.396946
1.060059,-0.041016,0.166992,-3.038168,20.412214,-42.427483
1.055420,-0.049072,0.169678,-2.717557,21.603054,-42.992367
1.055664,-0.054199,0.173584,-2.412214,22.229008,-43.572517
1.049072,-0.049072,0.176270,-2.137405,22.473282,-44.045803
1.042480,-0.052490,0.194580,-2.259542,22.320610,-44.137405
1.029053,-0.045654,0.193115,-1.801527,21.511450,-44.061069
1.027832,-0.044678,0.187500,-1.847328,20.900763,-43.755726
1.037109,-0.040283,0.196045,-1.832061,20.198473,-43.633587
1.040039,-0.040527,0.202148,-1.969466,19.923664,-43.526718
1.045410,-0.041016,0.183594,-1.938931,20.106871,-43.419846
1.050781,-0.036621,0.193604,-1.984733,20.458015,-43.801525
1.043701,-0.039307,0.188965,-2.152672,20.946566,-43.786259
1.040527,-0.040771,0.179688,-2.122137,21.282442,-43.618320
1.047607,-0.039795,0.183594,-1.725191,21.221375,-43.618320
1.042969,-0.044922,0.195312,-1.450382,21.419847,-43.374046
1.040527,-0.041016,0.184814,-1.145038,21.816793,-42.961834
1.043945,-0.042480,0.190430,-1.068702,21.832062,-42.488548
1.036133,-0.041016,0.192871,-0.916031,22.198473,-42.427483
1.037109,-0.039795,0.189453,-1.145038,22.305344,-42.183205
1.036865,-0.041748,0.190186,-1.160305,22.549618,-42.030533
1.037598,-0.032959,0.181152,-1.175573,22.687023,-42.030533
1.044678,-0.032471,0.185791,-1.450382,22.534351,-42.320610
1.049072,-0.036621,0.186768,-1.190840,23.129770,-42.564884
1.056152,-0.044189,0.189697,-1.557252,23.770992,-42.473282
1.051758,-0.041016,0.186279,-1.633588,24.244274,-42.717556
1.039062,-0.035400,0.187988,-1.633588,24.167938,-42.732826
1.040771,-0.043457,0.178467,-2.030534,23.694656,-42.656490
1.034668,-0.043457,0.196289,-2.351145,22.900763,-42.427483
1.026855,-0.047852,0.195312,-2.274809,21.832062,-42.351147
1.024902,-0.046875,0.188477,-2.106870,21.480917,-42.045803
1.020996,-0.044189,0.197510,-2.061069,20.885496,-41.938931
1.028809,-0.048828,0.188477,-2.152672,20.564886,-42.290077
1.031006,-0.051025,0.198730,-2.061069,20.671755,-42.427483
1.030273,-0.049561,0.186279,-1.786260,20.900763,-42.977100
1.019287,-0.050049,0.183105,-2.290076,20.656488,-43.389313
1.021729,-0.046631,0.192139,-2.503817,19.587786,-43.129772
1.020508,-0.046143,0.191650,-2.458015,19.145039,-43.572517
1.036377,-0.039795,0.186279,-2.564885,19.236641,-43.603054
1.052490,-0.048340,0.190674,-2.610687,20.045801,-44.122139
1.055664,-0.051270,0.185059,-2.274809,21.328245,-44.427483
1.045410,-0.042480,0.186279,-2.442748,21.450382,-44.366413
1.039307,-0.045166,0.189453,-2.458015,21.694656,-44.671757
1.036865,-0.033691,0.187744,-2.687023,21.129770,-43.984734
1.026123,-0.022461,0.187256,-2.900763,20.732824,-43.282444
1.029541,-0.014160,0.173340,-2.809160,20.305344,-42.305344
1.036865,-0.005127,0.175537,-2.290076,20.503817,-40.916031
1.037598,-0.005859,0.176514,-1.740458,21.404581,-38.183205
1.049316,0.000488,0.173340,-1.022901,22.824427,-34.946564
1.052979,-0.010254,0.182861,-0.977099,24.290077,-31.648855
1.054932,-0.014893,0.190918,-0.824427,25.190840,-28.564886
1.049805,-0.026611,0.197266,-0.702290,25.709923,-26.519083
1.052246,-0.047852,0.217041,-0.931298,25.862595,-25.389313
1.041260,-0.063477,0.212646,-1.664122,25.251909,-25.679390
1.037598,-0.072266,0.211914,-2.198473,23.847328,-27.007633
1.031494,-0.091309,0.222900,-3.099237,22.213741,-29.374046
1.025635,-0.107910,0.222656,-4.000000,20.549618,-32.244274
1.032471,-0.122803,0.211182,-4.290076,19.282442,-35.908398
1.022705,-0.126953,0.201660,-3.954198,18.778625,-39.450382
1.030029,-0.133057,0.201416,-3.099237,18.931297,-43.480915
1.040527,-0.125000,0.179199,-2.458015,19.419847,-47.129772
1.034912,-0.120361,0.186768,-1.893130,20.595419,-50.381680
1.036133,-0.099121,0.179932,-1.954198,21.480917,-52.809162
1.040283,-0.089844,0.185303,-1.801527,22.259542,-54.381680
1.039551,-0.072021,0.195068,-1.954198,22.687023,-54.824429
1.038818,-0.061035,0.202881,-2.091603,22.290077,-54.351147
1.039551,-0.057373,0.203125,-2.335878,21.755726,-52.916031
1.031494,-0.045166,0.199951,-2.564885,20.900763,-50.625954
1.023926,-0.038818,0.203613,-2.458015,20.030535,-48.045803
1.030518,-0.041748,0.205078,-2.198473,19.312977,-45.603054
1.030273,-0.045166,0.197021,-2.000000,18.671755,-43.267174
1.031006,-0.044434,0.193604,-2.076336,18.244274,-41.572517
1.031738,-0.052002,0.196045,-2.458015,17.938931,-41.099236
1.042725,-0.057617,0.195312,-2.305344,18.015266,-40.946564
1.051270,-0.061035,0.188232,-2.122137,18.488550,-41.847328
1.058105,-0.064941,0.190430,-1.893130,18.931297,-42.732826
1.056152,-0.071289,0.185791,-1.572519,20.106871,-43.862595
1.065674,-0.070312,0.178467,-1.358779,21.251909,-45.083969
1.055908,-0.068359,0.197754,-1.450382,22.152672,-45.801525
1.046387,-0.062744,0.193604,-1.450382,22.442749,-46.213741
1.032715,-0.062256,0.203613,-1.618321,21.694656,-46.106869
1.022217,-0.059326,0.202393,-1.923664,20.732824,-45.893131
1.018555,-0.052246,0.207520,-2.290076,19.435114,-45.221375
1.025879,-0.061279,0.202148,-2.274809,18.335878,-45.190838
1.031250,-0.059082,0.204102,-2.213740,17.938931,-44.992367
1.039551,-0.057373,0.187012,-1.877863,18.259542,-44.885498
1.045410,-0.057861,0.183105,-1.801527,19.129770,-44.732826
1.042969,-0.056885,0.178223,-1.664122,19.984734,-44.641220
1.057617,-0.049805,0.182129,-1.740458,21.053434,-44.396946
1.050049,-0.053223,0.179932,-2.000000,21.633587,-44.641220
1.049561,-0.055420,0.177734,-1.938931,22.778625,-44.381680
1.042480,-0.052979,0.195312,-2.198473,23.022902,-44.519085
