time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1388870067,1.1274414062,0.2365722656,-0.1040039062,-2.3358778954, 3.0839693546, -1.4809160233
1388880067,1.1186523438,0.2382812500,-0.1030273438,-2.2290077209, 2.7328243256, -0.9923664331
1388890067,1.1269531250,0.2343750000,-0.0910644531,-1.9389313459, 2.3664121628, -0.8549618125
1388900067,1.1232910156,0.2326660156,-0.0986328125,-1.9541984797, 1.8625954390, -0.9160305262
1388910067,1.1284179688,0.2294921875,-0.0847167969,-2.2290077209, 1.4809160233, -1.6335878372
1388920067,1.1235351562,0.2321777344,-0.0935058594,-2.5038168430, 0.8549618125, -1.8320610523
1388930067,1.1306152344,0.2341308594,-0.0937500000,-2.6717557907, 1.1297709942, -1.7709923983
1388940067,1.1257324219,0.2377929688,-0.0996093750,-2.5801527500, 1.7862595320, -1.5725190639
1388950067,1.1230468750,0.2358398438,-0.0925292969,-2.5648853779, 1.5419846773, -0.8549618125
1388960067,1.1201171875,0.2380371094,-0.0895996094,-2.2595419884, 1.4656488895, -0.4427480996
1388970067,1.1159667969,0.2299804688,-0.0910644531,-1.8625954390, 1.6335878372, -0.5954198241
1388980067,1.1232910156,0.2304687500,-0.0849609375,-1.8778625727, 1.4809160233, -0.5648854971
1388990067,1.1232910156,0.2287597656,-0.0832519531,-1.3282443285, 1.2824426889, -1.0992366076
1389000067,1.1264648438,0.2285156250,-0.0822753906,-1.7251908779, 1.0687023401, -1.5267175436
1389010125,1.1250000000,0.2265625000,-0.0981445312,-1.5725190639, 1.0687023401, -2.6106870174
1389020067,1.1271972656,0.2319335938,-0.0881347656,-1.5877863169, 1.4961831570, -3.4961831570
1389030067,1.1191406250,0.2387695312,-0.0993652344,-1.6946564913, 1.3587785959, -3.2213740349
1389040067,1.1232910156,0.2377929688,-0.0961914062,-1.9847328663, 1.7404580116, -2.5648853779
1389050067,1.1191406250,0.2324218750,-0.1005859375,-1.8320610523, 1.7251908779, -1.6641221046
1389060067,1.1323242188,0.2348632812,-0.0964355469,-1.7709923983, 1.6183205843, -1.3587785959
1389070067,1.1115722656,0.2243652344,-0.1081542969,-0.9007633328, 1.1603053808, -2.9312977791
1389080067,1.1372070312,0.2414550781,-0.1003417969,-0.7328244448, 1.9847328663, -3.7251908779
1389090067,1.1118164062,0.2377929688,-0.0979003906,-0.5038167834, 2.1221373081, -2.9618320465
1389100067,1.1230468750,0.2414550781,-0.0898437500,-0.5038167834, 3.1908397675, -1.5725190639
1389110067,1.1337890625,0.2382812500,-0.0861816406,-0.7938931584, 2.4427480698, 0.8549618125
1389120067,1.1198730469,0.2233886719,-0.0856933594,-1.6030534506, 2.0610687733, -1.7404580116
1389130067,1.1235351562,0.2456054688,-0.0852050781,-1.4351145029, 2.5801527500, 0.2442748100
1389140067,1.1186523438,0.2285156250,-0.0932617188,-1.3893129826, 2.3664121628, -1.2824426889
1389150067,1.1198730469,0.2126464844,-0.0871582031,-1.4656488895, 2.0152671337, -4.3969464302
1389160067,1.1225585938,0.2299804688,-0.0917968750,-1.4961831570, 2.1374046803, -5.0839695930
1389170067,1.1276855469,0.2326660156,-0.0910644531,-1.4809160233, 3.1450381279, -3.7709922791
1389180067,1.1335449219,0.2341308594,-0.0842285156,-1.0381679535, 4.2137403488, -2.2595419884
1389190067,1.1328125000,0.2326660156,-0.0969238281,-0.9465649128, 3.6183207035, -1.9389313459
1389200067,1.1406250000,0.2343750000,-0.0981445312,-0.5343511701, 2.5496182442, -2.3053436279
1389210067,1.1340332031,0.2409667969,-0.1105957031,-0.3969465792, 2.3969466686, -2.3664121628
1389220067,1.1279296875,0.2438964844,-0.1083984375,-0.4427480996, 2.4580152035, -2.0458016396
1389230067,1.1191406250,0.2490234375,-0.1025390625,-0.8396946788, 2.4274809361, -1.3282443285
1389240067,1.1223144531,0.2329101562,-0.0959472656,-1.0076335669, 2.5190839767, -1.2061069012
1389250067,1.1215820312,0.2426757812,-0.1015625000,-1.1908396482, 3.0076336861, -1.2977099419
1389260067,1.1191406250,0.2443847656,-0.0861816406,-1.2671755552, 3.1145038605, -0.8091602921
1389270067,1.1188964844,0.2333984375,-0.0820312500,-1.2061069012, 3.0229008198, -0.9465649128
1389280067,1.1271972656,0.2314453125,-0.0852050781,-0.9618320465, 2.8091602325, -0.9160305262
1389290067,1.1303710938,0.2326660156,-0.0810546875,-0.6106870174, 2.5496182442, -0.8244274855
1389300067,1.1296386719,0.2287597656,-0.0905761719,-0.5801526904, 2.5801527500, -0.7633587718
1389310067,1.1228027344,0.2382812500,-0.0910644531,-1.0381679535, 2.3816792965, -0.5801526904
1389320067,1.1269531250,0.2280273438,-0.0847167969,-1.3893129826, 2.0610687733, -0.6412213445
1389330067,1.1406250000,0.2299804688,-0.0822753906,-1.8167939186, 1.9236640930, 0.0763358772
1389340067,1.1386718750,0.2360839844,-0.0849609375,-1.9541984797, 1.4656488895, 0.9618320465
1389350067,1.1330566406,0.2272949219,-0.0947265625,-1.9694656134, 0.7022900581, 0.3969465792
1389360067,1.1184082031,0.2324218750,-0.0876464844,-2.0000000000, 0.2442748100, 0.2595419884
1389370067,1.1230468750,0.2319335938,-0.0878906250,-2.1374046803, 0.6412213445, 0.7786259651
1389380067,1.1276855469,0.2316894531,-0.0947265625,-1.8625954390, 0.8244274855, 0.6412213445
1389390067,1.1286621094,0.2294921875,-0.0854492188,-1.5877863169, 0.8549618125, -0.7938931584
1389400067,1.1259765625,0.2409667969,-0.0881347656,-1.3740458488, 0.8854961991, -2.0763359070
1389410067,1.1225585938,0.2419433594,-0.0930175781,-1.0381679535, 0.8854961991, -3.3740458488
1389420067,1.1330566406,0.2375488281,-0.1020507812,-0.4885496199, 1.2213740349, -4.2748093605
1389430067,1.1296386719,0.2397460938,-0.0925292969,-0.0763358772, 1.7557251453, -4.7175574303
1389440067,1.1420898438,0.2451171875,-0.0895996094,0.0610687025, 1.9389313459, -3.6335878372
1389450067,1.1293945312,0.2341308594,-0.0883789062,0.1221374050, 2.6564886570, -2.8702290058
1389460067,1.1296386719,0.2370605469,-0.0778808594,-0.3206106722, 3.0229008198, -2.4427480698
1389470067,1.1250000000,0.2163085938,-0.0722656250,-0.8396946788, 2.4732823372, -3.0076336861
1389480215,1.1230468750,0.2216796875,-0.0693359375,-1.2519084215, 1.6030534506, -4.9007635117
1389490067,1.1147460938,0.2260742188,-0.0764160156,-1.9694656134, 0.4122137427, -6.0152673721
1389500067,1.1101074219,0.2368164062,-0.0791015625,-2.3511450291, -0.2442748100, -6.0305342674
1389510067,1.1035156250,0.2529296875,-0.0827636719,-2.5343511105, 0.0000000000, -4.4427480698
1389520067,1.1101074219,0.2460937500,-0.0932617188,-2.2595419884, 0.2748091519, -2.5954198837
1389530067,1.1154785156,0.2385253906,-0.0869140625,-2.2442748547, 0.3969465792, -1.3435114622
1389540067,1.1188964844,0.2336425781,-0.0952148438,-2.2290077209, 0.4885496199, -0.5954198241
1389550067,1.1274414062,0.2277832031,-0.0954589844,-1.7557251453, 0.6870229244, -0.8396946788
1389560067,1.1359863281,0.2304687500,-0.0969238281,-1.1908396482, 0.5648854971, -1.4351145029
1389570067,1.1311035156,0.2287597656,-0.0913085938,-0.7175572515, 0.7022900581, -2.7328243256
1389580067,1.1376953125,0.2333984375,-0.0871582031,0.2290076315, 1.3129770756, -5.0076336861
1389590067,1.1401367188,0.2404785156,-0.0705566406,0.9007633328, 1.1145038605, -8.3206110001
1389600067,1.1411132812,0.2407226562,-0.0666503906,1.8625954390, -0.5190839767, -10.4732828140
1389610067,1.1464843750,0.2321777344,-0.0771484375,1.9236640930, -1.2519084215, -10.3511447906
1389620067,1.1379394531,0.2133789062,-0.0642089844,0.9923664331, -1.6641221046, -10.1374044418
1389630067,1.1281738281,0.2163085938,-0.0727539062,0.2595419884, -2.7175571918, -10.7786254883
1389640067,1.0852050781,0.2087402344,-0.0778808594,0.2748091519, -3.1755726337, -12.0000000000
1389650067,1.0847167969,0.2365722656,-0.0671386719,0.0458015278, -2.5038168430, -12.4732828140
1389660067,1.0534667969,0.2565917969,-0.0654296875,-0.2442748100, -1.9236640930, -9.9847326279
1389670067,1.0607910156,0.2539062500,-0.0524902344,-0.0610687025, -2.1526718140, -8.5496187210
1389680067,1.0917968750,0.2392578125,-0.0500488281,0.0152671756, -4.5648856163, -5.6488547325
1389690067,1.1030273438,0.2343750000,-0.0759277344,0.0152671756, -7.2671756744, -8.1526718140
1389700067,1.1210937500,0.2287597656,-0.0905761719,0.6717557311, -8.6106872559, -9.6641225815
1389710067,1.1357421875,0.2363281250,-0.0930175781,1.4656488895, -8.7328243256, -11.1908397675
1389720067,1.1379394531,0.2338867188,-0.1030273438,2.8854961395, -8.8396949768, -14.8396949768
1389730067,1.1147460938,0.2375488281,-0.0954589844,3.9541983604, -9.0229005814, -16.9312973022
1389740067,1.1083984375,0.2561035156,-0.0900878906,4.6870226860, -8.4427480698, -15.2519083023
1389750067,1.0852050781,0.2478027344,-0.0922851562,5.6793894768, -7.0076336861, -12.5954198837
1389760067,1.0412597656,0.2255859375,-0.0498046875,7.1755723953, -7.1145038605, -11.3587789536
1389770067,1.0173339844,0.2250976562,-0.0241699219,8.0763359070, -10.4122133255, -11.5267171860
1389780067,1.0346679688,0.2165527344,-0.0041503906,8.7633590698, -15.4961833954, -14.1832065582
1389790067,1.0688476562,0.2028808594,-0.0073242188,8.5954198837, -20.7480907440, -16.4580154419
1389800067,1.0954589844,0.2055664062,-0.0395507812,7.5419845581, -25.5267181396, -20.1832065582
