time,xacc,yacc,zacc,xgyro,ygyro,zgyro
892120067,0.9699707031,0.4816894531,-0.3605957031,-0.8244274855, 2.4885497093, -1.4351145029
892130067,0.9677734375,0.4794921875,-0.3715820312,-1.0839694738, 2.0305342674, -1.2061069012
892140067,0.9697265625,0.4731445312,-0.3654785156,-0.7480915785, 1.4809160233, -1.2213740349
892150067,0.9675292969,0.4841308594,-0.3547363281,-0.9160305262, 0.6564885378, -1.6946564913
892160067,0.9765625000,0.4865722656,-0.3559570312,-0.9618320465, -0.4580152631, -1.1755725145
892170067,0.9750976562,0.4895019531,-0.3632812500,-1.0381679535, -1.5725190639, -1.0229008198
892180067,0.9711914062,0.4797363281,-0.3676757812,-1.2977099419, -2.3511450291, -1.4809160233
892190067,0.9709472656,0.4819335938,-0.3657226562,-1.5877863169, -2.9618320465, -2.4274809361
892200067,0.9807128906,0.4926757812,-0.3720703125,-1.8167939186, -3.3129770756, -3.4503817558
892210067,0.9858398438,0.4997558594,-0.3884277344,-1.6183205843, -3.4809160233, -4.0152673721
892220067,0.9838867188,0.5153808594,-0.3913574219,-2.0305342674, -3.1908397675, -3.6030533314
892230067,0.9836425781,0.5034179688,-0.3967285156,-1.9083969593, -2.4274809361, -3.5725190639
892240067,0.9714355469,0.4968261719,-0.3974609375,-2.1679389477, -1.0381679535, -4.1526718140
892250067,0.9570312500,0.4995117188,-0.4130859375,-2.5343511105, 0.9618320465, -3.8625953197
892260067,0.9492187500,0.4975585938,-0.4106445312,-2.4274809361, 2.7633588314, -2.7938930988
892270067,0.9394531250,0.4997558594,-0.4025878906,-2.2748091221, 4.2137403488, -1.2671755552
892280067,0.9487304688,0.4985351562,-0.3903808594,-1.7709923983, 4.8091602325, -0.3206106722
892290067,0.9379882812,0.4907226562,-0.3837890625,-1.6335878372, 4.9007635117, -0.0458015278
892300067,0.9484863281,0.4985351562,-0.3791503906,-1.8778625727, 3.9694657326, -0.2900763452
892310067,0.9501953125,0.4997558594,-0.3569335938,-1.7404580116, 2.7022900581, -0.9465649128
892320067,0.9577636719,0.4987792969,-0.3559570312,-1.9236640930, 1.1755725145, -1.6335878372
892330067,0.9604492188,0.5080566406,-0.3479003906,-1.9847328663, 0.2442748100, -2.1526718140
892340067,0.9707031250,0.5087890625,-0.3627929688,-2.2900762558, 0.0763358772, -2.4732823372
892350067,0.9721679688,0.5075683594,-0.3630371094,-1.9236640930, -0.0763358772, -2.8091602325
892360067,0.9748535156,0.5124511719,-0.3674316406,-1.8473281860, 0.1526717544, -2.6564886570
