xacc,yacc,zacc,xgyro,ygyro,zgyro
1.039062,0.019775,0.023193,-1.740458,-0.473282,-3.122137
1.041504,0.025635,0.034424,-1.687023,-0.839695,-2.969466
1.038818,0.024414,0.028809,-2.007634,-1.068702,-3.21374
1.041748,0.017578,0.032959,-1.862595,-1.328244,-3.007634
1.039062,0.017822,0.03125,-2.030534,-1.343511,-2.412214
1.045898,0.020752,0.031738,-2.10687,-1.473282,-2.358779
1.048096,0.018799,0.031494,-2.114504,-1.59542,-2.038168
1.046875,0.019287,0.032471,-2.160305,-1.473282,-1.572519
1.04541,0.019531,0.030029,-2.122137,-1.465649,-1.832061
1.040771,0.020752,0.024658,-1.954198,-1.389313,-1.931298
1.042725,0.021973,0.028076,-2.030534,-0.984733,-2.015267
1.042969,0.021973,0.029785,-1.816794,-0.748092,-2.152672
1.046875,0.019531,0.031494,-2.022901,-0.557252,-1.793893
1.046875,0.017334,0.026611,-2.10687,-0.78626,-1.618321
1.047363,0.017822,0.015137,-1.961832,-0.763359,-1.450382
1.017334,0.013428,0.020508,-1.755725,-1.0,-2.793893
1.080322,0.028809,0.01709,-2.053435,0.274809,-0.770992
1.041992,0.008545,0.031738,-1.977099,-0.175573,-2.068702
1.026367,0.014648,0.037109,-2.19084,-0.870229,-1.824427
1.030518,0.01709,0.023682,-1.969466,-0.465649,-3.129771
1.047852,0.016357,0.037354,-1.923664,-1.10687,-2.48855
1.045166,0.026855,0.023193,-1.625954,-1.496183,-2.946565
1.049561,0.025146,0.019531,-1.854962,-0.748092,-2.450382
1.040527,0.022461,0.028564,-2.114504,-0.694656,-2.10687
1.045898,0.019043,0.023438,-2.137405,-1.259542,-2.351145
1.045166,0.018311,0.026611,-2.358779,-0.984733,-2.374046
1.044678,0.017578,0.026123,-2.038168,-0.656489,-2.007634
1.037109,0.016846,0.030762,-1.89313,-1.007634,-2.030534
1.048828,0.022217,0.029053,-1.969466,-0.801527,-1.687023
1.044678,0.021729,0.029053,-2.137405,-0.412214,-1.938931
1.045654,0.018311,0.024414,-1.954198,-0.358779,-1.946565
1.041748,0.023682,0.016602,-1.89313,-0.160305,-2.030534
1.039551,0.020996,0.030762,-1.80916,-0.10687,-1.625954
1.040527,0.016846,0.026123,-2.038168,-0.129771,-1.946565
1.039795,0.017822,0.035889,-1.908397,-0.366412,-2.030534
1.043701,0.024414,0.029541,-1.847328,-0.763359,-1.572519
1.04126,0.016846,0.02832,-1.954198,-0.732824,-1.473282
1.044678,0.022949,0.022217,-2.10687,-0.503817,-1.160305
1.035156,0.020508,0.030518,-2.335878,-0.603053,-1.076336
1.037354,0.018066,0.028076,-2.053435,-0.717557,-1.290076
1.035156,0.018799,0.026611,-2.137405,-0.870229,-1.557252
1.043213,0.015869,0.021484,-2.061069,-0.572519,-1.954198
1.0354,0.017334,0.022461,-2.061069,-0.480916,-2.312977
1.041504,0.02124,0.025391,-2.145038,-0.358779,-2.48855
1.036133,0.025146,0.029541,-2.083969,-0.236641,-2.618321
1.036377,0.02002,0.034912,-2.076336,-0.274809,-2.587786
1.03418,0.016602,0.030762,-2.221374,-0.694656,-2.251908
1.043945,0.021973,0.026367,-2.160305,-0.732824,-2.282443
1.044434,0.020508,0.028809,-2.061069,-0.954198,-2.366412
1.042969,0.021484,0.021973,-2.236641,-0.877863,-2.343511
1.040771,0.01709,0.027588,-2.022901,-0.793893,-2.274809
1.039307,0.015625,0.032227,-2.114504,-1.145038,-2.068702
1.038086,0.020508,0.024414,-2.122137,-0.641221,-2.038168
1.040283,0.023438,0.030029,-2.076336,-0.801527,-2.061069
1.045166,0.013916,0.026855,-1.954198,-0.908397,-2.282443
1.041748,0.019775,0.022461,-2.007634,-0.480916,-2.259542
1.045654,0.016113,0.023438,-2.175573,-0.458015,-2.251908
1.041748,0.014648,0.028076,-2.030534,-0.21374,-2.145038
1.041016,0.020264,0.025879,-2.198473,-0.320611,-2.099237
1.036865,0.02124,0.02124,-1.946565,-0.427481,-1.80916
1.041016,0.021484,0.030273,-2.19084,-0.51145,-1.984733
1.044434,0.018311,0.031006,-2.206107,-0.396947,-1.992366
1.035889,0.02417,0.0271,-2.29771,-0.51145,-2.022901
1.04834,0.01709,0.031494,-2.129771,-0.427481,-1.80916
1.045166,0.016846,0.025635,-2.29771,-0.366412,-2.068702
1.035889,0.021729,0.025879,-2.129771,-0.335878,-2.007634
1.044678,0.024414,0.036377,-2.137405,-0.389313,-1.946565
1.043213,0.020752,0.025635,-2.274809,-0.19084,-1.80916
1.04126,0.022461,0.026611,-2.328244,-0.083969,-1.862595
1.040283,0.017822,0.027832,-2.328244,-0.045802,-1.541985
1.037598,0.021484,0.035156,-2.351145,-0.21374,-1.442748
1.037109,0.017822,0.029053,-2.21374,-0.236641,-1.854962
1.039795,0.020996,0.026855,-2.137405,-0.458015,-2.083969
1.036133,0.020508,0.034424,-2.183206,-0.503817,-2.160305
1.044678,0.022705,0.029541,-2.183206,-0.29771,-1.885496
1.040283,0.020508,0.021973,-2.145038,-0.183206,-2.137405
1.0354,0.015137,0.0271,-2.259542,-0.251908,-1.89313
1.044678,0.019531,0.03125,-2.145038,-0.068702,-1.870229
1.047363,0.015625,0.026611,-2.175573,-0.068702,-1.839695
1.046875,0.017334,0.023926,-2.175573,0.099237,-1.961832
1.047852,0.018799,0.019287,-2.137405,0.312977,-1.992366
1.048584,0.017578,0.033936,-2.381679,0.381679,-1.274809
1.015869,0.01416,0.036377,-2.244275,-0.206107,-2.770992
1.015381,0.015625,0.030518,-2.152672,-0.633588,-3.625954
1.059814,0.024902,0.0354,-2.137405,-0.709924,-2.366412
1.063477,0.021729,0.02002,-2.221374,-0.618321,-1.007634
1.01001,0.019287,0.022461,-2.175573,-0.358779,-2.496183
1.046875,0.023682,0.033203,-2.549618,0.29771,0.625954
1.031982,0.012939,0.050293,-2.312977,-0.145038,-0.427481
1.021484,0.019043,0.037354,-2.19084,-0.89313,-1.091603
1.031982,0.019531,0.0354,-2.099237,-1.496183,-2.091603
1.033691,0.024658,0.039062,-2.030534,-2.320611,-2.656489
1.044922,0.021484,0.023193,-2.045802,-2.19084,-3.40458
1.050293,0.017334,0.023193,-2.068702,-1.206107,-3.801527
1.038086,0.018555,0.026855,-1.977099,-0.908397,-3.778626
1.044678,0.021484,0.034668,-2.083969,-1.251908,-3.503817
1.052246,0.022217,0.021973,-2.259542,-1.045802,-3.335878
1.039307,0.025146,0.02832,-2.145038,-0.740458,-2.664122
1.047607,0.023193,0.021973,-2.122137,-0.89313,-2.618321
1.048828,0.019775,0.037354,-1.89313,-0.740458,-2.473282
1.048096,0.02002,0.02124,-2.10687,-0.015267,-2.473282
1.042725,0.021484,0.034912,-2.022901,0.282443,-1.984733
1.036377,0.018555,0.04126,-2.152672,-0.114504,-1.923664
