xacc,yacc,zacc,xgyro,ygyro,zgyro
1.04,-0.10,0.11,-3.23,-1.41,1.52
1.04,-0.10,0.11,-3.44,-1.66,1.63
1.03,-0.10,0.11,-3.43,-1.71,1.90
1.03,-0.11,0.11,-3.41,-2.02,1.81
1.04,-0.11,0.11,-3.44,-2.55,1.76
1.03,-0.10,0.11,-3.75,-3.03,1.63
1.02,-0.09,0.11,-3.82,-3.56,1.93
1.02,-0.09,0.11,-3.85,-4.27,2.23
1.03,-0.10,0.12,-3.60,-5.24,1.87
1.04,-0.10,0.11,-3.89,-5.57,1.48
1.03,-0.10,0.11,-3.81,-5.69,0.92
1.03,-0.11,0.09,-3.95,-5.79,0.44
1.03,-0.11,0.10,-3.74,-5.46,-0.02
1.03,-0.10,0.09,-3.89,-4.83,-0.15
1.04,-0.10,0.08,-3.89,-3.98,-0.23
1.04,-0.11,0.08,-3.69,-2.84,-0.64
1.04,-0.11,0.07,-3.82,-1.55,-0.68
1.05,-0.11,0.07,-3.99,-0.40,-1.02
1.05,-0.11,0.07,-3.97,0.79,-1.66
1.05,-0.11,0.08,-4.08,1.80,-2.25
1.05,-0.10,0.09,-4.27,2.34,-2.58
1.04,-0.10,0.08,-4.21,2.79,-2.73
1.04,-0.10,0.08,-4.28,3.10,-2.62
1.04,-0.10,0.09,-4.18,3.34,-2.66
1.03,-0.10,0.09,-4.08,3.05,-2.42
1.04,-0.10,0.09,-4.12,2.59,-2.08
1.04,-0.09,0.11,-4.11,2.02,-1.73
1.03,-0.09,0.11,-3.89,1.44,-1.33
1.03,-0.09,0.11,-3.95,1.02,-0.98
1.02,-0.09,0.11,-3.97,0.24,-0.66
1.03,-0.09,0.11,-3.57,-0.40,-0.50
1.03,-0.10,0.11,-3.40,-0.70,-0.15
1.03,-0.10,0.11,-3.46,-1.05,-0.01
1.04,-0.09,0.12,-3.34,-1.03,0.10
1.02,-0.10,0.10,-3.37,-1.04,0.05
1.03,-0.10,0.11,-3.47,-0.66,0.03
1.03,-0.10,0.11,-3.45,-0.31,0.08
1.03,-0.10,0.10,-3.47,0.44,0.08
1.02,-0.10,0.10,-3.55,1.38,0.14
1.03,-0.10,0.10,-3.66,1.86,-0.31
1.03,-0.10,0.10,-3.64,2.66,-0.34
1.03,-0.09,0.10,-3.73,3.19,-0.60
1.03,-0.10,0.10,-3.58,3.55,-0.60
1.03,-0.10,0.10,-3.65,3.64,-0.73
1.03,-0.09,0.11,-3.92,3.74,-0.77
1.03,-0.09,0.11,-3.85,3.43,-1.12
1.02,-0.09,0.11,-4.02,3.16,-1.08
1.03,-0.10,0.11,-4.15,2.82,-1.39
1.04,-0.10,0.12,-4.04,2.39,-1.67
1.03,-0.10,0.11,-3.88,1.73,-1.88
1.04,-0.10,0.10,-3.63,1.44,-1.60
1.06,-0.10,0.10,-3.20,1.28,-0.98
1.05,-0.10,0.09,-3.10,1.25,-0.13
1.05,-0.10,0.09,-3.11,0.87,-0.01
1.03,-0.10,0.10,-3.05,0.81,-0.39
1.02,-0.11,0.10,-2.92,0.71,-0.59
1.02,-0.10,0.10,-2.98,0.98,-0.62
1.01,-0.10,0.09,-3.26,1.65,-0.97
1.02,-0.11,0.09,-3.34,2.11,-1.63
1.03,-0.11,0.09,-3.43,2.68,-2.01
1.03,-0.10,0.10,-3.35,2.94,-2.51
1.03,-0.10,0.09,-3.47,3.18,-2.77
1.03,-0.10,0.10,-3.64,3.34,-2.80
1.03,-0.10,0.11,-3.91,3.86,-2.49
1.03,-0.10,0.12,-3.87,3.79,-2.24
1.02,-0.09,0.12,-3.93,4.18,-2.11
1.03,-0.10,0.12,-4.05,3.81,-2.25
1.02,-0.10,0.12,-4.25,3.64,-2.13
1.03,-0.09,0.13,-4.36,3.08,-1.89
1.03,-0.09,0.13,-4.40,2.37,-1.23
1.03,-0.09,0.11,-4.26,1.75,-0.54
1.04,-0.09,0.13,-4.06,1.28,0.12
1.05,-0.10,0.12,-3.98,0.65,0.71
1.03,-0.10,0.12,-3.80,-0.26,0.81
1.02,-0.10,0.12,-3.80,-1.05,0.96
1.01,-0.09,0.12,-3.51,-1.85,1.07
1.03,-0.09,0.11,-3.56,-1.84,1.05
1.03,-0.09,0.11,-3.49,-1.60,1.12
1.03,-0.10,0.10,-3.28,-1.50,0.31
1.04,-0.09,0.10,-3.43,-1.21,0.04
1.03,-0.09,0.09,-3.40,-0.40,-0.32
1.04,-0.09,0.10,-3.30,0.33,-0.90
1.05,-0.09,0.09,-3.45,1.29,-0.63
1.04,-0.10,0.11,-3.48,2.22,-1.05
1.05,-0.10,0.10,-3.48,2.92,-1.28
1.04,-0.09,0.11,-3.51,3.16,-1.68
1.03,-0.09,0.12,-3.61,3.07,-1.78
1.03,-0.09,0.13,-3.85,2.93,-1.53
1.03,-0.09,0.13,-3.86,2.25,-1.34
1.03,-0.09,0.13,-3.80,1.30,-0.84
1.03,-0.09,0.14,-4.08,0.12,-0.29
1.03,-0.09,0.13,-4.00,-0.93,0.03
1.03,-0.09,0.14,-4.09,-1.69,0.67
1.03,-0.10,0.12,-4.07,-2.80,0.79
1.04,-0.10,0.13,-4.16,-3.25,0.89
1.02,-0.09,0.11,-4.13,-3.78,0.69
1.03,-0.10,0.12,-4.25,-3.75,0.61
1.03,-0.09,0.11,-4.37,-3.58,0.50
1.03,-0.10,0.11,-4.36,-3.02,0.24
1.04,-0.09,0.10,-4.45,-2.64,0.12
1.04,-0.10,0.11,-3.83,-1.07,0.35
1.05,-0.10,0.12,-3.75,-0.70,0.65
1.05,-0.10,0.11,-3.84,-0.56,0.62
1.04,-0.10,0.12,-3.72,-0.63,0.24
1.04,-0.10,0.12,-3.76,-0.63,0.15
1.03,-0.10,0.11,-3.95,-0.82,-0.22
1.03,-0.10,0.11,-4.08,-0.77,-0.59
1.03,-0.10,0.11,-4.02,-0.95,-0.98
1.03,-0.09,0.11,-4.05,-1.10,-1.37
1.05,-0.10,0.10,-3.79,-0.73,-0.73
1.04,-0.09,0.10,-3.74,-1.04,-0.31
1.04,-0.09,0.10,-4.08,-1.10,-0.25
1.02,-0.10,0.10,-4.08,-1.43,-0.57
1.02,-0.09,0.10,-4.08,-1.51,-0.77
1.03,-0.10,0.10,-4.21,-1.11,-0.18
1.04,-0.09,0.10,-4.21,-0.13,-0.11
1.03,-0.10,0.11,-4.46,0.15,-0.46
1.04,-0.11,0.10,-4.18,0.28,-1.04
1.04,-0.10,0.12,-4.13,0.51,-1.78
1.04,-0.09,0.12,-4.32,0.63,-1.80
1.04,-0.09,0.11,-4.18,0.75,-1.43
