xacc,yacc,zacc,xgyro,ygyro,zgyro
0.95,0.17,-0.24,-3.71,-1.58,-0.16
0.95,0.17,-0.25,-3.70,-1.41,-0.18
0.94,0.17,-0.25,-3.66,-1.49,-0.15
0.95,0.16,-0.25,-3.78,-1.53,-0.06
0.95,0.17,-0.25,-3.65,-1.57,-0.24
0.95,0.16,-0.24,-3.79,-1.27,-0.18
0.95,0.17,-0.26,-3.79,-1.30,-0.27
0.96,0.17,-0.25,-3.86,-1.28,-0.47
0.95,0.17,-0.25,-3.81,-1.37,-0.37
0.95,0.17,-0.25,-3.92,-1.22,-0.50
0.95,0.17,-0.25,-3.80,-1.20,-0.66
0.95,0.17,-0.26,-3.94,-1.11,-0.98
0.95,0.17,-0.24,-3.86,-1.15,-0.62
0.94,0.17,-0.25,-4.14,-1.12,-0.77
0.94,0.16,-0.25,-4.12,-1.07,-1.03
0.94,0.17,-0.25,-3.97,-1.07,-0.86
0.94,0.17,-0.25,-3.97,-0.99,-0.99
0.94,0.16,-0.25,-4.08,-0.78,-0.94
0.95,0.16,-0.25,-4.09,-0.61,-0.79
0.95,0.16,-0.26,-3.98,-0.60,-0.93
0.94,0.17,-0.26,-3.79,-0.50,-1.03
0.94,0.17,-0.25,-3.81,-0.36,-1.00
0.93,0.16,-0.26,-3.79,-0.38,-0.93
0.94,0.16,-0.25,-3.98,-0.37,-1.11
0.94,0.17,-0.25,-3.98,-0.59,-1.01
0.93,0.16,-0.26,-3.98,-0.65,-0.96
0.94,0.17,-0.25,-3.87,-0.79,-0.91
0.94,0.17,-0.25,-4.04,-0.83,-0.83
0.94,0.17,-0.25,-4.24,-0.94,-0.76
0.94,0.17,-0.26,-4.10,-1.02,-0.89
0.94,0.17,-0.25,-4.25,-1.01,-0.67
0.94,0.17,-0.25,-4.05,-1.17,-0.82
0.93,0.17,-0.25,-3.99,-0.96,-0.75
0.94,0.17,-0.25,-3.91,-0.71,-0.82
0.94,0.17,-0.25,-4.06,-0.72,-0.89
0.95,0.16,-0.25,-3.83,-0.63,-0.95
0.95,0.17,-0.25,-3.86,-0.59,-1.15
0.94,0.17,-0.25,-4.33,-0.62,-1.26
0.95,0.17,-0.25,-4.24,-0.71,-1.21
0.95,0.17,-0.24,-4.27,-0.53,-1.13
0.94,0.17,-0.25,-4.26,-0.80,-0.95
0.95,0.17,-0.25,-4.23,-0.97,-0.79
0.95,0.16,-0.25,-4.18,-1.03,-0.59
0.95,0.17,-0.25,-4.23,-1.05,-0.53
0.95,0.18,-0.25,-4.11,-1.17,-0.49
0.95,0.17,-0.25,-4.06,-1.31,-0.36
0.94,0.17,-0.25,-3.99,-1.31,0.03
0.94,0.17,-0.26,-3.71,-1.31,0.07
