xacc,yacc,zacc,xgyro,ygyro,zgyro
1.062256,-0.015381,-0.060547,-1.793893,-0.557252,-3.51145
1.058838,-0.015381,-0.054199,-2.122137,0.832061,-3.442748
1.040771,-0.018066,-0.058105,-1.931298,1.80916,-3.152672
1.028564,-0.010986,-0.04541,-2.022901,1.900763,-3.618321
1.036621,-0.02124,-0.037354,-1.931298,1.526718,-3.59542
1.027588,-0.011475,-0.02832,-1.870229,0.389313,-3.412214
1.0354,-0.003906,-0.034668,-1.89313,-0.152672,-3.274809
1.035645,-0.004883,-0.037598,-1.801527,-0.473282,-3.083969
1.041016,-0.000977,-0.033691,-1.847328,-0.732824,-3.068702
1.046387,-0.005127,-0.028809,-1.816794,-0.839695,-2.748092
1.052734,-0.008057,-0.049316,-1.923664,-0.274809,-2.755725
1.041748,-0.015381,-0.037109,-2.045802,-0.045802,-2.862595
1.047852,-0.01001,-0.037109,-2.007634,-0.068702,-3.083969
1.044434,-0.011475,-0.029053,-1.839695,0.0,-2.908397
1.043945,-0.01001,-0.032715,-1.969466,-0.114504,-2.709924
1.043457,-0.012207,-0.042236,-1.885496,-0.221374,-2.885496
1.040527,-0.006836,-0.041504,-2.007634,-0.229008,-2.496183
1.035889,-0.008057,-0.044678,-2.114504,-0.282443,-2.259542
1.037109,-0.013916,-0.03418,-2.206107,-0.152672,-2.251908
1.040283,-0.016357,-0.037598,-2.068702,0.137405,-2.427481
1.040771,-0.008057,-0.038086,-1.916031,0.122137,-2.687023
1.037354,-0.011719,-0.037842,-2.022901,0.29771,-2.580153
1.034424,-0.010986,-0.051514,-2.038168,0.244275,-2.496183
1.037354,-0.011719,-0.040283,-2.221374,0.351145,-2.320611
1.039307,-0.010742,-0.041016,-2.351145,0.740458,-2.21374
1.031006,-0.010498,-0.030029,-2.381679,0.381679,-1.709924
1.037354,-0.007324,-0.033447,-2.351145,-0.160305,-1.603053
1.031006,-0.010986,-0.035889,-1.969466,-0.534351,-1.923664
1.033203,-0.00293,-0.037109,-2.175573,-0.251908,-1.961832
1.041016,-0.00708,-0.034912,-2.374046,-0.236641,-1.80916
1.041016,-0.005615,-0.03418,-2.427481,-0.19084,-1.557252
