xacc,yacc,zacc,xgyro,ygyro,zgyro
1.031006,-0.086182,0.055664,-2.030534,19.740458,-41.679390
1.036377,-0.089600,0.058350,-2.259542,19.816793,-41.496181
1.031006,-0.087646,0.061523,-1.908397,20.167938,-41.862595
1.026367,-0.091797,0.053223,-1.923664,19.984734,-42.213741
1.031738,-0.090332,0.056641,-1.893130,20.381680,-42.519085
1.028076,-0.092041,0.060791,-1.832061,20.198473,-42.977100
1.034424,-0.086914,0.059814,-1.893130,20.244274,-43.251907
1.025635,-0.085938,0.053467,-1.893130,20.717558,-43.587788
1.031494,-0.085938,0.057129,-1.770992,21.175573,-43.618320
1.044678,-0.088135,0.073486,-1.725191,20.824427,-43.541985
1.029297,-0.092041,0.063721,-1.984733,20.229008,-43.633587
1.020020,-0.090088,0.064209,-1.862595,20.259542,-43.816795
1.022217,-0.088867,0.066650,-1.923664,19.725191,-44.015266
1.029785,-0.085449,0.055908,-1.862595,19.832062,-43.969467
1.035400,-0.090088,0.055664,-1.923664,20.641222,-43.969467
1.037598,-0.084717,0.061768,-1.938931,21.450382,-44.335876
1.031982,-0.087646,0.058350,-2.030534,21.893129,-44.106869
1.034180,-0.083252,0.062500,-2.259542,22.045801,-43.923664
1.038330,-0.084961,0.059082,-2.366412,21.648855,-44.061069
1.030273,-0.086670,0.068115,-2.198473,21.175573,-44.000000
1.026611,-0.091309,0.062256,-2.015267,20.580153,-44.305344
1.030029,-0.086426,0.063721,-1.862595,20.167938,-44.610687
1.030762,-0.087158,0.060547,-1.832061,19.832062,-44.946564
1.034424,-0.088135,0.059082,-1.969466,19.954199,-44.885498
1.036133,-0.086426,0.051270,-1.801527,20.091602,-44.717556
1.026855,-0.080566,0.052979,-1.923664,19.847328,-44.595421
1.034180,-0.081787,0.055664,-1.923664,20.167938,-44.152672
1.029541,-0.079346,0.050537,-2.198473,19.770992,-43.862595
1.030273,-0.083984,0.055176,-2.030534,19.923664,-43.404579
1.030273,-0.081787,0.061523,-2.198473,20.152672,-42.946564
1.032471,-0.082275,0.065186,-1.832061,19.725191,-42.732826
1.031006,-0.086914,0.061768,-1.908397,20.030535,-42.778625
1.032959,-0.082275,0.057129,-1.984733,20.000000,-42.458015
1.031738,-0.094482,0.060547,-2.106870,20.076336,-42.671757
1.028320,-0.090820,0.054688,-2.030534,20.000000,-43.145039
1.034668,-0.088379,0.053711,-2.030534,20.229008,-43.312977
1.032227,-0.090088,0.048584,-2.045802,20.137405,-43.633587
1.037598,-0.091309,0.053955,-2.259542,20.259542,-43.832062
1.030762,-0.086670,0.055176,-2.335878,20.366413,-43.572517
1.034912,-0.079590,0.060303,-2.091603,20.335878,-43.251907
1.034668,-0.088623,0.058838,-2.305344,20.580153,-43.114502
1.027832,-0.086670,0.059570,-2.259542,20.625954,-43.099236
1.031494,-0.084717,0.065918,-2.045802,20.641222,-43.083969
1.023438,-0.087646,0.058838,-2.152672,20.580153,-42.946564
1.032227,-0.087158,0.060303,-2.229008,20.732824,-43.297710
1.025635,-0.091064,0.068604,-2.213740,20.870230,-43.389313
1.028809,-0.088379,0.059570,-1.969466,20.687023,-43.954197
1.027100,-0.089600,0.059814,-2.152672,20.549618,-44.274811
1.027344,-0.090820,0.062988,-2.061069,20.549618,-44.412212
1.034668,-0.090088,0.061523,-2.030534,20.732824,-44.793892
1.032959,-0.089111,0.050537,-2.198473,21.083969,-44.870228
1.030029,-0.084717,0.065430,-2.427481,21.053434,-44.992367
1.031494,-0.082764,0.056641,-2.396947,20.748091,-45.297710
1.031006,-0.085205,0.056396,-2.229008,20.625954,-45.221375
1.035400,-0.083008,0.067871,-2.106870,20.503817,-45.419846
1.030273,-0.089844,0.063965,-2.259542,20.305344,-45.679390
1.035400,-0.078613,0.063477,-2.274809,19.984734,-45.679390
1.035156,-0.082520,0.056641,-2.137405,19.923664,-45.312977
1.030762,-0.083496,0.053467,-2.106870,20.030535,-45.541985
1.028809,-0.077881,0.055664,-2.000000,19.954199,-45.328243
1.035645,-0.078125,0.059326,-2.076336,20.030535,-45.038166
1.042969,-0.082520,0.061035,-2.076336,20.259542,-45.114502
1.031250,-0.073486,0.062500,-2.259542,20.320610,-44.870228
1.038818,-0.078857,0.053223,-2.167939,20.458015,-44.488548
1.025879,-0.074951,0.045654,-2.229008,20.839695,-44.152672
1.018799,-0.079590,0.057617,-2.091603,20.977098,-43.267174
1.027344,-0.075684,0.055664,-1.954198,21.557251,-43.145039
1.034668,-0.086426,0.056641,-2.091603,21.435114,-43.435116
1.035645,-0.079834,0.057129,-2.030534,21.511450,-43.755726
1.030518,-0.089600,0.045166,-2.045802,21.572519,-44.458015
1.028076,-0.087891,0.057373,-2.229008,21.114504,-45.374046
1.019531,-0.094727,0.060547,-1.740458,20.946566,-46.625954
1.032227,-0.089111,0.059082,-1.969466,21.083969,-47.328243
1.028809,-0.085205,0.053467,-2.106870,21.251909,-47.633587
1.032715,-0.083740,0.050049,-1.893130,21.923664,-47.954197
1.045166,-0.080566,0.063965,-1.740458,22.412214,-47.343510
1.040771,-0.076660,0.054199,-1.740458,22.961832,-46.564884
1.040527,-0.073486,0.054199,-1.603053,22.992367,-45.251907
1.030029,-0.073242,0.061035,-1.908397,22.748091,-43.923664
1.029785,-0.069336,0.060547,-1.877863,22.122137,-42.977100
1.024658,-0.073975,0.057861,-1.786260,22.045801,-41.969467
1.032471,-0.074951,0.062988,-1.755725,21.923664,-41.557251
1.042969,-0.083496,0.062500,-1.832061,22.045801,-41.694656
1.034912,-0.094238,0.058105,-1.648855,22.000000,-42.580154
1.036133,-0.091309,0.061768,-1.770992,21.938931,-43.725189
1.030273,-0.083008,0.071289,-1.725191,21.557251,-45.083969
1.034424,-0.089844,0.065430,-1.740458,21.343512,-45.954197
1.031006,-0.086426,0.065918,-1.923664,21.160305,-46.809162
1.025146,-0.076172,0.060791,-2.320611,20.946566,-47.603054
1.035400,-0.083252,0.064697,-2.213740,20.900763,-48.213741
1.031250,-0.072021,0.062012,-2.335878,21.068703,-47.954197
1.037842,-0.067871,0.063965,-1.969466,21.053434,-47.725189
1.035400,-0.070068,0.050049,-1.969466,21.419847,-46.748093
1.037109,-0.064209,0.052490,-1.984733,21.496183,-46.030533
1.034912,-0.062500,0.065674,-1.938931,21.496183,-44.748093
1.028564,-0.069336,0.060059,-1.862595,21.267176,-44.015266
1.030518,-0.067871,0.064697,-2.000000,20.992367,-43.236641
1.034424,-0.068115,0.060059,-1.816794,20.519083,-42.854961
1.032227,-0.077393,0.055420,-1.709924,20.671755,-42.503819
1.027832,-0.076660,0.053955,-1.816794,20.778625,-42.625954
1.032471,-0.078613,0.060059,-1.664122,20.778625,-42.809162
1.033936,-0.082031,0.061279,-1.847328,20.870230,-43.145039
