time,xacc,yacc,zacc,xgyro,ygyro,zgyro
25670067,0.8479003906,-0.0249023438,-0.8039550781,-1.4656488895, 1.9541984797, -0.1068702266
25680067,0.8500976562,-0.0285644531,-0.7932128906,-1.6488549709, 1.6335878372, -0.2900763452
25690067,0.8615722656,-0.0319824219,-0.7961425781,-1.3129770756, 1.6030534506, -0.3969465792
25700067,0.8647460938,-0.0324707031,-0.7968750000,-1.2671755552, 1.6793893576, -0.2900763452
25710067,0.8681640625,-0.0261230469,-0.8022460938,-1.1450381279, 2.1374046803, -0.4427480996
25720067,0.8576660156,-0.0385742188,-0.7915039062,-0.9923664331, 2.4732823372, -0.3816793859
25730067,0.8591308594,-0.0253906250,-0.7937011719,-1.2213740349, 2.3053436279, -0.1526717544
25740067,0.8510742188,-0.0258789062,-0.7946777344,-1.1603053808, 2.2442748547, -0.0610687025
25750067,0.8461914062,-0.0253906250,-0.7893066406,-1.3129770756, 1.8778625727, 0.1068702266
25760067,0.8479003906,-0.0280761719,-0.7819824219,-1.2824426889, 1.4809160233, 0.4885496199
25770067,0.8496093750,-0.0307617188,-0.7832031250,-1.4045801163, 1.2366411686, 0.6717557311
25780067,0.8554687500,-0.0327148438,-0.7915039062,-1.2824426889, 0.6259542108, 0.8396946788
25790067,0.8547363281,-0.0373535156,-0.7929687500,-1.2366411686, 0.9007633328, 1.2519084215
25800067,0.8530273438,-0.0300292969,-0.7890625000,-0.9618320465, 1.1450381279, 1.8015266657
25810067,0.8527832031,-0.0297851562,-0.8027343750,-1.3282443285, 1.5877863169, 2.1679389477
25820067,0.8515625000,-0.0285644531,-0.7946777344,-1.3740458488, 1.9236640930, 2.0610687733
25830067,0.8417968750,-0.0290527344,-0.7985839844,-1.4198473692, 2.5038168430, 1.8931298256
25840067,0.8488769531,-0.0356445312,-0.8000488281,-1.6946564913, 3.0229008198, 1.9083969593
25850067,0.8405761719,-0.0339355469,-0.8000488281,-1.7709923983, 3.4656488895, 2.5496182442
25860067,0.8425292969,-0.0405273438,-0.8005371094,-1.8931298256, 4.0916032791, 3.3435113430
25870067,0.8398437500,-0.0356445312,-0.8032226562,-1.8320610523, 4.6259541512, 3.8931298256
25880067,0.8413085938,-0.0471191406,-0.7995605469,-1.7251908779, 5.4045801163, 4.0916032791
25890067,0.8439941406,-0.0463867188,-0.7973632812,-1.8320610523, 5.8778624535, 4.1068701744
25900067,0.8508300781,-0.0434570312,-0.7866210938,-1.5267175436, 6.2900762558, 4.2442746162
25910067,0.8505859375,-0.0466308594,-0.7775878906,-2.0916030407, 5.8473281860, 4.1068701744
25920067,0.8518066406,-0.0407714844,-0.7775878906,-2.2137403488, 5.0076336861, 4.1832060814
25930067,0.8579101562,-0.0375976562,-0.7751464844,-2.4122138023, 4.1984734535, 4.0458016396
25940067,0.8698730469,-0.0395507812,-0.7675781250,-2.2442748547, 2.9465649128, 3.8625953197
25950067,0.8752441406,-0.0383300781,-0.7758789062,-2.0763359070, 2.0458016396, 4.3206105232
25960067,0.8903808594,-0.0434570312,-0.7790527344,-1.5114504099, 1.2213740349, 4.2900762558
25970067,0.8867187500,-0.0373535156,-0.7839355469,-1.5419846773, 0.7938931584, 4.4885497093
25980067,0.8859863281,-0.0358886719,-0.7895507812,-1.2213740349, 0.7328244448, 4.1374044418
25990067,0.8884277344,-0.0466308594,-0.7863769531,-0.9618320465, 0.5801526904, 3.9236640930
26000067,0.8876953125,-0.0488281250,-0.7988281250,-0.9923664331, 0.9312977195, 2.9923663139
26010067,0.8789062500,-0.0493164062,-0.7995605469,-1.0381679535, 1.0076335669, 1.8931298256
26020067,0.8789062500,-0.0495605469,-0.8046875000,-1.2977099419, 1.6641221046, 1.1908396482
26030067,0.8764648438,-0.0527343750,-0.8093261719,-1.5572519302, 2.3358778954, 0.4274809062
