time,xacc,yacc,zacc,xgyro,ygyro,zgyro
1187030067,1.1491699219,-0.0622558594,-0.1020507812,-1.8015266657, 1.7404580116, -0.1679389328
1187040067,1.1479492188,-0.0532226562,-0.1010742188,-1.4656488895, 1.7557251453, 0.8244274855
1187050067,1.1472167969,-0.0598144531,-0.1005859375,-1.4198473692, 1.7251908779, 0.4580152631
1187060067,1.1479492188,-0.0556640625,-0.1030273438,-1.6335878372, 1.7099236250, -0.6564885378
1187070067,1.1481933594,-0.0578613281,-0.1027832031,-1.3282443285, 1.5725190639, -1.0076335669
1187080067,1.1513671875,-0.0561523438,-0.0974121094,-1.5114504099, 1.6946564913, -0.9770992398
1187090067,1.1608886719,-0.0522460938,-0.1027832031,-1.5267175436, 1.3740458488, -1.1603053808
1187100067,1.1557617188,-0.0620117188,-0.1030273438,-1.3435114622, 1.4656488895, -1.4503816366
1187110067,1.1611328125,-0.0551757812,-0.1013183594,-1.5267175436, 1.4809160233, -1.5114504099
1187120067,1.1621093750,-0.0512695312,-0.1037597656,-1.4503816366, 1.3282443285, -1.2061069012
1187130067,1.1582031250,-0.0554199219,-0.1013183594,-1.6030534506, 1.4656488895, -0.9770992398
1187140067,1.1574707031,-0.0515136719,-0.0971679688,-1.8167939186, 1.4351145029, -0.8549618125
1187150067,1.1494140625,-0.0524902344,-0.1037597656,-1.8015266657, 1.7862595320, -0.6870229244
1187160067,1.1550292969,-0.0576171875,-0.0981445312,-1.9694656134, 1.5267175436, -0.6259542108
1187170067,1.1528320312,-0.0568847656,-0.0947265625,-1.7557251453, 1.5267175436, -0.5648854971
1187180067,1.1562500000,-0.0515136719,-0.1008300781,-1.9389313459, 1.4961831570, -0.6870229244
1187190067,1.1513671875,-0.0568847656,-0.1015625000,-1.7709923983, 1.5725190639, -0.8396946788
1187200067,1.1511230469,-0.0615234375,-0.1105957031,-1.6335878372, 1.4198473692, -0.9618320465
1187210067,1.1520996094,-0.0595703125,-0.0988769531,-1.7709923983, 1.5725190639, -0.7022900581
1187220067,1.1545410156,-0.0585937500,-0.1037597656,-1.8778625727, 1.2824426889, -0.7328244448
1187230067,1.1494140625,-0.0629882812,-0.0991210938,-1.8473281860, 1.1755725145, -1.1908396482
1187240067,1.1535644531,-0.0559082031,-0.1000976562,-1.6946564913, 1.4656488895, -1.1297709942
1187250067,1.1520996094,-0.0612792969,-0.1020507812,-1.7557251453, 1.2671755552, -1.4198473692
1187260067,1.1501464844,-0.0595703125,-0.0949707031,-1.7557251453, 1.4961831570, -1.5419846773
1187270067,1.1469726562,-0.0561523438,-0.0952148438,-2.0458016396, 1.1450381279, -1.4656488895
1187280067,1.1469726562,-0.0554199219,-0.1032714844,-1.8778625727, 1.4045801163, -1.6641221046
1187290067,1.1484375000,-0.0605468750,-0.1059570312,-1.6183205843, 1.4503816366, -2.0000000000
1187300067,1.1459960938,-0.0578613281,-0.1015625000,-1.7557251453, 1.1908396482, -2.1068701744
1187310067,1.1552734375,-0.0625000000,-0.1088867188,-1.6641221046, 0.8854961991, -2.0152671337
1187320067,1.1608886719,-0.0568847656,-0.0998535156,-1.4656488895, 0.9160305262, -1.9083969593
1187330067,1.1633300781,-0.0585937500,-0.1093750000,-1.5877863169, 0.9618320465, -1.6335878372
1187340067,1.1613769531,-0.0561523438,-0.1018066406,-1.6641221046, 1.4045801163, -1.4809160233
1187350067,1.1513671875,-0.0581054688,-0.1035156250,-1.8778625727, 1.3129770756, -1.4656488895
1187360067,1.1506347656,-0.0639648438,-0.1035156250,-1.5419846773, 1.1450381279, -1.3282443285
1187370067,1.1550292969,-0.0529785156,-0.1086425781,-1.7862595320, 0.8091602921, -1.1755725145
1187380067,1.1562500000,-0.0493164062,-0.1044921875,-1.6793893576, 0.4122137427, -1.1908396482
1187390067,1.1315917969,-0.0603027344,-0.0949707031,-1.7709923983, 0.1526717544, -4.8091602325
1187400067,1.1376953125,-0.0551757812,-0.1003417969,-1.5419846773, 0.3358778656, -4.7786259651
1187410067,1.1386718750,-0.0524902344,-0.0979003906,-1.3587785959, 0.9160305262, -2.8091602325
1187420067,1.1391601562,-0.0747070312,-0.1042480469,-1.3740458488, 1.5877863169, -1.7709923983
1187430067,1.1486816406,-0.0522460938,-0.1013183594,-1.3435114622, 2.5648853779, -0.3664122224
1187440067,1.1672363281,-0.0573730469,-0.0991210938,-2.0763359070, 3.2061069012, 0.8854961991
