xacc,yacc,zacc,xgyro,ygyro,zgyro
1.042480,-0.051758,0.149170,-1.206107,22.229008,-42.687023
1.039307,-0.048828,0.157471,-1.221374,22.076336,-43.679390
1.039307,-0.053223,0.163330,-1.389313,21.419847,-44.396946
1.043213,-0.049316,0.160400,-1.206107,21.297710,-44.946564
1.037109,-0.042969,0.156982,-1.465649,20.916031,-45.419846
1.036621,-0.044189,0.163818,-1.480916,20.641222,-45.145039
1.034180,-0.038818,0.170654,-1.679389,20.427481,-44.763359
1.034912,-0.044189,0.153809,-1.465649,20.152672,-44.488548
1.036133,-0.040283,0.155029,-1.816794,20.183207,-43.893131
1.038574,-0.038818,0.159180,-1.862595,20.366413,-43.969467
1.037354,-0.039307,0.149170,-2.030534,20.778625,-43.923664
1.046387,-0.046143,0.150146,-1.755725,21.297710,-43.541985
1.042236,-0.044922,0.152588,-1.709924,22.122137,-43.175571
1.040039,-0.041504,0.159180,-1.633588,22.351145,-42.687023
1.042725,-0.041260,0.154297,-1.786260,22.305344,-42.244274
1.035645,-0.043213,0.158203,-2.000000,22.381680,-41.801525
1.036865,-0.043701,0.156494,-2.305344,22.183207,-41.877861
1.030518,-0.050537,0.161621,-2.045802,21.832062,-42.106869
1.036133,-0.052979,0.163574,-2.015267,21.251909,-43.175571
1.032471,-0.046875,0.158203,-2.061069,20.870230,-43.862595
1.041748,-0.051758,0.155762,-1.847328,20.580153,-44.610687
1.040771,-0.044189,0.164307,-1.938931,20.778625,-45.343510
1.038818,-0.044678,0.157715,-1.832061,21.068703,-45.603054
1.040283,-0.047607,0.151367,-1.923664,21.404581,-45.938931
1.040039,-0.038818,0.154053,-2.061069,21.633587,-45.511452
1.042480,-0.034912,0.151611,-2.152672,21.679390,-45.038166
1.041748,-0.039795,0.152588,-2.229008,22.091602,-44.732826
1.043945,-0.037354,0.154541,-2.122137,22.244274,-43.969467
1.041504,-0.035400,0.161133,-2.183206,22.381680,-43.328243
1.038574,-0.038086,0.152832,-2.198473,21.984734,-43.236641
1.045166,-0.043213,0.153320,-1.908397,22.427481,-42.717556
1.043701,-0.041016,0.155762,-2.061069,22.442749,-42.809162
1.047119,-0.045166,0.155518,-1.648855,22.473282,-42.671757
1.041992,-0.047119,0.163086,-1.694656,22.564886,-42.717556
1.035156,-0.049805,0.158936,-1.465649,22.473282,-42.412212
1.032715,-0.051025,0.162109,-1.618321,22.427481,-42.473282
1.034180,-0.047119,0.161133,-1.694656,22.015266,-42.290077
1.039062,-0.045898,0.164551,-1.908397,21.618320,-42.412212
1.033203,-0.046631,0.160400,-1.862595,21.251909,-42.564884
1.034912,-0.056396,0.158203,-1.679389,20.885496,-42.946564
1.030029,-0.046143,0.162109,-1.938931,20.671755,-43.496181
1.030029,-0.050049,0.165771,-2.152672,20.702290,-43.618320
1.034424,-0.045410,0.155029,-2.045802,20.488550,-43.618320
1.043701,-0.047119,0.156006,-2.076336,20.793894,-43.908398
1.036377,-0.041504,0.159912,-2.198473,20.687023,-43.740459
1.040771,-0.040283,0.149170,-2.152672,21.083969,-43.664124
1.039062,-0.044434,0.156982,-2.320611,20.839695,-43.129772
1.035400,-0.042725,0.161133,-2.213740,20.946566,-42.778625
1.035156,-0.036865,0.163574,-2.183206,20.992367,-42.198475
1.040039,-0.044922,0.156494,-2.091603,20.748091,-41.725189
1.036377,-0.039551,0.165039,-2.045802,20.961832,-41.557251
1.036133,-0.045410,0.163086,-2.015267,21.175573,-41.526718
1.041260,-0.049316,0.158447,-1.893130,21.083969,-41.938931
1.045654,-0.049072,0.153564,-1.770992,21.725191,-42.335876
1.048584,-0.053223,0.155518,-1.450382,22.274809,-42.763359
1.044434,-0.050293,0.156006,-1.572519,22.503817,-43.160305
1.041748,-0.051758,0.155029,-1.725191,22.427481,-43.374046
1.033447,-0.046631,0.173096,-1.770992,22.396946,-43.496181
1.038818,-0.050781,0.167236,-2.106870,21.786259,-43.435116
1.043945,-0.047852,0.169922,-2.030534,21.358778,-43.648853
1.042480,-0.048828,0.168945,-1.847328,21.160305,-43.374046
1.040283,-0.039307,0.152588,-1.938931,21.068703,-43.755726
1.041992,-0.044189,0.165527,-1.969466,21.480917,-43.328243
1.044922,-0.043213,0.169678,-2.183206,21.450382,-42.885498
1.036865,-0.047852,0.165527,-2.320611,21.114504,-42.076336
1.021729,-0.046875,0.171875,-2.671756,20.519083,-41.526718
1.024658,-0.045410,0.164795,-2.732824,19.587786,-41.022900
1.022217,-0.049316,0.172119,-2.580153,19.068703,-40.900764
1.026611,-0.050781,0.168945,-2.656489,18.335878,-41.862595
1.039795,-0.055420,0.152832,-2.442748,18.274809,-42.748093
1.040771,-0.054932,0.155762,-2.061069,18.519083,-44.061069
1.037598,-0.052734,0.158936,-2.030534,18.854961,-44.778625
1.041504,-0.048828,0.150391,-2.061069,18.717558,-45.236641
1.035400,-0.044434,0.156494,-2.137405,18.412214,-45.603054
1.033691,-0.049072,0.162842,-2.076336,18.152672,-45.877861
1.033936,-0.050293,0.167969,-1.908397,17.603054,-46.091602
1.041016,-0.048584,0.171875,-1.877863,17.221375,-46.488548
1.041016,-0.050537,0.167725,-1.847328,17.648855,-46.946564
1.038574,-0.045410,0.168457,-1.587786,17.297710,-47.435116
1.038574,-0.044434,0.164551,-1.618321,17.587786,-47.465649
1.035645,-0.041992,0.152588,-1.832061,17.847328,-47.312977
1.035400,-0.037354,0.155273,-1.938931,18.396946,-46.305344
1.040527,-0.031006,0.153564,-2.137405,19.022902,-45.511452
1.038818,-0.035156,0.148438,-2.519084,19.618320,-43.923664
1.041260,-0.045166,0.142578,-2.412214,20.045801,-42.717556
1.032227,-0.044678,0.143799,-2.534351,20.167938,-41.969467
1.036865,-0.046143,0.150635,-2.564885,20.076336,-41.221375
1.035645,-0.048340,0.147949,-2.320611,20.167938,-41.297710
1.039062,-0.050049,0.152588,-2.061069,20.198473,-41.786259
1.038330,-0.055908,0.149658,-1.862595,19.877863,-42.519085
1.037354,-0.058105,0.150146,-2.015267,19.694656,-43.786259
1.044434,-0.049561,0.150146,-1.984733,19.343512,-44.778625
1.041748,-0.053467,0.152588,-2.000000,19.129770,-45.541985
1.039795,-0.047119,0.158936,-1.908397,18.870230,-46.106869
1.040527,-0.047607,0.156494,-1.908397,18.702290,-45.801525
1.039551,-0.039062,0.157959,-1.679389,19.038168,-45.633587
